#{"t_start": 1734767901.7117069, "env_id": "ContinuousCartPole-v0"}
r,l,t
50.0,50,0.261334
53.0,53,0.308952
26.0,26,0.554286
32.0,32,0.859812
28.0,28,1.12598
27.0,27,1.37896
29.0,29,1.64889
26.0,26,1.889977
58.0,58,2.482749
43.0,43,2.885589
56.0,56,3.444305
32.0,32,3.743517
27.0,27,4.001173
88.0,88,4.826167
39.0,39,5.22322
30.0,30,5.504123
51.0,51,5.993793
32.0,32,6.294527
61.0,61,6.907881
31.0,31,7.203119
43.0,43,7.607964
75.0,75,8.334078
27.0,27,8.59879
33.0,33,8.907034
23.0,23,9.123223
41.0,41,9.504297
29.0,29,9.775626
48.0,48,10.253983
32.0,32,10.553404
56.0,56,11.076764
45.0,45,11.544011
30.0,30,11.822909
58.0,58,12.363082
38.0,38,12.715955
50.0,50,13.218419
35.0,35,13.542098
40.0,40,13.914916
40.0,40,14.287304
62.0,62,14.897134
44.0,44,15.306652
32.0,32,15.607066
37.0,37,15.951305
30.0,30,16.230748
50.0,50,16.729855
85.0,85,17.519357
33.0,33,17.856332
33.0,33,18.162738
30.0,30,18.441525
41.0,41,18.832536
110.0,110,19.896962
32.0,32,20.197412
31.0,31,20.488033
34.0,34,20.806648
30.0,30,21.088487
52.0,52,21.57608
40.0,40,21.980503
48.0,48,22.429608
41.0,41,22.815564
33.0,33,23.155969
51.0,51,23.634253
30.0,30,23.915818
51.0,51,24.392672
61.0,61,25.005941
51.0,51,25.480404
35.0,35,25.806117
30.0,30,26.085492
42.0,42,26.475862
51.0,51,26.987155
47.0,47,27.422708
36.0,36,27.758128
63.0,63,28.379474
49.0,49,28.83495
32.0,32,29.133378
97.0,97,30.068673
68.0,68,30.700676
41.0,41,31.083386
39.0,39,31.457493
62.0,62,32.037083
49.0,49,32.526102
44.0,44,32.937846
57.0,57,33.472621
41.0,41,33.856265
36.0,36,34.228895
64.0,64,34.827225
65.0,65,35.437588
35.0,35,35.764128
45.0,45,36.21591
32.0,32,36.516487
37.0,37,36.874437
31.0,31,37.163058
55.0,55,37.716036
81.0,81,38.482655
48.0,48,38.932954
53.0,53,39.432734
68.0,68,40.105324
79.0,79,40.843526
51.0,51,41.322679
40.0,40,41.695989
35.0,35,42.050791
80.0,80,42.797663
61.0,61,43.378019
36.0,36,43.71737
85.0,85,44.545952
43.0,43,44.951856
65.0,65,45.563
65.0,65,46.203528
56.0,56,46.729441
46.0,46,47.161805
42.0,42,47.556581
42.0,42,47.951263
47.0,47,48.437706
56.0,56,48.963584
122.0,122,50.135756
54.0,54,50.641462
97.0,97,51.545501
190.0,190,53.317123
197.0,197,55.187226
97.0,97,56.091849
126.0,126,57.271073
111.0,111,58.310946
292.0,292,61.091336
111.0,111,62.132318
140.0,140,63.441754
127.0,127,64.624234
177.0,177,66.309483
158.0,158,67.782647
192.0,192,69.573495
418.0,418,73.490508
500.0,500,78.199137
252.0,252,80.542491
299.0,299,83.322281
278.0,278,85.925381
331.0,331,89.071991
324.0,324,92.090246
443.0,443,96.210978
312.0,312,99.124955
234.0,234,101.356851
246.0,246,103.65504
360.0,360,107.005032
269.0,269,109.513919
273.0,273,112.099768
288.0,288,114.788169
384.0,384,118.369241
500.0,500,123.026383
384.0,384,126.645614
258.0,258,129.06046
309.0,309,131.939607
315.0,315,134.882473
340.0,340,138.098174
314.0,314,141.04111
303.0,303,143.868365
273.0,273,146.412513
353.0,353,149.742317
312.0,312,152.658691
334.0,334,155.786109
488.0,488,160.343493
340.0,340,163.549673
276.0,276,166.132783
304.0,304,168.982927
287.0,287,171.664335
353.0,353,175.001366
297.0,297,177.77078
281.0,281,180.401792
322.0,322,183.409389
362.0,362,186.823147
285.0,285,189.478316
327.0,327,192.529415
324.0,324,195.560683
304.0,304,198.439547
357.0,357,201.7665
302.0,302,204.580619
338.0,338,207.740851
344.0,344,211.007288
357.0,357,214.342499
268.0,268,216.841459
389.0,389,220.501481
310.0,310,223.454749
407.0,407,227.258085
330.0,330,230.341341
372.0,372,233.826773
393.0,393,237.537708
296.0,296,240.308497
400.0,400,244.043185
341.0,341,247.234322
448.0,448,251.456693
323.0,323,254.476112
324.0,324,257.491233
358.0,358,260.838345
500.0,500,265.562172
280.0,280,268.178705
408.0,408,271.987767
365.0,365,275.401914
368.0,368,278.899375
426.0,426,282.86882
370.0,370,286.326231
386.0,386,289.940213
330.0,330,293.062693
312.0,312,295.974738
366.0,366,299.385901
367.0,367,302.818105
343.0,343,306.06352
350.0,350,309.336492
348.0,348,312.583636
331.0,331,315.684384
426.0,426,319.728851
327.0,327,322.7834
371.0,371,326.251647
329.0,329,329.338743
363.0,363,332.789717
369.0,369,336.239978
357.0,357,339.579187
432.0,432,343.633553
366.0,366,347.102797
500.0,500,351.775539
474.0,474,356.221547
360.0,360,359.60028
388.0,388,363.284924
406.0,406,367.081281
352.0,352,370.379322
500.0,500,375.078301
392.0,392,378.780552
365.0,365,382.193047
367.0,367,385.639472
314.0,314,388.589086
500.0,500,393.304724
392.0,392,396.970713
500.0,500,401.73131
351.0,351,405.010273
447.0,447,409.23153
376.0,376,412.756755
396.0,396,416.46703
339.0,339,419.631517
481.0,481,424.182595
439.0,439,428.298635
500.0,500,432.962833
444.0,444,437.120176
406.0,406,440.980021
459.0,459,445.27799
372.0,372,448.747305
469.0,469,453.158299
500.0,500,457.878077
406.0,406,461.676238
500.0,500,466.373267
500.0,500,471.05482
500.0,500,475.766508
500.0,500,480.468666
500.0,500,485.156377
445.0,445,489.318687
475.0,475,493.815125
500.0,500,498.507073
500.0,500,503.183691
500.0,500,507.86867
500.0,500,512.606439
500.0,500,517.281346
500.0,500,521.979378
500.0,500,526.662236
500.0,500,531.372685
500.0,500,536.07722
500.0,500,540.767938
500.0,500,545.435673
500.0,500,550.164724
500.0,500,554.846639
500.0,500,559.522307
500.0,500,564.213594
500.0,500,568.941555
500.0,500,573.619793
500.0,500,578.311951
500.0,500,583.027911
500.0,500,587.76896
500.0,500,592.455924
500.0,500,597.134605
489.0,489,601.71664
500.0,500,606.432786
500.0,500,611.107502
500.0,500,615.79748
500.0,500,620.491148
500.0,500,625.195065
500.0,500,629.889744
500.0,500,634.590207
500.0,500,639.263123
500.0,500,644.006913
500.0,500,648.695634
500.0,500,653.381098
500.0,500,658.074667
500.0,500,662.806846
500.0,500,667.474519
500.0,500,672.176327
500.0,500,676.86254
494.0,494,681.514105
500.0,500,686.209477
492.0,492,690.824452
500.0,500,695.498883
500.0,500,700.229248
456.0,456,704.504494
446.0,446,708.674091
467.0,467,713.06251
478.0,478,717.595208
458.0,458,721.880448
500.0,500,726.578668
453.0,453,730.829836
491.0,491,735.469035
500.0,500,740.182755
444.0,444,744.347013
500.0,500,749.020158
421.0,421,753.012408
432.0,432,757.072802
429.0,429,761.092336
500.0,500,765.814428
498.0,498,770.537379
423.0,423,774.49308
485.0,485,779.046517
426.0,426,783.059734
500.0,500,787.776894
500.0,500,792.479274
416.0,416,796.394973
