#{"t_start": 1734756504.202583, "env_id": "ContinuousCartPole-v0"}
r,l,t
36.0,36,0.259024
26.0,26,0.262479
43.0,43,0.327556
72.0,72,1.009871
37.0,37,1.408449
29.0,29,1.679344
49.0,49,2.167125
51.0,51,2.645786
38.0,38,3.003255
30.0,30,3.282492
39.0,39,3.644642
34.0,34,4.001364
28.0,28,4.266213
48.0,48,4.71868
39.0,39,5.111338
30.0,30,5.399736
31.0,31,5.693035
31.0,31,5.985081
54.0,54,6.492863
39.0,39,6.88849
37.0,37,7.235828
30.0,30,7.516503
32.0,32,7.817398
30.0,30,8.131983
35.0,35,8.472131
34.0,34,8.788625
29.0,29,9.059791
34.0,34,9.434311
32.0,32,9.734336
40.0,40,10.109488
34.0,34,10.426083
63.0,63,11.040213
37.0,37,11.384504
42.0,42,11.77807
39.0,39,12.174432
36.0,36,12.510468
47.0,47,12.950467
35.0,35,13.276414
37.0,37,13.654328
35.0,35,13.980836
33.0,33,14.290406
48.0,48,14.737511
48.0,48,15.232703
35.0,35,15.560635
29.0,29,15.832022
29.0,29,16.103799
50.0,50,16.57116
48.0,48,17.057271
33.0,33,17.369579
61.0,61,17.94132
48.0,48,18.425231
29.0,29,18.697897
39.0,39,19.064849
57.0,57,19.599699
60.0,60,20.195575
39.0,39,20.562857
34.0,34,20.883716
35.0,35,21.210144
47.0,47,21.68475
31.0,31,21.976946
52.0,52,22.477465
67.0,67,23.135306
38.0,38,23.489998
38.0,38,23.843706
51.0,51,24.321036
91.0,91,25.202958
67.0,67,25.829155
51.0,51,26.305957
52.0,52,26.791392
40.0,40,27.165369
45.0,45,27.6191
46.0,46,28.049102
27.0,27,28.300818
30.0,30,28.580861
47.0,47,29.020166
36.0,36,29.406761
32.0,32,29.70742
41.0,41,30.09274
46.0,46,30.552865
64.0,64,31.155459
90.0,90,32.000023
29.0,29,32.3058
49.0,49,32.765901
63.0,63,33.358861
34.0,34,33.679988
34.0,34,33.999563
31.0,31,34.289901
59.0,59,34.874659
79.0,79,35.617361
77.0,77,36.387548
85.0,85,37.183759
41.0,41,37.56571
69.0,69,38.205979
33.0,33,38.514792
38.0,38,38.903719
37.0,37,39.249399
58.0,58,39.794356
57.0,57,40.358431
51.0,51,40.840462
56.0,56,41.362701
46.0,46,41.794511
44.0,44,42.20973
50.0,50,42.712992
68.0,68,43.352845
92.0,92,44.220274
48.0,48,44.72488
59.0,59,45.280473
59.0,59,45.836758
115.0,115,46.920543
66.0,66,47.573396
116.0,116,48.662031
60.0,60,49.224643
155.0,155,50.736322
91.0,91,51.598671
107.0,107,52.605441
53.0,53,53.103368
41.0,41,53.488689
71.0,71,54.157839
205.0,205,56.118059
75.0,75,56.822483
132.0,132,58.108625
93.0,93,58.986104
197.0,197,60.838473
96.0,96,61.740731
226.0,226,63.892227
273.0,273,66.44756
157.0,157,67.917458
265.0,265,70.409486
179.0,179,72.126934
298.0,298,74.923838
188.0,188,76.683167
218.0,218,78.719594
190.0,190,80.54065
239.0,239,82.784256
500.0,500,87.483327
230.0,230,89.640655
250.0,250,92.033453
339.0,339,95.210797
301.0,301,98.044439
374.0,374,101.563205
500.0,500,106.281151
358.0,358,109.643971
282.0,282,112.290008
339.0,339,115.480021
500.0,500,120.192956
368.0,368,123.651982
250.0,250,126.006514
378.0,378,129.565141
500.0,500,134.29462
500.0,500,138.990808
394.0,394,142.693167
373.0,373,146.189107
415.0,415,150.118614
365.0,365,153.551721
446.0,446,157.75278
411.0,411,161.610038
415.0,415,165.549797
300.0,300,168.377051
500.0,500,173.076437
335.0,335,176.213813
282.0,282,178.914082
323.0,323,181.9582
345.0,345,185.203285
438.0,438,189.308637
303.0,303,192.210798
326.0,326,195.277946
313.0,313,198.22736
336.0,336,201.376165
338.0,338,204.58396
362.0,362,207.997953
310.0,310,210.91734
360.0,360,214.292924
380.0,380,217.926966
366.0,366,221.384708
315.0,315,224.352527
293.0,293,227.108771
372.0,372,230.652332
444.0,444,234.869069
378.0,378,238.430429
265.0,265,240.910701
371.0,371,244.435283
253.0,253,246.820526
383.0,383,250.432582
352.0,352,253.736709
350.0,350,257.059004
385.0,385,260.679306
404.0,404,264.481598
493.0,493,269.112549
478.0,478,273.632893
350.0,350,276.947425
337.0,337,280.125022
283.0,283,282.777097
413.0,413,286.705251
309.0,309,289.614857
287.0,287,292.315008
385.0,385,295.929816
388.0,388,299.612468
500.0,500,304.323905
419.0,419,308.261847
325.0,325,311.315884
281.0,281,313.998425
334.0,334,317.153318
379.0,379,320.722441
276.0,276,323.315032
365.0,365,326.799811
365.0,365,330.244037
467.0,467,334.644404
368.0,368,338.102766
326.0,326,341.212427
335.0,335,344.377711
328.0,328,347.47217
305.0,305,350.333759
317.0,317,353.347079
400.0,400,357.120331
380.0,380,360.702953
306.0,306,363.583472
334.0,334,366.765118
489.0,489,371.374861
355.0,355,374.721116
295.0,295,377.489741
383.0,383,381.137238
389.0,389,384.807547
338.0,338,387.991299
441.0,441,392.129782
430.0,430,396.214229
340.0,340,399.418104
450.0,450,403.656476
426.0,426,407.659438
338.0,338,410.891585
482.0,482,415.478842
393.0,393,419.167408
416.0,416,423.087128
393.0,393,426.86547
387.0,387,430.505648
450.0,450,434.739638
500.0,500,439.459711
443.0,443,443.674985
479.0,479,448.196907
500.0,500,452.926321
389.0,389,456.58718
500.0,500,461.343551
493.0,493,466.007124
500.0,500,470.718292
500.0,500,475.418129
500.0,500,480.192123
500.0,500,484.901778
500.0,500,489.604936
424.0,424,493.610875
500.0,500,498.358209
500.0,500,503.06158
500.0,500,507.780431
500.0,500,512.493776
500.0,500,517.242205
500.0,500,521.99131
481.0,481,526.521337
500.0,500,531.227457
500.0,500,535.983136
500.0,500,540.685032
489.0,489,545.287225
500.0,500,550.007234
500.0,500,554.758891
500.0,500,559.464758
500.0,500,564.188116
500.0,500,568.885338
500.0,500,573.643873
500.0,500,578.370802
500.0,500,583.072452
500.0,500,587.792957
500.0,500,592.578877
500.0,500,597.296354
437.0,437,601.421468
500.0,500,606.137553
500.0,500,610.873255
500.0,500,615.60032
500.0,500,620.321387
500.0,500,625.028715
500.0,500,629.799857
500.0,500,634.522388
500.0,500,639.230927
500.0,500,643.956498
500.0,500,648.719502
500.0,500,653.423342
500.0,500,658.152525
500.0,500,662.863025
306.0,306,665.789654
500.0,500,670.528658
500.0,500,675.246761
500.0,500,679.965195
500.0,500,684.739226
500.0,500,689.460563
500.0,500,694.175694
500.0,500,698.971646
500.0,500,703.768604
