#{"t_start": 1734735690.098186, "env_id": "ContinuousCartPole-v0"}
r,l,t
37.0,37,0.260236
32.0,32,0.264505
37.0,37,0.339776
23.0,23,0.559388
27.0,27,0.81876
43.0,43,1.227026
31.0,31,1.521269
57.0,57,2.105054
30.0,30,2.390301
69.0,69,3.040815
38.0,38,3.431903
75.0,75,4.144913
33.0,33,4.459346
43.0,43,4.864956
43.0,43,5.298845
42.0,42,5.694566
37.0,37,6.043435
40.0,40,6.419727
46.0,46,6.883729
57.0,57,7.421111
50.0,50,7.894493
46.0,46,8.327804
47.0,47,8.801687
44.0,44,9.214258
43.0,43,9.620097
43.0,43,10.029952
49.0,49,10.518253
61.0,61,11.09159
35.0,35,11.418448
32.0,32,11.718081
29.0,29,11.990843
45.0,45,12.445655
64.0,64,13.051014
62.0,62,13.664433
40.0,40,14.041883
33.0,33,14.352452
30.0,30,14.636249
26.0,26,14.880834
35.0,35,15.209836
37.0,37,15.586958
31.0,31,15.879544
37.0,37,16.226539
43.0,43,16.630136
35.0,35,16.990256
48.0,48,17.44185
27.0,27,17.693934
51.0,51,18.204046
41.0,41,18.588389
41.0,41,18.975434
33.0,33,19.284798
30.0,30,19.566567
83.0,83,20.374871
62.0,62,20.957733
50.0,50,21.430641
34.0,34,21.784548
29.0,29,22.059225
42.0,42,22.455474
38.0,38,22.8144
36.0,36,23.189982
53.0,53,23.69398
34.0,34,24.014754
41.0,41,24.400531
41.0,41,24.787135
31.0,31,25.110187
48.0,48,25.563668
42.0,42,25.959735
64.0,64,26.595235
53.0,53,27.096699
56.0,56,27.625624
47.0,47,28.066405
46.0,46,28.52951
85.0,85,29.328996
47.0,47,29.770797
33.0,33,30.081762
44.0,44,30.52696
115.0,115,31.60477
51.0,51,32.084725
67.0,67,32.743324
44.0,44,33.158169
35.0,35,33.486822
62.0,62,34.071943
40.0,40,34.448003
47.0,47,34.923901
68.0,68,35.564424
80.0,80,36.319463
55.0,55,36.867233
35.0,35,37.194837
94.0,94,38.076597
54.0,54,38.58348
36.0,36,38.923107
47.0,47,39.399254
44.0,44,39.812869
41.0,41,40.200555
59.0,59,40.757341
67.0,67,41.421745
50.0,50,41.893154
53.0,53,42.391592
83.0,83,43.203864
56.0,56,43.731119
35.0,35,44.05831
98.0,98,44.981732
52.0,52,45.500829
59.0,59,46.057883
46.0,46,46.489439
54.0,54,47.001138
56.0,56,47.53038
52.0,52,48.049086
65.0,65,48.660208
64.0,64,49.263008
120.0,120,50.441129
65.0,65,51.054831
71.0,71,51.725118
89.0,89,52.561723
186.0,186,54.346069
109.0,109,55.369399
157.0,157,56.844156
71.0,71,57.50818
297.0,297,60.337526
132.0,132,61.581576
126.0,126,62.768102
206.0,206,64.743023
93.0,93,65.620597
153.0,153,67.059961
303.0,303,69.91153
216.0,216,71.987704
309.0,309,74.900183
165.0,165,76.454285
161.0,161,77.971342
328.0,328,81.117178
364.0,364,84.550693
344.0,344,87.78705
427.0,427,91.812353
313.0,313,94.797377
307.0,307,97.681383
293.0,293,100.43661
272.0,272,102.995811
500.0,500,107.737219
317.0,317,110.718097
500.0,500,115.428751
500.0,500,120.133503
370.0,370,123.662256
500.0,500,128.368408
373.0,373,131.876142
416.0,416,135.798046
456.0,456,140.120291
500.0,500,144.828975
397.0,397,148.580304
471.0,471,153.008169
397.0,397,156.797384
452.0,452,161.055314
346.0,346,164.311599
336.0,336,167.475261
500.0,500,172.220265
408.0,408,176.063969
331.0,331,179.179931
387.0,387,182.824384
500.0,500,187.571815
443.0,443,191.750544
500.0,500,196.457456
465.0,465,200.846107
500.0,500,205.594114
341.0,341,208.802279
378.0,378,212.363015
420.0,420,216.321259
464.0,464,220.734467
500.0,500,225.448989
368.0,368,228.916431
417.0,417,232.850751
450.0,450,237.11946
431.0,431,241.177003
466.0,466,245.574864
358.0,358,248.946419
328.0,328,252.089417
402.0,402,255.876989
364.0,364,259.309425
432.0,432,263.417116
500.0,500,268.165321
408.0,408,272.013829
500.0,500,276.729871
500.0,500,281.445173
500.0,500,286.193218
500.0,500,290.903374
500.0,500,295.628966
500.0,500,300.342995
500.0,500,305.094698
500.0,500,309.818754
500.0,500,314.557271
467.0,467,318.964236
500.0,500,323.72588
500.0,500,328.444551
500.0,500,333.161937
500.0,500,337.883603
500.0,500,342.642646
500.0,500,347.365931
500.0,500,352.088101
500.0,500,356.805843
404.0,404,360.669415
336.0,336,363.846069
500.0,500,368.562278
250.0,250,370.926375
323.0,323,374.005787
290.0,290,376.746534
500.0,500,381.470641
313.0,313,384.419383
248.0,248,386.791704
261.0,261,389.252378
264.0,264,391.742375
306.0,306,394.629198
367.0,367,398.138866
275.0,275,400.727789
292.0,292,403.484754
