#{"t_start": 1734750796.657011, "env_id": "ContinuousCartPole-v0"}
r,l,t
42.0,42,0.259777
34.0,34,0.264301
31.0,31,0.348639
40.0,40,0.731991
34.0,34,1.057688
32.0,32,1.360688
42.0,42,1.76075
35.0,35,2.124787
37.0,37,2.486866
42.0,42,2.88673
65.0,65,3.537114
28.0,28,3.802964
50.0,50,4.2857
73.0,73,5.015629
46.0,46,5.454795
54.0,54,5.970484
35.0,35,6.304817
32.0,32,6.609828
63.0,63,7.242161
54.0,54,7.755998
54.0,54,8.273158
28.0,28,8.541292
36.0,36,8.913992
33.0,33,9.227337
86.0,86,10.04533
45.0,45,10.504369
34.0,34,10.826121
40.0,40,11.202286
51.0,51,11.694384
45.0,45,12.12061
40.0,40,12.532316
24.0,24,12.760335
45.0,45,13.187352
36.0,36,13.52716
32.0,32,13.830134
28.0,28,14.124551
26.0,26,14.372379
55.0,55,14.893709
62.0,62,15.509062
29.0,29,15.786312
36.0,36,16.127711
26.0,26,16.3756
37.0,37,16.727003
37.0,37,17.112624
59.0,59,17.672756
32.0,32,17.97631
42.0,42,18.418266
78.0,78,19.164023
29.0,29,19.438991
27.0,27,19.694726
66.0,66,20.352168
35.0,35,20.685169
60.0,60,21.253186
43.0,43,21.662071
39.0,39,22.064599
33.0,33,22.378548
53.0,53,22.885488
31.0,31,23.179944
35.0,35,23.54399
40.0,40,23.924567
32.0,32,24.229577
43.0,43,24.63763
31.0,31,24.933261
25.0,25,25.198125
72.0,72,25.887569
34.0,34,26.210312
42.0,42,26.641895
98.0,98,27.572009
45.0,45,28.000452
48.0,48,28.45443
34.0,34,28.808238
63.0,63,29.407947
57.0,57,29.950913
42.0,42,30.347924
41.0,41,30.772579
54.0,54,31.284834
43.0,43,31.695405
45.0,45,32.122625
34.0,34,32.476351
49.0,49,32.940917
27.0,27,33.206169
41.0,41,33.594037
46.0,46,34.062421
48.0,48,34.518459
47.0,47,34.965817
39.0,39,35.336619
43.0,43,35.776728
58.0,58,36.330252
44.0,44,36.748459
33.0,33,37.062432
49.0,49,37.561462
37.0,37,37.9137
28.0,28,38.17927
43.0,43,38.587914
54.0,54,39.132735
42.0,42,39.532264
33.0,33,39.856236
45.0,45,40.282798
61.0,61,40.890257
53.0,53,41.394929
81.0,81,42.164768
98.0,98,43.131597
55.0,55,43.657376
68.0,68,44.304158
119.0,119,45.47044
46.0,46,45.908485
64.0,64,46.518083
48.0,48,46.975294
49.0,49,47.442398
99.0,99,48.419315
49.0,49,48.88282
78.0,78,49.624148
46.0,46,50.071208
152.0,152,51.544375
84.0,84,52.341674
130.0,130,53.575165
89.0,89,54.422217
84.0,84,55.256313
210.0,210,57.249448
140.0,140,58.579489
302.0,302,61.481697
179.0,179,63.181086
136.0,136,64.474191
177.0,177,66.153355
174.0,174,67.846055
250.0,250,70.223812
145.0,145,71.600877
230.0,230,73.792841
384.0,384,77.489101
275.0,275,80.103278
317.0,317,83.122164
246.0,246,85.466353
302.0,302,88.378179
374.0,374,91.930135
353.0,353,95.281425
265.0,265,97.802193
272.0,272,100.420439
247.0,247,102.766889
434.0,434,106.887848
251.0,251,109.276763
391.0,391,113.028156
301.0,301,115.889763
421.0,421,119.887378
500.0,500,124.629396
340.0,340,127.913456
259.0,259,130.378763
322.0,322,133.436479
363.0,363,136.881273
469.0,469,141.389731
298.0,298,144.223722
391.0,391,147.934971
500.0,500,152.694596
324.0,324,155.824034
390.0,390,159.546168
375.0,375,163.124393
330.0,330,166.271268
338.0,338,169.526867
404.0,404,173.378183
322.0,322,176.445226
354.0,354,179.819919
330.0,330,183.006326
300.0,300,185.857577
274.0,274,188.462177
285.0,285,191.17891
238.0,238,193.485522
293.0,293,196.27902
244.0,244,198.604212
281.0,281,201.273922
253.0,253,203.725074
224.0,224,205.858648
308.0,308,208.791704
386.0,386,212.465803
242.0,242,214.801544
277.0,277,217.435554
267.0,267,219.986303
250.0,250,222.373108
293.0,293,225.226767
267.0,267,227.769852
264.0,264,230.284441
243.0,243,232.599854
238.0,238,234.904482
296.0,296,237.724727
266.0,266,240.263154
377.0,377,243.851511
329.0,329,247.029384
267.0,267,249.574418
272.0,272,252.162416
273.0,273,254.758837
294.0,294,257.592902
261.0,261,260.081976
291.0,291,262.855291
290.0,290,265.620564
358.0,358,269.061031
356.0,356,272.453938
307.0,307,275.379582
330.0,330,278.520838
414.0,414,282.490046
313.0,313,285.469085
296.0,296,288.294164
300.0,300,291.151468
315.0,315,294.199199
328.0,328,297.312189
307.0,307,300.234391
305.0,305,303.141189
300.0,300,306.040338
305.0,305,308.943852
290.0,290,311.700882
294.0,294,314.505613
312.0,312,317.523977
277.0,277,320.161578
292.0,292,322.941355
317.0,317,325.96684
358.0,358,329.418197
311.0,311,332.384689
383.0,383,336.052609
281.0,281,338.757627
412.0,412,342.722364
262.0,262,345.219138
297.0,297,348.04627
318.0,318,351.07528
309.0,309,354.056728
355.0,355,357.442487
330.0,330,360.583095
314.0,314,363.576326
296.0,296,366.439508
351.0,351,369.784287
353.0,353,373.151072
268.0,268,375.701278
286.0,286,378.487435
313.0,313,381.484349
333.0,333,384.655231
276.0,276,387.287212
317.0,317,390.338833
289.0,289,393.089997
294.0,294,395.902322
274.0,274,398.519384
283.0,283,401.261238
300.0,300,404.122029
261.0,261,406.613232
382.0,382,410.260637
310.0,310,413.252643
291.0,291,416.02427
297.0,297,418.848131
397.0,397,422.636116
300.0,300,425.544705
282.0,282,428.234816
351.0,351,431.573118
404.0,404,435.434158
393.0,393,439.213334
384.0,384,442.871865
414.0,414,446.816786
394.0,394,450.575637
394.0,394,454.378504
494.0,494,459.079912
414.0,414,463.029619
341.0,341,466.271749
410.0,410,470.221227
478.0,478,474.776476
500.0,500,479.54905
500.0,500,484.32704
500.0,500,489.140061
273.0,273,491.743074
500.0,500,496.510167
323.0,323,499.581708
327.0,327,502.726016
499.0,499,507.483031
500.0,500,512.244731
500.0,500,517.049141
294.0,294,519.91453
500.0,500,524.684876
493.0,493,529.382573
500.0,500,534.154069
500.0,500,538.950304
500.0,500,543.722556
500.0,500,548.48721
500.0,500,553.245516
500.0,500,558.058533
500.0,500,562.830065
500.0,500,567.582645
500.0,500,572.352659
500.0,500,577.159643
500.0,500,581.919575
500.0,500,586.688836
500.0,500,591.448778
343.0,343,594.758081
500.0,500,599.525084
500.0,500,604.292464
500.0,500,609.053728
500.0,500,613.852208
468.0,468,618.315368
500.0,500,623.076028
500.0,500,627.853062
500.0,500,632.666982
500.0,500,637.433051
500.0,500,642.207341
500.0,500,646.976007
500.0,500,651.77812
500.0,500,656.548145
500.0,500,661.314434
500.0,500,666.082709
500.0,500,670.903565
500.0,500,675.677835
500.0,500,680.446841
500.0,500,685.217937
500.0,500,690.013216
500.0,500,694.789733
500.0,500,699.621998
500.0,500,704.390371
500.0,500,709.198347
500.0,500,713.977184
500.0,500,718.749257
500.0,500,723.52223
500.0,500,728.344271
500.0,500,733.109126
500.0,500,737.882498
500.0,500,742.65551
500.0,500,747.46521
500.0,500,752.242864
500.0,500,757.005692
500.0,500,761.771418
500.0,500,766.583301
500.0,500,771.362837
500.0,500,776.1341
476.0,476,780.681279
500.0,500,785.478697
500.0,500,790.249566
500.0,500,795.027113
500.0,500,799.789741
500.0,500,804.596048
500.0,500,809.365518
500.0,500,814.126507
500.0,500,818.908547
500.0,500,823.730711
500.0,500,828.48912
500.0,500,833.266461
500.0,500,838.041021
500.0,500,842.841423
500.0,500,847.63333
500.0,500,852.405773
500.0,500,857.176168
500.0,500,861.986825
500.0,500,866.751094
500.0,500,871.517368
500.0,500,876.289887
500.0,500,881.150326
500.0,500,885.928798
500.0,500,890.706096
500.0,500,895.479116
500.0,500,900.293441
500.0,500,905.067257
500.0,500,909.834008
500.0,500,914.617033
500.0,500,919.431166
394.0,394,923.197608
412.0,412,927.142896
500.0,500,931.920146
500.0,500,936.728064
500.0,500,941.515541
455.0,455,945.859841
500.0,500,950.645609
490.0,490,955.362372
500.0,500,960.141786
500.0,500,964.91243
500.0,500,969.69165
500.0,500,974.508166
500.0,500,979.276156
500.0,500,984.05372
498.0,498,988.803014
500.0,500,993.597775
500.0,500,998.376848
500.0,500,1003.147354
500.0,500,1007.919574
