#{"t_start": 1734765993.7639732, "env_id": "ContinuousCartPole-v0"}
r,l,t
29.0,29,0.257033
35.0,35,0.261798
45.0,45,0.36541
43.0,43,0.77714
35.0,35,1.109117
40.0,40,1.489814
35.0,35,1.819374
28.0,28,2.11658
49.0,49,2.581216
30.0,30,2.866857
48.0,48,3.354258
31.0,31,3.648458
67.0,67,4.302692
66.0,66,4.961997
35.0,35,5.293908
52.0,52,5.78766
43.0,43,6.19591
24.0,24,6.422441
48.0,48,6.878659
24.0,24,7.142515
51.0,51,7.639317
37.0,37,7.990642
26.0,26,8.273591
35.0,35,8.60391
35.0,35,8.93309
46.0,46,9.364255
40.0,40,9.770443
31.0,31,10.063729
32.0,32,10.364694
44.0,44,10.778547
36.0,36,11.117663
46.0,46,11.582321
49.0,49,12.044443
36.0,36,12.382313
45.0,45,12.840931
45.0,45,13.266116
36.0,36,13.604184
40.0,40,13.980923
37.0,37,14.330849
68.0,68,15.020032
41.0,41,15.408858
39.0,39,15.776905
29.0,29,16.052123
37.0,37,16.433123
40.0,40,16.812258
44.0,44,17.227334
45.0,45,17.683696
49.0,49,18.147509
37.0,37,18.497006
26.0,26,18.743825
29.0,29,19.017335
47.0,47,19.498253
36.0,36,19.838405
32.0,32,20.140437
40.0,40,20.517063
35.0,35,20.882223
61.0,61,21.465595
38.0,38,21.823296
37.0,37,22.206653
47.0,47,22.651187
33.0,33,22.962678
54.0,54,23.470734
42.0,42,23.900801
42.0,42,24.296112
42.0,42,24.691675
37.0,37,25.039193
71.0,71,25.739686
53.0,53,26.23995
85.0,85,27.043576
39.0,39,27.442621
38.0,38,27.802203
40.0,40,28.180374
35.0,35,28.521036
57.0,57,29.059211
32.0,32,29.394462
49.0,49,29.857836
40.0,40,30.23525
30.0,30,30.520825
30.0,30,30.806422
33.0,33,31.152928
39.0,39,31.520803
44.0,44,31.937038
84.0,84,32.76058
40.0,40,33.140048
53.0,53,33.651599
34.0,34,33.971531
42.0,42,34.398007
33.0,33,34.706949
50.0,50,35.179113
44.0,44,35.595021
30.0,30,35.918982
36.0,36,36.258891
45.0,45,36.681785
61.0,61,37.254314
43.0,43,37.691363
36.0,36,38.030603
69.0,69,38.68509
45.0,45,39.112218
36.0,36,39.500823
40.0,40,39.880957
40.0,40,40.261739
47.0,47,40.706976
53.0,53,41.244531
43.0,43,41.652693
56.0,56,42.182152
47.0,47,42.627603
100.0,100,43.608067
82.0,82,44.381898
90.0,90,45.232324
42.0,42,45.661863
64.0,64,46.26884
70.0,70,46.928481
57.0,57,47.476011
66.0,66,48.131459
125.0,125,49.307966
52.0,52,49.795955
90.0,90,50.645533
123.0,123,51.840312
61.0,61,52.417626
55.0,55,52.938063
223.0,223,55.09495
166.0,166,56.665233
204.0,204,58.597231
159.0,159,60.092714
134.0,134,61.387437
79.0,79,62.132796
316.0,316,65.10835
230.0,230,67.283901
193.0,193,69.13772
303.0,303,72.004053
253.0,253,74.383885
281.0,281,77.036516
293.0,293,79.852236
500.0,500,84.580347
261.0,261,87.045906
493.0,493,91.689324
395.0,395,95.466686
323.0,323,98.529128
310.0,310,101.454433
390.0,390,105.133604
399.0,399,108.945064
243.0,243,111.244146
500.0,500,115.96448
483.0,483,120.520457
320.0,320,123.586117
400.0,400,127.368197
443.0,443,131.537063
433.0,433,135.636344
395.0,395,139.437401
349.0,349,142.753139
473.0,473,147.218481
409.0,409,151.093098
500.0,500,155.872797
484.0,484,160.439249
417.0,417,164.389777
500.0,500,169.114325
314.0,314,172.109803
411.0,411,176.000236
500.0,500,180.732233
500.0,500,185.451614
458.0,458,189.83613
500.0,500,194.565206
500.0,500,199.289204
500.0,500,204.01537
500.0,500,208.781069
491.0,491,213.408461
487.0,487,218.022043
335.0,335,221.194366
408.0,408,225.092743
395.0,395,228.822497
417.0,417,232.779725
327.0,327,235.878634
378.0,378,239.498776
297.0,297,242.304328
318.0,318,245.32521
322.0,322,248.41248
280.0,280,251.147217
310.0,310,254.076631
284.0,284,256.775482
287.0,287,259.499461
277.0,277,262.161363
285.0,285,264.849501
320.0,320,267.871766
310.0,310,270.811361
299.0,299,273.68084
280.0,280,276.335118
297.0,297,279.13761
336.0,336,282.314379
276.0,276,284.972545
268.0,268,287.513974
275.0,275,290.115826
311.0,311,293.059778
357.0,357,296.486445
274.0,274,299.087067
299.0,299,301.921858
290.0,290,304.665773
347.0,347,307.982365
279.0,279,310.623802
325.0,325,313.707544
353.0,353,317.056995
310.0,310,320.065112
274.0,274,322.676781
287.0,287,325.397972
304.0,304,328.285947
298.0,298,331.146012
363.0,363,334.58253
328.0,328,337.7031
309.0,309,340.640987
337.0,337,343.871307
405.0,405,347.706714
352.0,352,351.045888
307.0,307,353.965219
394.0,394,357.74939
352.0,352,361.083822
366.0,366,364.553075
346.0,346,367.847895
469.0,469,372.343445
466.0,466,376.752455
500.0,500,381.501571
500.0,500,386.242698
500.0,500,391.041006
500.0,500,395.791837
500.0,500,400.533846
500.0,500,405.281973
447.0,447,409.566618
373.0,373,413.10331
414.0,414,417.01712
500.0,500,421.767304
360.0,360,425.228872
310.0,310,428.168544
323.0,323,431.233547
264.0,264,433.743559
259.0,259,436.251965
332.0,332,439.40027
380.0,380,442.993951
280.0,280,445.650087
312.0,312,448.653994
341.0,341,451.89597
382.0,382,455.519129
381.0,381,459.137865
322.0,322,462.237384
315.0,315,465.229982
258.0,258,467.676923
295.0,295,470.467552
255.0,255,472.931874
457.0,457,477.278768
322.0,322,480.334587
256.0,256,482.752825
350.0,350,486.121227
316.0,316,489.130658
307.0,307,492.046106
322.0,322,495.102721
301.0,301,497.989009
296.0,296,500.82188
287.0,287,503.569492
328.0,328,506.678417
421.0,421,510.696943
257.0,257,513.13886
339.0,339,516.365507
384.0,384,520.014024
381.0,381,523.663121
275.0,275,526.275535
272.0,272,528.861885
354.0,354,532.229014
262.0,262,534.761529
500.0,500,539.496598
399.0,399,543.295881
357.0,357,546.69174
359.0,359,550.132195
396.0,396,553.896535
298.0,298,556.731458
433.0,433,560.840737
500.0,500,565.611789
426.0,426,569.664314
422.0,422,573.67632
365.0,365,577.137392
426.0,426,581.224486
449.0,449,585.496136
414.0,414,589.421157
383.0,383,593.05078
500.0,500,597.836877
396.0,396,601.595335
500.0,500,606.329864
500.0,500,611.081151
433.0,433,615.23744
500.0,500,619.981459
500.0,500,624.727061
500.0,500,629.485327
500.0,500,634.265871
480.0,480,638.84641
386.0,386,642.519335
448.0,448,646.772168
489.0,489,651.464544
391.0,391,655.177
500.0,500,659.914548
425.0,425,663.959664
500.0,500,668.754999
500.0,500,673.499141
380.0,380,677.10575
500.0,500,681.888438
500.0,500,686.706516
439.0,439,690.887
500.0,500,695.643726
466.0,466,700.061038
469.0,469,704.555407
432.0,432,708.676268
459.0,459,713.037409
416.0,416,716.986526
500.0,500,721.772582
322.0,322,724.829155
433.0,433,728.934933
434.0,434,733.05805
480.0,480,737.669259
500.0,500,742.407633
500.0,500,747.15372
500.0,500,751.906813
372.0,372,755.484278
500.0,500,760.244994
500.0,500,764.999172
500.0,500,769.76492
500.0,500,774.554316
500.0,500,779.302442
500.0,500,784.039309
500.0,500,788.791284
500.0,500,793.578729
500.0,500,798.323473
500.0,500,803.073842
500.0,500,807.813687
