#{"t_start": 1734760316.426216, "env_id": "ContinuousCartPole-v0"}
r,l,t
42.0,42,0.258637
45.0,45,0.264596
36.0,36,0.497971
27.0,27,0.759511
34.0,34,1.080024
33.0,33,1.394063
66.0,66,2.04954
32.0,32,2.351777
33.0,33,2.664755
30.0,30,2.948591
34.0,34,3.26893
36.0,36,3.642264
23.0,23,3.862954
37.0,37,4.215021
33.0,33,4.526852
32.0,32,4.866789
66.0,66,5.495469
34.0,34,5.819219
30.0,30,6.152025
33.0,33,6.465319
66.0,66,7.093616
79.0,79,7.884055
49.0,49,8.347916
31.0,31,8.639767
35.0,35,8.970863
44.0,44,9.384747
37.0,37,9.767788
30.0,30,10.051938
30.0,30,10.339521
60.0,60,10.903203
31.0,31,11.230131
54.0,54,11.738142
36.0,36,12.07798
35.0,35,12.406157
32.0,32,12.706189
41.0,41,13.135833
42.0,42,13.532277
63.0,63,14.120083
29.0,29,14.425662
43.0,43,14.830673
33.0,33,15.141345
37.0,37,15.489602
48.0,48,15.968379
31.0,31,16.264252
69.0,69,16.913965
39.0,39,17.282222
37.0,37,17.66823
30.0,30,17.950894
62.0,62,18.537255
25.0,25,18.773313
28.0,28,19.068397
50.0,50,19.543566
46.0,46,19.990155
50.0,50,20.46265
45.0,45,20.922849
40.0,40,21.298568
31.0,31,21.59273
29.0,29,21.865012
29.0,29,22.139959
36.0,36,22.510306
79.0,79,23.25676
37.0,37,23.636468
36.0,36,23.975658
51.0,51,24.454583
42.0,42,24.850984
93.0,93,25.757605
56.0,56,26.284368
66.0,66,26.904437
41.0,41,27.290404
49.0,49,27.748526
73.0,73,28.485389
28.0,28,28.748263
46.0,46,29.180568
73.0,73,29.901573
35.0,35,30.23452
43.0,43,30.642095
42.0,42,31.039505
41.0,41,31.426521
31.0,31,31.719385
48.0,48,32.204961
36.0,36,32.550495
44.0,44,32.970383
34.0,34,33.328363
63.0,63,33.92578
44.0,44,34.357134
36.0,36,34.70137
53.0,53,35.253045
63.0,63,35.847893
56.0,56,36.375108
49.0,49,36.835011
44.0,44,37.280366
38.0,38,37.636576
51.0,51,38.116586
34.0,34,38.434793
42.0,42,38.860061
67.0,67,39.489586
47.0,47,39.930468
47.0,47,40.373613
56.0,56,40.930911
52.0,52,41.418985
73.0,73,42.109347
47.0,47,42.603064
68.0,68,43.248988
63.0,63,43.845359
48.0,48,44.300146
118.0,118,45.444542
77.0,77,46.170709
40.0,40,46.54776
50.0,50,47.019051
59.0,59,47.577412
132.0,132,48.849329
75.0,75,49.55208
56.0,56,50.077997
54.0,54,50.586307
64.0,64,51.221593
53.0,53,51.719081
60.0,60,52.29427
73.0,73,53.015335
100.0,100,53.956988
53.0,53,54.459241
173.0,173,56.127022
116.0,116,57.224906
174.0,174,58.86881
239.0,239,61.129009
277.0,277,63.761657
168.0,168,65.337523
153.0,153,66.774151
173.0,173,68.407003
426.0,426,72.476996
257.0,257,74.899766
