#{"t_start": 1734722362.979537, "env_id": "ContinuousCartPole-v0"}
r,l,t
47.0,47,0.245813
31.0,31,0.249642
77.0,77,0.778793
30.0,30,1.056983
51.0,51,1.534255
48.0,48,1.979046
27.0,27,2.229769
43.0,43,2.663338
75.0,75,3.35757
64.0,64,3.949978
44.0,44,4.357752
63.0,63,4.983956
47.0,47,5.430082
43.0,43,5.828268
46.0,46,6.256326
53.0,53,6.785254
28.0,28,7.04876
32.0,32,7.348536
35.0,35,7.676486
28.0,28,7.937141
37.0,37,8.284332
38.0,38,8.64107
67.0,67,9.267721
35.0,35,9.624751
34.0,34,9.942474
31.0,31,10.232315
58.0,58,10.770471
37.0,37,11.121097
35.0,35,11.474191
36.0,36,11.8139
34.0,34,12.133119
30.0,30,12.414945
38.0,38,12.810536
28.0,28,13.073001
42.0,42,13.46395
53.0,53,13.952778
27.0,27,14.20256
44.0,44,14.612597
35.0,35,14.93636
35.0,35,15.258508
30.0,30,15.537898
50.0,50,15.999344
66.0,66,16.653426
39.0,39,17.01607
50.0,50,17.480488
43.0,43,17.878922
38.0,38,18.231185
47.0,47,18.699758
70.0,70,19.352944
41.0,41,19.734638
49.0,49,20.19851
35.0,35,20.567479
48.0,48,21.032498
39.0,39,21.412722
35.0,35,21.782139
66.0,66,22.47703
29.0,29,22.755349
53.0,53,23.263045
52.0,52,23.804226
49.0,49,24.272118
27.0,27,24.534253
64.0,64,25.149176
25.0,25,25.422202
38.0,38,25.789147
38.0,38,26.160411
35.0,35,26.497872
44.0,44,26.952922
35.0,35,27.289454
29.0,29,27.572001
58.0,58,28.131311
34.0,34,28.491139
30.0,30,28.781515
51.0,51,29.275368
41.0,41,29.680293
38.0,38,30.079347
46.0,46,30.520625
54.0,54,31.034895
43.0,43,31.480768
31.0,31,31.810627
36.0,36,32.161823
50.0,50,32.647211
39.0,39,33.0234
35.0,35,33.399122
43.0,43,33.811221
34.0,34,34.13663
36.0,36,34.484985
48.0,48,34.983375
56.0,56,35.525243
53.0,53,36.042061
42.0,42,36.453466
45.0,45,36.931551
40.0,40,37.321064
78.0,78,38.125364
38.0,38,38.523685
55.0,55,39.054974
50.0,50,39.570957
48.0,48,40.061376
67.0,67,40.743165
44.0,44,41.153067
69.0,69,41.793523
51.0,51,42.273613
67.0,67,42.953766
48.0,48,43.427844
42.0,42,43.841746
101.0,101,44.902225
121.0,121,46.113323
64.0,64,46.730169
75.0,75,47.472111
92.0,92,48.361039
113.0,113,49.509631
45.0,45,49.956045
113.0,113,51.061245
68.0,68,51.752764
68.0,68,52.438531
173.0,173,54.178165
129.0,129,55.419901
192.0,192,57.431981
49.0,49,57.936971
167.0,167,59.561342
205.0,205,61.682316
77.0,77,62.467915
136.0,136,63.848902
181.0,181,65.63198
159.0,159,67.198223
186.0,186,69.035884
173.0,173,70.682939
143.0,143,72.048754
375.0,375,75.606094
207.0,207,77.620457
355.0,355,80.99503
393.0,393,84.719048
399.0,399,88.481053
400.0,400,92.336491
500.0,500,97.099465
474.0,474,101.560798
458.0,458,105.937428
277.0,277,108.613934
369.0,369,112.088341
409.0,409,115.949612
292.0,292,118.73003
450.0,450,123.053305
298.0,298,125.855749
336.0,336,129.030852
324.0,324,132.125982
443.0,443,136.388552
308.0,308,139.292627
424.0,424,143.333658
310.0,310,146.291679
310.0,310,149.263341
249.0,249,151.602898
433.0,433,155.708129
306.0,306,158.626014
255.0,255,161.124269
443.0,443,165.339299
293.0,293,168.113553
441.0,441,172.313769
337.0,337,175.583211
369.0,369,179.064086
341.0,341,182.293188
312.0,312,185.269831
377.0,377,188.884513
306.0,306,191.788015
487.0,487,196.402887
324.0,324,199.485444
283.0,283,202.22987
399.0,399,205.991806
426.0,426,210.011194
500.0,500,214.682661
447.0,447,218.883689
481.0,481,223.347003
421.0,421,227.260454
300.0,300,230.03415
500.0,500,234.83491
484.0,484,239.393854
435.0,435,243.50135
426.0,426,247.609333
261.0,261,250.181223
323.0,323,253.238286
369.0,369,256.697884
427.0,427,260.720085
321.0,321,263.777965
329.0,329,266.874447
316.0,316,269.848952
300.0,300,272.657261
430.0,430,276.91673
320.0,320,279.945441
282.0,282,282.58425
