#{"t_start": 1734748919.7262862, "env_id": "ContinuousCartPole-v0"}
r,l,t
43.0,43,0.256084
42.0,42,0.261562
29.0,29,0.407062
35.0,35,0.739484
32.0,32,1.038168
46.0,46,1.464264
26.0,26,1.704345
31.0,31,2.023199
35.0,35,2.348544
44.0,44,2.754665
30.0,30,3.032319
34.0,34,3.379185
26.0,26,3.619841
38.0,38,3.97519
40.0,40,4.349431
38.0,38,4.741337
35.0,35,5.070891
42.0,42,5.466736
28.0,28,5.729881
31.0,31,6.055677
32.0,32,6.356153
32.0,32,6.657111
85.0,85,7.493226
48.0,48,7.943655
61.0,61,8.518253
36.0,36,8.85519
43.0,43,9.299341
31.0,31,9.588168
22.0,22,9.794836
37.0,37,10.140739
50.0,50,10.606448
33.0,33,10.943141
49.0,49,11.393396
34.0,34,11.705558
32.0,32,11.99957
38.0,38,12.381463
37.0,37,12.722906
31.0,31,13.007468
35.0,35,13.329663
31.0,31,13.64908
39.0,39,14.006903
78.0,78,14.721052
29.0,29,15.017908
32.0,32,15.31293
78.0,78,16.028903
33.0,33,16.330443
40.0,40,16.744758
31.0,31,17.033811
82.0,82,17.797715
59.0,59,18.379473
81.0,81,19.136753
32.0,32,19.435752
81.0,81,20.190723
39.0,39,20.584014
41.0,41,20.96633
41.0,41,21.349397
54.0,54,21.853786
34.0,34,22.169191
33.0,33,22.51459
36.0,36,22.853369
41.0,41,23.235656
32.0,32,23.527713
37.0,37,23.868972
48.0,48,24.344576
45.0,45,24.757783
35.0,35,25.078622
45.0,45,25.535529
42.0,42,25.925893
30.0,30,26.201564
68.0,68,26.827429
36.0,36,27.18724
49.0,49,27.637201
36.0,36,27.96821
34.0,34,28.28129
38.0,38,28.630774
44.0,44,29.070606
39.0,39,29.429421
81.0,81,30.217688
100.0,100,31.149234
46.0,46,31.57775
70.0,70,32.233687
38.0,38,32.587808
52.0,52,33.104223
173.0,173,34.72094
30.0,30,35.00123
43.0,43,35.403516
45.0,45,35.853259
36.0,36,36.202927
38.0,38,36.552527
68.0,68,37.178141
37.0,37,37.549914
38.0,38,37.898347
40.0,40,38.266581
38.0,38,38.616011
43.0,43,39.04236
68.0,68,39.667844
55.0,55,40.174058
47.0,47,40.607452
52.0,52,41.12187
92.0,92,41.967095
38.0,38,42.318401
113.0,113,43.411956
105.0,105,44.41741
69.0,69,45.077298
40.0,40,45.45357
114.0,114,46.553421
66.0,66,47.16992
43.0,43,47.571855
70.0,70,48.225634
89.0,89,49.075719
39.0,39,49.432783
112.0,112,50.46055
49.0,49,50.911219
49.0,49,51.362187
191.0,191,53.147366
78.0,78,53.864092
164.0,164,55.412204
167.0,167,56.972164
128.0,128,58.166672
266.0,266,60.64499
329.0,329,63.719932
226.0,226,65.795104
210.0,210,67.719154
185.0,185,69.435554
165.0,165,71.00925
321.0,321,74.009302
269.0,269,76.490443
336.0,336,79.57465
244.0,244,81.855051
179.0,179,83.527965
248.0,248,85.843775
277.0,277,88.437686
256.0,256,90.824898
307.0,307,93.644051
447.0,447,97.79077
366.0,366,101.208793
301.0,301,104.021966
494.0,494,108.560711
415.0,415,112.436535
459.0,459,116.719266
308.0,308,119.595654
391.0,391,123.199518
500.0,500,127.877332
324.0,324,130.878436
500.0,500,135.506942
336.0,336,138.635619
500.0,500,143.308161
342.0,342,146.441313
446.0,446,150.604985
464.0,464,154.949834
500.0,500,159.624487
352.0,352,162.857128
454.0,454,167.215247
500.0,500,171.854816
272.0,272,174.354346
310.0,310,177.215803
389.0,389,180.909711
374.0,374,184.386783
304.0,304,187.184766
500.0,500,191.817061
272.0,272,194.397952
248.0,248,196.721744
500.0,500,201.339643
500.0,500,205.981135
307.0,307,208.901184
391.0,391,212.518556
424.0,424,216.429933
393.0,393,220.101216
