#{"t_start": 1734731833.3119519, "env_id": "ContinuousCartPole-v0"}
r,l,t
34.0,34,0.255619
31.0,31,0.259716
30.0,30,0.263731
23.0,23,0.451419
25.0,25,0.696441
61.0,61,1.28323
36.0,36,1.657739
38.0,38,2.022374
39.0,39,2.397408
79.0,79,3.195737
40.0,40,3.582312
31.0,31,3.880868
37.0,37,4.242834
32.0,32,4.550742
38.0,38,4.916005
38.0,38,5.311048
46.0,46,5.756947
34.0,34,6.082808
32.0,32,6.418136
45.0,45,6.849045
46.0,46,7.292295
31.0,31,7.589075
34.0,34,7.915728
50.0,50,8.426769
34.0,34,8.75383
45.0,45,9.18463
27.0,27,9.44356
34.0,34,9.797928
69.0,69,10.455887
59.0,59,11.047349
45.0,45,11.473382
51.0,51,11.95748
26.0,26,12.205676
34.0,34,12.529202
35.0,35,12.861313
52.0,52,13.380779
45.0,45,13.807665
29.0,29,14.082497
26.0,26,14.328532
36.0,36,14.697689
43.0,43,15.105145
35.0,35,15.438645
34.0,34,15.76244
39.0,39,16.165606
56.0,56,16.701904
42.0,42,17.101124
44.0,44,17.549247
66.0,66,18.17695
31.0,31,18.474016
33.0,33,18.787301
30.0,30,19.07374
37.0,37,19.456068
29.0,29,19.732842
23.0,23,19.952603
67.0,67,20.626033
30.0,30,20.91366
27.0,27,21.171641
38.0,38,21.535414
39.0,39,21.904215
35.0,35,22.266827
37.0,37,22.618831
28.0,28,22.883366
46.0,46,23.337405
37.0,37,23.695774
39.0,39,24.065493
36.0,36,24.40563
42.0,42,24.835739
47.0,47,25.282265
46.0,46,25.726426
65.0,65,26.344124
40.0,40,26.753802
27.0,27,27.011573
42.0,42,27.411225
47.0,47,27.860104
79.0,79,28.64154
43.0,43,29.051944
52.0,52,29.550005
35.0,35,29.882725
29.0,29,30.18744
32.0,32,30.491909
35.0,35,30.827067
30.0,30,31.112156
43.0,43,31.522548
44.0,44,31.971438
39.0,39,32.344579
37.0,37,32.698539
38.0,38,33.081237
46.0,46,33.528855
38.0,38,33.895122
43.0,43,34.304772
75.0,75,35.048107
51.0,51,35.530774
103.0,103,36.507866
41.0,41,36.927249
45.0,45,37.355483
61.0,61,37.932255
47.0,47,38.378967
62.0,62,38.966295
71.0,71,39.680286
54.0,54,40.191261
74.0,74,40.898843
46.0,46,41.365025
57.0,57,41.908513
68.0,68,42.556565
34.0,34,42.882048
45.0,45,43.310463
48.0,48,43.799844
69.0,69,44.45775
81.0,81,45.232769
61.0,61,45.841503
94.0,94,46.740927
64.0,64,47.346901
42.0,42,47.745795
109.0,109,48.825538
53.0,53,49.329815
