#{"t_start": 1734752713.946229, "env_id": "ContinuousCartPole-v0"}
r,l,t
36.0,36,0.258973
65.0,65,0.268047
38.0,38,0.652507
57.0,57,1.224032
30.0,30,1.506119
39.0,39,1.872234
41.0,41,2.255846
39.0,39,2.652569
32.0,32,2.951759
31.0,31,3.242422
42.0,42,3.633443
33.0,33,3.982237
26.0,26,4.22887
44.0,44,4.640586
37.0,37,4.990325
32.0,32,5.322489
91.0,91,6.179222
44.0,44,6.621307
47.0,47,7.062645
45.0,45,7.482916
42.0,42,7.877447
29.0,29,8.147603
40.0,40,8.52151
39.0,39,8.918082
43.0,43,9.317728
38.0,38,9.66908
51.0,51,10.175693
38.0,38,10.53239
26.0,26,10.773789
34.0,34,11.08938
33.0,33,11.395666
47.0,47,11.877353
26.0,26,12.118664
61.0,61,12.682145
36.0,36,13.047201
44.0,44,13.455746
51.0,51,13.929663
36.0,36,14.263046
46.0,46,14.721269
48.0,48,15.165073
32.0,32,15.460805
31.0,31,15.749062
41.0,41,16.127666
38.0,38,16.513194
50.0,50,16.97676
52.0,52,17.458624
52.0,52,17.972058
53.0,53,18.46515
36.0,36,18.8
37.0,37,19.143614
28.0,28,19.404211
38.0,38,19.789834
40.0,40,20.160933
42.0,42,20.551985
33.0,33,20.859308
30.0,30,21.186335
42.0,42,21.579691
64.0,64,22.178309
36.0,36,22.543916
35.0,35,22.870584
36.0,36,23.204908
34.0,34,23.522112
45.0,45,23.970065
40.0,40,24.343765
29.0,29,24.613018
29.0,29,24.882247
26.0,26,25.123949
84.0,84,25.932588
50.0,50,26.398932
47.0,47,26.835745
32.0,32,27.165997
36.0,36,27.501501
41.0,41,27.88244
35.0,35,28.208445
56.0,56,28.770549
47.0,47,29.207272
34.0,34,29.525006
52.0,52,30.011171
32.0,32,30.33902
31.0,31,30.628348
55.0,55,31.141034
46.0,46,31.567516
64.0,64,32.197286
40.0,40,32.569166
42.0,42,32.961691
68.0,68,33.592507
71.0,71,34.288886
44.0,44,34.697725
40.0,40,35.072631
100.0,100,36.036987
61.0,61,36.60613
56.0,56,37.128026
62.0,62,37.703785
40.0,40,38.073775
47.0,47,38.557049
63.0,63,39.140281
69.0,69,39.781652
45.0,45,40.226576
40.0,40,40.604318
58.0,58,41.141073
39.0,39,41.503752
67.0,67,42.126315
64.0,64,42.75521
39.0,39,43.119479
62.0,62,43.698176
78.0,78,44.461643
44.0,44,44.88295
90.0,90,45.723993
193.0,193,47.593133
59.0,59,48.14692
54.0,54,48.651325
61.0,61,49.220591
98.0,98,50.131664
113.0,113,51.214692
41.0,41,51.598495
109.0,109,52.613196
61.0,61,53.181732
122.0,122,54.347632
165.0,165,55.884216
158.0,158,57.359422
188.0,188,59.145159
139.0,139,60.441859
167.0,167,62.003085
184.0,184,63.713942
161.0,161,65.252755
135.0,135,66.507412
163.0,163,68.022163
197.0,197,69.860032
147.0,147,71.272874
147.0,147,72.651476
203.0,203,74.549106
293.0,293,77.280224
289.0,289,80.004779
262.0,262,82.438909
313.0,313,85.372254
296.0,296,88.15141
280.0,280,90.807326
308.0,308,93.679692
379.0,379,97.211432
360.0,360,100.773836
302.0,302,103.645824
265.0,265,106.117861
396.0,396,109.8164
339.0,339,113.001318
362.0,362,116.425087
402.0,402,120.167816
500.0,500,124.834463
437.0,437,128.93292
354.0,354,132.27121
465.0,465,136.60713
434.0,434,140.681379
500.0,500,145.362322
363.0,363,148.798367
500.0,500,153.477627
368.0,368,156.926332
445.0,445,161.07231
500.0,500,165.785964
500.0,500,170.475824
486.0,486,175.014012
500.0,500,179.693384
500.0,500,184.433902
500.0,500,189.100932
500.0,500,193.778621
500.0,500,198.467875
500.0,500,203.157082
500.0,500,207.842656
500.0,500,212.539664
500.0,500,217.197221
500.0,500,221.929955
500.0,500,226.652512
386.0,386,230.266167
318.0,318,233.246556
500.0,500,237.989256
444.0,444,242.133928
500.0,500,246.814811
385.0,385,250.427753
421.0,421,254.39107
500.0,500,259.061841
500.0,500,263.76053
500.0,500,268.438404
390.0,390,272.113905
279.0,279,274.732013
500.0,500,279.425162
257.0,257,281.827061
500.0,500,286.552206
365.0,365,289.97526
500.0,500,294.660478
302.0,302,297.481774
356.0,356,300.848667
418.0,418,304.77455
436.0,436,308.85885
500.0,500,313.537602
352.0,352,316.88105
500.0,500,321.574184
500.0,500,326.241413
500.0,500,330.940572
358.0,358,334.347529
397.0,397,338.062748
310.0,310,340.966321
500.0,500,345.670236
405.0,405,349.497269
500.0,500,354.175475
498.0,498,358.86289
500.0,500,363.538433
500.0,500,368.25223
374.0,374,371.766599
500.0,500,376.451159
489.0,489,381.020166
412.0,412,384.929997
500.0,500,389.623987
500.0,500,394.299302
423.0,423,398.262623
500.0,500,403.002019
411.0,411,406.867381
401.0,401,410.66506
500.0,500,415.367049
474.0,474,419.836871
500.0,500,424.530733
384.0,384,428.145089
358.0,358,431.486254
423.0,423,435.483837
500.0,500,440.180697
500.0,500,444.863851
412.0,412,448.706126
500.0,500,453.441161
500.0,500,458.133987
458.0,458,462.4148
462.0,462,466.759199
500.0,500,471.483787
500.0,500,476.148992
500.0,500,480.860354
457.0,457,485.148801
498.0,498,489.832966
458.0,458,494.138627
500.0,500,498.820497
500.0,500,503.498209
500.0,500,508.223691
500.0,500,512.920143
428.0,428,516.911036
500.0,500,521.606861
500.0,500,526.342917
500.0,500,531.015595
500.0,500,535.70725
500.0,500,540.398654
500.0,500,545.097606
500.0,500,549.800247
500.0,500,554.490897
500.0,500,559.17886
472.0,472,563.653155
388.0,388,567.292672
500.0,500,571.961406
500.0,500,576.66977
500.0,500,581.398754
500.0,500,586.069301
336.0,336,589.275591
500.0,500,593.973795
387.0,387,597.631958
500.0,500,602.324606
500.0,500,607.020647
269.0,269,609.539132
358.0,358,612.953043
345.0,345,616.201998
500.0,500,620.909257
500.0,500,625.582322
445.0,445,629.799872
500.0,500,634.508721
500.0,500,639.186022
500.0,500,643.889403
438.0,438,648.054037
500.0,500,652.73858
500.0,500,657.438793
500.0,500,662.147696
500.0,500,666.880005
500.0,500,671.58537
500.0,500,676.286924
500.0,500,680.967878
500.0,500,685.712729
500.0,500,690.41284
500.0,500,695.094979
500.0,500,699.802589
500.0,500,704.552965
500.0,500,709.2507
500.0,500,713.967135
500.0,500,718.661098
500.0,500,723.388149
500.0,500,728.100186
500.0,500,732.7901
500.0,500,737.482186
500.0,500,742.25076
475.0,475,746.697219
500.0,500,751.385726
423.0,423,755.372039
500.0,500,760.094138
500.0,500,764.781481
500.0,500,769.542123
500.0,500,774.284968
500.0,500,779.031573
500.0,500,783.737718
500.0,500,788.415111
500.0,500,793.113015
500.0,500,797.866352
500.0,500,802.555664
500.0,500,807.262046
500.0,500,811.969907
500.0,500,816.690742
500.0,500,821.405838
500.0,500,826.103097
500.0,500,830.789115
500.0,500,835.540117
500.0,500,840.243402
500.0,500,844.920964
500.0,500,849.635004
500.0,500,854.37102
500.0,500,859.06328
500.0,500,863.782665
500.0,500,868.482661
500.0,500,873.211662
500.0,500,877.923738
500.0,500,882.609502
500.0,500,887.301934
500.0,500,892.059724
500.0,500,896.747671
500.0,500,901.438289
500.0,500,906.148712
407.0,407,909.990505
500.0,500,914.69606
438.0,438,918.819903
500.0,500,923.522515
423.0,423,927.533029
399.0,399,931.293027
412.0,412,935.160369
425.0,425,939.137491
392.0,392,942.86771
500.0,500,947.575081
365.0,365,951.034988
395.0,395,954.755133
482.0,482,959.332331
500.0,500,964.016712
500.0,500,968.715611
500.0,500,973.425404
500.0,500,978.149777
500.0,500,982.851479
500.0,500,987.563442
500.0,500,992.248752
500.0,500,996.996379
500.0,500,1001.702383
500.0,500,1006.392902
500.0,500,1011.102461
500.0,500,1015.834143
500.0,500,1020.523935
500.0,500,1025.228281
500.0,500,1029.934558
500.0,500,1034.662155
500.0,500,1039.412005
500.0,500,1044.111492
500.0,500,1048.795372
500.0,500,1053.542951
500.0,500,1058.243628
500.0,500,1062.942617
500.0,500,1067.661435
500.0,500,1072.395397
500.0,500,1077.093951
500.0,500,1081.799818
500.0,500,1086.480363
500.0,500,1091.21612
500.0,500,1095.926011
500.0,500,1100.604707
500.0,500,1105.301914
500.0,500,1110.058149
500.0,500,1114.738827
500.0,500,1119.441522
500.0,500,1124.146501
500.0,500,1128.882865
500.0,500,1133.62033
500.0,500,1138.321892
500.0,500,1142.999063
500.0,500,1147.743693
500.0,500,1152.434113
500.0,500,1157.114096
500.0,500,1161.81663
500.0,500,1166.547651
500.0,500,1171.233892
500.0,500,1175.939886
500.0,500,1180.618373
500.0,500,1185.334283
500.0,500,1190.050701
500.0,500,1194.740666
500.0,500,1199.423285
500.0,500,1204.162244
500.0,500,1208.846734
500.0,500,1213.542416
500.0,500,1218.24951
500.0,500,1222.997752
500.0,500,1227.689172
500.0,500,1232.395662
500.0,500,1237.077771
500.0,500,1241.812794
500.0,500,1246.528625
500.0,500,1251.211703
500.0,500,1255.907809
500.0,500,1260.657241
500.0,500,1265.334026
500.0,500,1270.0353
500.0,500,1274.73688
500.0,500,1279.448962
500.0,500,1284.170208
500.0,500,1288.866829
500.0,500,1293.551176
500.0,500,1298.300761
500.0,500,1303.000595
500.0,500,1307.692016
500.0,500,1312.432988
500.0,500,1317.175219
500.0,500,1321.864975
500.0,500,1326.57948
500.0,500,1331.269197
500.0,500,1335.984815
500.0,500,1340.692271
500.0,500,1345.38008
500.0,500,1350.074266
500.0,500,1354.827582
