#{"t_start": 1734543126.537579, "env_id": "ContinuousCartPole-v0"}
r,l,t
51.0,51,0.253381
36.0,36,0.260376
44.0,44,0.268949
40.0,40,0.27603
69.0,69,0.288623
34.0,34,0.294641
33.0,33,0.300496
28.0,28,0.305373
56.0,56,0.316258
58.0,58,0.32746
42.0,42,0.337339
39.0,39,0.34463
36.0,36,0.351732
33.0,33,0.357544
64.0,64,0.36946
49.0,49,0.378419
33.0,33,0.384386
37.0,37,0.39163
36.0,36,0.397842
31.0,31,0.40353
36.0,36,0.410294
27.0,27,0.414999
57.0,57,0.425162
39.0,39,0.431962
36.0,36,0.438447
46.0,46,0.447028
50.0,50,0.45617
46.0,46,0.465077
49.0,49,0.474068
50.0,50,0.483118
55.0,55,0.493172
52.0,52,0.502422
24.0,24,0.506527
30.0,30,0.511955
85.0,85,0.527198
52.0,52,0.536891
38.0,38,0.543808
29.0,29,0.549012
25.0,25,0.553663
29.0,29,0.559057
52.0,52,0.568193
51.0,51,0.577412
34.0,34,0.5835
35.0,35,0.589867
31.0,31,0.595728
53.0,53,0.605267
39.0,39,0.612327
30.0,30,0.617974
44.0,44,1.084566
24.0,24,1.088777
40.0,40,1.096293
22.0,22,1.10041
37.0,37,1.107224
25.0,25,1.11191
32.0,32,1.117759
30.0,30,1.123204
30.0,30,1.12844
50.0,50,1.137795
27.0,27,1.14259
60.0,60,1.153342
27.0,27,1.15825
57.0,57,1.168483
40.0,40,1.176169
52.0,52,1.185668
42.0,42,1.193414
28.0,28,1.198321
45.0,45,1.206092
31.0,31,1.211913
33.0,33,1.218154
51.0,51,1.227553
35.0,35,1.234279
40.0,40,1.241691
41.0,41,1.248738
43.0,43,1.256773
58.0,58,1.267546
71.0,71,1.280476
30.0,30,1.286367
30.0,30,1.292139
36.0,36,1.298711
52.0,52,1.307856
49.0,49,1.316789
43.0,43,1.324946
59.0,59,1.335732
37.0,37,1.342486
33.0,33,1.348148
41.0,41,1.355647
43.0,43,1.363365
25.0,25,1.367997
49.0,49,1.376803
46.0,46,1.38516
31.0,31,1.390495
31.0,31,1.396088
27.0,27,1.401319
38.0,38,1.408264
56.0,56,1.418685
42.0,42,1.426413
49.0,49,1.435573
