#{"t_start": 1734544378.589004, "env_id": "ContinuousCartPole-v0"}
r,l,t
36.0,36,0.250712
32.0,32,0.256781
30.0,30,0.262358
46.0,46,0.270481
29.0,29,0.276066
44.0,44,0.283722
24.0,24,0.288573
33.0,33,0.294322
30.0,30,0.299431
37.0,37,0.306053
36.0,36,0.312684
41.0,41,0.319877
80.0,80,0.334274
35.0,35,0.340678
37.0,37,0.347158
30.0,30,0.352258
52.0,52,0.361426
53.0,53,0.370349
35.0,35,0.376819
43.0,43,0.384466
45.0,45,0.392289
28.0,28,0.397174
48.0,48,0.405536
47.0,47,0.413304
54.0,54,0.423141
35.0,35,0.429771
79.0,79,0.443097
47.0,47,0.451562
37.0,37,0.458247
43.0,43,0.465599
40.0,40,0.472635
36.0,36,0.479029
35.0,35,0.485221
30.0,30,0.490453
31.0,31,0.496003
34.0,34,0.501985
31.0,31,0.507564
33.0,33,0.513067
32.0,32,0.518924
33.0,33,0.524882
40.0,40,0.531847
43.0,43,0.539809
55.0,55,0.549447
27.0,27,0.554162
34.0,34,0.560116
36.0,36,0.566732
35.0,35,0.572784
33.0,33,0.579171
39.0,39,0.585812
32.0,32,0.591663
48.0,48,0.600144
51.0,51,1.064189
27.0,27,1.068964
54.0,54,1.078993
38.0,38,1.085869
48.0,48,1.09492
31.0,31,1.100199
31.0,31,1.105676
26.0,26,1.1102
28.0,28,1.115788
36.0,36,1.121818
40.0,40,1.129638
80.0,80,1.143637
36.0,36,1.149958
75.0,75,1.162921
37.0,37,1.17021
47.0,47,1.178572
37.0,37,1.184904
50.0,50,1.193291
45.0,45,1.20088
42.0,42,1.208633
74.0,74,1.221721
35.0,35,1.227878
72.0,72,1.240696
58.0,58,1.250966
42.0,42,1.259086
74.0,74,1.272298
27.0,27,1.277338
67.0,67,1.288939
40.0,40,1.295955
32.0,32,1.301246
113.0,113,1.321079
47.0,47,1.329299
55.0,55,1.338689
40.0,40,1.345852
37.0,37,1.352654
34.0,34,1.358766
50.0,50,1.367371
42.0,42,1.374443
25.0,25,1.37936
35.0,35,1.385362
50.0,50,1.394036
47.0,47,1.402109
36.0,36,1.408518
60.0,60,1.419118
36.0,36,1.425175
41.0,41,1.868168
26.0,26,1.873391
31.0,31,1.878721
39.0,39,1.885554
36.0,36,1.892256
39.0,39,1.898775
46.0,46,1.907149
41.0,41,1.914493
26.0,26,1.918964
55.0,55,1.929109
32.0,32,1.935002
50.0,50,1.943813
29.0,29,1.948868
33.0,33,1.954599
25.0,25,1.958828
33.0,33,1.964914
28.0,28,1.969529
47.0,47,1.978024
33.0,33,1.983869
31.0,31,1.98938
55.0,55,1.998888
32.0,32,2.004231
37.0,37,2.010184
27.0,27,2.015031
31.0,31,2.020502
55.0,55,2.030492
36.0,36,2.037146
69.0,69,2.048914
41.0,41,2.05552
38.0,38,2.061599
58.0,58,2.072368
29.0,29,2.077725
29.0,29,2.082896
48.0,48,2.091469
34.0,34,2.097416
62.0,62,2.107858
44.0,44,2.1157
53.0,53,2.125007
48.0,48,2.133723
28.0,28,2.138822
46.0,46,2.146937
33.0,33,2.152475
33.0,33,2.158538
30.0,30,2.163967
39.0,39,2.170594
23.0,23,2.174984
31.0,31,2.180057
31.0,31,2.185722
23.0,23,2.1898
34.0,34,2.195909
37.0,37,2.202232
58.0,58,2.212111
28.0,28,2.217288
36.0,36,2.65974
107.0,107,2.679047
41.0,41,2.686089
41.0,41,2.693503
36.0,36,2.700128
42.0,42,2.707983
39.0,39,2.714767
44.0,44,2.722214
49.0,49,2.730388
58.0,58,2.740958
32.0,32,2.746803
33.0,33,2.7524
31.0,31,2.758155
44.0,44,2.765845
61.0,61,2.77632
39.0,39,2.783032
40.0,40,2.789775
45.0,45,2.798006
40.0,40,2.805319
35.0,35,2.811714
56.0,56,2.821594
47.0,47,2.830043
69.0,69,2.842414
55.0,55,2.852056
37.0,37,2.858846
50.0,50,2.867733
40.0,40,2.874794
44.0,44,2.882308
53.0,53,2.891341
32.0,32,2.897174
62.0,62,2.908079
47.0,47,2.916236
61.0,61,2.926916
54.0,54,2.936548
30.0,30,2.941846
91.0,91,2.958197
43.0,43,2.965647
34.0,34,2.971356
47.0,47,2.979843
48.0,48,2.987911
29.0,29,2.992732
32.0,32,2.998689
32.0,32,3.004204
60.0,60,3.014311
42.0,42,3.455956
31.0,31,3.46143
42.0,42,3.469105
43.0,43,3.476599
34.0,34,3.482513
74.0,74,3.495976
31.0,31,3.501447
34.0,34,3.507518
57.0,57,3.517553
25.0,25,3.521792
88.0,88,3.537247
39.0,39,3.544013
47.0,47,3.552357
48.0,48,3.560863
31.0,31,3.566549
26.0,26,3.570941
38.0,38,3.577853
39.0,39,3.585081
44.0,44,3.592713
32.0,32,3.59856
25.0,25,3.602816
31.0,31,3.608362
67.0,67,3.619865
49.0,49,3.628391
34.0,34,3.634143
61.0,61,3.645172
36.0,36,3.651406
75.0,75,3.664244
100.0,100,3.681809
35.0,35,3.687929
28.0,28,3.692652
54.0,54,3.702578
34.0,34,3.708584
30.0,30,3.713651
29.0,29,3.71907
58.0,58,3.729435
33.0,33,3.735125
40.0,40,3.742085
39.0,39,3.749134
34.0,34,3.754839
31.0,31,3.760044
75.0,75,3.773015
35.0,35,3.77974
32.0,32,3.78523
33.0,33,3.791352
72.0,72,3.803855
38.0,38,3.810716
36.0,36,4.251857
