#{"t_start": 1734538837.8197691, "env_id": "ContinuousCartPole-v0"}
r,l,t
36.0,36,0.248589
40.0,40,0.256257
44.0,44,0.264335
41.0,41,0.271612
32.0,32,0.277433
32.0,32,0.283084
40.0,40,0.290508
33.0,33,0.296926
35.0,35,0.302957
36.0,36,0.309805
58.0,58,0.320166
31.0,31,0.325463
24.0,24,0.329585
39.0,39,0.336856
41.0,41,0.343862
59.0,59,0.354824
27.0,27,0.360237
54.0,54,0.370643
35.0,35,0.37701
32.0,32,0.382735
58.0,58,0.393301
29.0,29,0.398683
34.0,34,0.404679
25.0,25,0.409432
44.0,44,0.417203
57.0,57,0.427488
42.0,42,0.434851
49.0,49,0.44401
35.0,35,0.450307
38.0,38,0.45681
27.0,27,0.461437
55.0,55,0.471227
60.0,60,0.482282
56.0,56,0.492237
27.0,27,0.496987
42.0,42,0.504691
58.0,58,0.514782
38.0,38,0.521414
38.0,38,0.528173
32.0,32,0.533893
41.0,41,0.54114
29.0,29,0.545964
31.0,31,0.551392
49.0,49,0.559886
99.0,99,0.576562
36.0,36,0.583282
41.0,41,0.590479
32.0,32,0.595815
45.0,45,0.603857
37.0,37,1.089206
68.0,68,1.101313
28.0,28,1.106255
51.0,51,1.11528
60.0,60,1.127011
35.0,35,1.133061
41.0,41,1.140311
30.0,30,1.145561
56.0,56,1.155382
36.0,36,1.161505
28.0,28,1.166111
41.0,41,1.173271
25.0,25,1.177485
34.0,34,1.184054
42.0,42,1.192549
43.0,43,1.200366
80.0,80,1.213798
61.0,61,1.224902
30.0,30,1.230763
30.0,30,1.23594
54.0,54,1.244976
30.0,30,1.249964
30.0,30,1.25529
33.0,33,1.261274
60.0,60,1.2722
48.0,48,1.28069
32.0,32,1.286204
39.0,39,1.293181
52.0,52,1.302675
35.0,35,1.30874
38.0,38,1.315632
26.0,26,1.319929
31.0,31,1.325698
28.0,28,1.330481
38.0,38,1.337111
34.0,34,1.342922
45.0,45,1.350406
25.0,25,1.355129
40.0,40,1.362698
27.0,27,1.36725
27.0,27,1.372311
60.0,60,1.382821
31.0,31,1.387959
34.0,34,1.394048
32.0,32,1.399422
56.0,56,1.409227
37.0,37,1.416337
80.0,80,1.430589
45.0,45,1.438635
45.0,45,1.446123
37.0,37,1.920875
32.0,32,1.926479
34.0,34,1.932854
41.0,41,1.940182
32.0,32,1.945751
62.0,62,1.956409
33.0,33,1.962619
53.0,53,1.972312
43.0,43,1.979874
51.0,51,1.98844
49.0,49,1.996868
27.0,27,2.002013
88.0,88,2.016728
37.0,37,2.023796
37.0,37,2.030877
38.0,38,2.037507
52.0,52,2.046751
35.0,35,2.053849
35.0,35,2.061054
34.0,34,2.067773
41.0,41,2.074993
30.0,30,2.080368
69.0,69,2.093859
52.0,52,2.103701
42.0,42,2.111403
45.0,45,2.119644
47.0,47,2.128813
49.0,49,2.137671
50.0,50,2.14639
48.0,48,2.155075
33.0,33,2.161442
27.0,27,2.16663
39.0,39,2.173786
51.0,51,2.184103
40.0,40,2.190965
27.0,27,2.195744
87.0,87,2.210869
27.0,27,2.215831
37.0,37,2.221993
30.0,30,2.227017
33.0,33,2.232489
30.0,30,2.238083
41.0,41,2.245363
42.0,42,2.25259
38.0,38,2.259437
55.0,55,2.269046
26.0,26,2.273436
58.0,58,2.284021
65.0,65,2.76204
65.0,65,2.773542
32.0,32,2.779572
35.0,35,2.785455
30.0,30,2.790756
38.0,38,2.797482
26.0,26,2.801848
28.0,28,2.80694
27.0,27,2.811755
28.0,28,2.817373
39.0,39,2.824672
37.0,37,2.832129
71.0,71,2.84455
42.0,42,2.852454
46.0,46,2.86081
37.0,37,2.86742
29.0,29,2.872625
43.0,43,2.879939
37.0,37,2.886327
27.0,27,2.890894
29.0,29,2.895749
34.0,34,2.902218
50.0,50,2.910669
25.0,25,2.914862
38.0,38,2.922247
36.0,36,2.928861
26.0,26,2.933226
41.0,41,2.940689
34.0,34,2.947243
35.0,35,2.953841
26.0,26,2.958645
