#{"t_start": 1734542088.813084, "env_id": "ContinuousCartPole-v0"}
r,l,t
28.0,28,0.271735
44.0,44,0.280152
27.0,27,0.285619
32.0,32,0.291505
49.0,49,0.300202
42.0,42,0.307941
49.0,49,0.316629
40.0,40,0.323853
44.0,44,0.331944
43.0,43,0.339488
33.0,33,0.345396
37.0,37,0.351909
42.0,42,0.359657
62.0,62,0.370678
29.0,29,0.3764
26.0,26,0.380998
31.0,31,0.386599
34.0,34,0.392717
58.0,58,0.40303
44.0,44,0.410804
41.0,41,0.418316
42.0,42,0.425904
26.0,26,0.430372
43.0,43,0.438231
49.0,49,0.446954
40.0,40,0.454173
33.0,33,0.459832
29.0,29,0.465002
57.0,57,0.476115
40.0,40,0.483393
30.0,30,0.488837
77.0,77,0.503435
29.0,29,0.508948
59.0,59,0.519725
42.0,42,0.526973
56.0,56,0.536981
30.0,30,0.542405
27.0,27,0.547245
46.0,46,0.555641
30.0,30,0.561039
61.0,61,0.57328
36.0,36,0.58013
34.0,34,0.586099
34.0,34,0.592496
48.0,48,0.601049
53.0,53,0.610705
53.0,53,0.621483
52.0,52,0.630743
44.0,44,0.638296
42.0,42,1.103745
25.0,25,1.10837
60.0,60,1.118989
30.0,30,1.124705
113.0,113,1.145376
34.0,34,1.15162
33.0,33,1.157164
35.0,35,1.163329
48.0,48,1.172483
48.0,48,1.18132
32.0,32,1.1873
30.0,30,1.193355
32.0,32,1.199409
68.0,68,1.21184
30.0,30,1.216921
25.0,25,1.221595
47.0,47,1.230402
35.0,35,1.236559
37.0,37,1.243802
40.0,40,1.252188
74.0,74,1.265736
54.0,54,1.275816
38.0,38,1.282119
24.0,24,1.287135
31.0,31,1.29293
33.0,33,1.298872
73.0,73,1.312362
44.0,44,1.32043
47.0,47,1.328869
32.0,32,1.334536
34.0,34,1.340638
42.0,42,1.348074
38.0,38,1.354481
30.0,30,1.360141
29.0,29,1.365078
59.0,59,1.37544
38.0,38,1.382714
32.0,32,1.388611
45.0,45,1.396462
37.0,37,1.403026
57.0,57,1.413237
30.0,30,1.418623
26.0,26,1.423103
40.0,40,1.430212
34.0,34,1.436241
29.0,29,1.441331
31.0,31,1.446721
34.0,34,1.453493
32.0,32,1.459381
33.0,33,1.465047
55.0,55,1.919234
35.0,35,1.925292
43.0,43,1.932888
28.0,28,1.93841
51.0,51,1.947968
47.0,47,1.956448
31.0,31,1.962234
39.0,39,1.969311
53.0,53,1.978943
36.0,36,1.985163
80.0,80,2.000088
33.0,33,2.005997
49.0,49,2.01497
39.0,39,2.022052
31.0,31,2.027645
37.0,37,2.033942
40.0,40,2.041675
37.0,37,2.048385
26.0,26,2.053308
59.0,59,2.064436
50.0,50,2.073442
55.0,55,2.08345
38.0,38,2.09018
38.0,38,2.09662
28.0,28,2.10195
25.0,25,2.106199
27.0,27,2.111301
40.0,40,2.118662
49.0,49,2.127805
27.0,27,2.132713
60.0,60,2.143641
30.0,30,2.149364
61.0,61,2.160568
26.0,26,2.165455
42.0,42,2.17363
36.0,36,2.180077
39.0,39,2.187988
31.0,31,2.193926
38.0,38,2.200778
28.0,28,2.206155
35.0,35,2.212185
28.0,28,2.216997
26.0,26,2.222245
30.0,30,2.227469
25.0,25,2.232171
26.0,26,2.237059
30.0,30,2.242438
35.0,35,2.248859
53.0,53,2.258122
62.0,62,2.269494
100.0,100,2.28724
32.0,32,2.748026
43.0,43,2.755527
32.0,32,2.761396
32.0,32,2.767497
30.0,30,2.772781
36.0,36,2.779615
29.0,29,2.784592
35.0,35,2.791051
32.0,32,2.797227
36.0,36,2.803345
33.0,33,2.809361
36.0,36,2.816028
51.0,51,2.824828
40.0,40,2.831967
69.0,69,2.844159
43.0,43,2.852432
27.0,27,2.857515
42.0,42,2.865415
37.0,37,2.872763
56.0,56,2.882936
28.0,28,2.888251
33.0,33,2.893883
62.0,62,2.904648
54.0,54,2.914049
43.0,43,2.921635
29.0,29,2.92704
37.0,37,2.933844
54.0,54,2.943415
30.0,30,2.948609
57.0,57,2.95857
26.0,26,2.962976
34.0,34,2.968772
36.0,36,2.975572
34.0,34,2.981568
43.0,43,2.98938
73.0,73,3.002507
31.0,31,3.008443
64.0,64,3.020024
37.0,37,3.026473
34.0,34,3.032248
29.0,29,3.03777
37.0,37,3.044218
27.0,27,3.048845
40.0,40,3.056775
31.0,31,3.062102
40.0,40,3.069028
47.0,47,3.077387
58.0,58,3.087953
43.0,43,3.095699
30.0,30,3.101256
46.0,46,3.109341
49.0,49,3.559161
33.0,33,3.565068
46.0,46,3.573851
40.0,40,3.580693
68.0,68,3.593067
67.0,67,3.605211
33.0,33,3.611236
37.0,37,3.618113
78.0,78,3.631459
33.0,33,3.63767
25.0,25,3.642541
50.0,50,3.651609
71.0,71,3.66434
51.0,51,3.673508
31.0,31,3.679304
28.0,28,3.684193
55.0,55,3.693858
30.0,30,3.699483
29.0,29,3.704665
42.0,42,3.712497
30.0,30,3.718034
48.0,48,3.726818
26.0,26,3.731383
40.0,40,3.738482
57.0,57,3.748786
47.0,47,3.757578
30.0,30,3.762994
46.0,46,3.771273
31.0,31,3.776481
49.0,49,3.785791
45.0,45,3.794043
31.0,31,3.799568
54.0,54,3.809233
30.0,30,3.814528
56.0,56,3.82463
45.0,45,3.832471
47.0,47,3.840512
65.0,65,3.852227
32.0,32,3.85769
32.0,32,3.86314
43.0,43,3.870943
36.0,36,3.877559
46.0,46,3.88583
29.0,29,3.890907
28.0,28,3.896158
36.0,36,3.902625
35.0,35,3.908634
45.0,45,3.917021
64.0,64,4.356476
29.0,29,4.362002
61.0,61,4.372999
32.0,32,4.378765
33.0,33,4.384821
26.0,26,4.389232
36.0,36,4.395793
34.0,34,4.401911
36.0,36,4.408982
67.0,67,4.42095
50.0,50,4.429846
37.0,37,4.436397
34.0,34,4.442329
64.0,64,4.453791
40.0,40,4.461005
