#{"t_start": 1734541885.4062378, "env_id": "ContinuousCartPole-v0"}
r,l,t
30.0,30,0.25115
37.0,37,0.257978
35.0,35,0.264553
28.0,28,0.270028
33.0,33,0.275928
47.0,47,0.284543
59.0,59,0.2951
29.0,29,0.300074
63.0,63,0.311376
75.0,75,0.325251
31.0,31,0.330593
33.0,33,0.336678
40.0,40,0.344003
45.0,45,0.352245
54.0,54,0.361663
39.0,39,0.36835
50.0,50,0.377105
31.0,31,0.382718
30.0,30,0.388349
28.0,28,0.393117
24.0,24,0.397346
25.0,25,0.401607
31.0,31,0.407239
28.0,28,0.412195
33.0,33,0.418147
30.0,30,0.423401
41.0,41,0.430685
27.0,27,0.435628
29.0,29,0.440636
35.0,35,0.446629
50.0,50,0.45535
25.0,25,0.459639
67.0,67,0.471538
38.0,38,0.478283
32.0,32,0.483721
34.0,34,0.490119
43.0,43,0.497503
23.0,23,0.501483
74.0,74,0.514656
28.0,28,0.520115
44.0,44,0.527879
61.0,61,0.539055
44.0,44,0.546782
34.0,34,0.552685
30.0,30,0.558261
34.0,34,0.564264
30.0,30,0.569844
44.0,44,0.577739
42.0,42,0.584972
52.0,52,0.594608
30.0,30,0.599983
54.0,54,0.609388
24.0,24,1.067636
35.0,35,1.074046
83.0,83,1.088836
37.0,37,1.095078
45.0,45,1.102924
33.0,33,1.108795
27.0,27,1.113545
37.0,37,1.119966
38.0,38,1.126631
29.0,29,1.132267
43.0,43,1.139783
120.0,120,1.16006
28.0,28,1.165172
24.0,24,1.169286
36.0,36,1.175475
42.0,42,1.183062
74.0,74,1.195678
26.0,26,1.200411
24.0,24,1.204747
47.0,47,1.213416
48.0,48,1.221523
32.0,32,1.226817
36.0,36,1.233829
71.0,71,1.248093
49.0,49,1.257495
36.0,36,1.264579
31.0,31,1.270046
37.0,37,1.276858
27.0,27,1.283141
35.0,35,1.289825
56.0,56,1.299801
30.0,30,1.305217
46.0,46,1.313129
46.0,46,1.321313
42.0,42,1.328956
33.0,33,1.334657
32.0,32,1.340382
47.0,47,1.348233
51.0,51,1.356925
36.0,36,1.363457
33.0,33,1.369222
56.0,56,1.379052
39.0,39,1.385506
36.0,36,1.392674
26.0,26,1.397497
47.0,47,1.405667
30.0,30,1.410782
57.0,57,1.420803
42.0,42,1.428652
30.0,30,1.867693
42.0,42,1.875204
28.0,28,1.880476
30.0,30,1.885585
38.0,38,1.892274
83.0,83,1.907135
67.0,67,1.919014
54.0,54,1.929001
76.0,76,1.941839
58.0,58,1.952177
51.0,51,1.96145
59.0,59,1.971665
34.0,34,1.977853
28.0,28,1.982643
25.0,25,1.987114
28.0,28,1.991898
38.0,38,1.998763
35.0,35,2.005143
41.0,41,2.012488
50.0,50,2.021002
29.0,29,2.025859
35.0,35,2.03213
28.0,28,2.036799
45.0,45,2.044182
51.0,51,2.052718
53.0,53,2.062488
27.0,27,2.067056
36.0,36,2.073202
33.0,33,2.079036
60.0,60,2.089744
70.0,70,2.101975
37.0,37,2.108448
35.0,35,2.114584
42.0,42,2.121769
34.0,34,2.127682
86.0,86,2.142877
40.0,40,2.1496
35.0,35,2.155931
56.0,56,2.165818
63.0,63,2.176668
51.0,51,2.185763
25.0,25,2.190123
34.0,34,2.196511
33.0,33,2.202296
45.0,45,2.210058
24.0,24,2.214556
30.0,30,2.219825
27.0,27,2.22477
29.0,29,2.673929
31.0,31,2.679593
37.0,37,2.686591
29.0,29,2.691798
34.0,34,2.697861
29.0,29,2.703408
73.0,73,2.716066
39.0,39,2.723286
39.0,39,2.730251
43.0,43,2.737382
27.0,27,2.74195
41.0,41,2.749716
44.0,44,2.757921
31.0,31,2.763897
30.0,30,2.769292
27.0,27,2.774324
43.0,43,2.782199
40.0,40,2.789372
32.0,32,2.794728
45.0,45,2.802639
32.0,32,2.80844
68.0,68,2.820535
54.0,54,2.830152
40.0,40,2.836915
30.0,30,2.841958
30.0,30,2.84753
54.0,54,2.858215
26.0,26,2.86311
35.0,35,2.870279
37.0,37,2.876944
52.0,52,2.886705
64.0,64,2.898169
95.0,95,2.91503
31.0,31,2.920627
36.0,36,2.926947
33.0,33,2.932561
47.0,47,2.940664
46.0,46,2.948828
30.0,30,2.95407
36.0,36,2.960774
50.0,50,2.969681
32.0,32,2.975007
45.0,45,2.982999
47.0,47,2.991447
42.0,42,2.998939
54.0,54,3.008537
30.0,30,3.013637
44.0,44,3.02155
47.0,47,3.029883
44.0,44,3.038068
46.0,46,3.495749
35.0,35,3.502488
55.0,55,3.515711
33.0,33,3.521513
59.0,59,3.532373
33.0,33,3.538308
53.0,53,3.548524
49.0,49,3.557339
44.0,44,3.565263
30.0,30,3.570364
33.0,33,3.576601
25.0,25,3.580776
36.0,36,3.58748
26.0,26,3.591898
29.0,29,3.597428
27.0,27,3.602254
43.0,43,3.610321
33.0,33,3.616149
28.0,28,3.62084
28.0,28,3.625975
43.0,43,3.633227
26.0,26,3.638225
45.0,45,3.646287
47.0,47,3.654462
34.0,34,3.660425
38.0,38,3.666701
37.0,37,3.673329
29.0,29,3.678439
75.0,75,3.691503
43.0,43,3.698541
44.0,44,3.705751
31.0,31,3.711265
30.0,30,3.717073
66.0,66,3.728532
34.0,34,3.734679
42.0,42,3.741942
30.0,30,3.74689
47.0,47,3.755024
