#{"t_start": 1734540173.1528692, "env_id": "ContinuousCartPole-v0"}
r,l,t
45.0,45,0.254759
34.0,34,0.260908
50.0,50,0.27043
47.0,47,0.279488
31.0,31,0.285484
46.0,46,0.293917
30.0,30,0.300093
28.0,28,0.305004
65.0,65,0.31644
31.0,31,0.322258
44.0,44,0.330072
50.0,50,0.339451
29.0,29,0.344447
36.0,36,0.350901
26.0,26,0.355375
32.0,32,0.361022
69.0,69,0.373429
48.0,48,0.382331
24.0,24,0.38644
32.0,32,0.391892
34.0,34,0.398351
46.0,46,0.406749
39.0,39,0.413467
37.0,37,0.420692
46.0,46,0.429259
23.0,23,0.433343
27.0,27,0.438452
42.0,42,0.44603
39.0,39,0.452865
31.0,31,0.458683
37.0,37,0.465147
50.0,50,0.474273
35.0,35,0.480628
30.0,30,0.486078
38.0,38,0.493262
50.0,50,0.501847
31.0,31,0.507163
63.0,63,0.518697
24.0,24,0.523139
56.0,56,0.532681
41.0,41,0.539567
35.0,35,0.54625
30.0,30,0.551784
34.0,34,0.557959
33.0,33,0.564098
35.0,35,0.570041
26.0,26,0.574891
28.0,28,0.579718
27.0,27,0.584754
38.0,38,0.591923
32.0,32,0.597422
26.0,26,0.60224
55.0,55,0.612197
28.0,28,0.617147
45.0,45,1.078908
58.0,58,1.090074
70.0,70,1.102201
44.0,44,1.110253
45.0,45,1.12068
39.0,39,1.129109
34.0,34,1.136205
36.0,36,1.14314
32.0,32,1.148479
29.0,29,1.154081
45.0,45,1.161988
42.0,42,1.169147
40.0,40,1.176098
26.0,26,1.180766
32.0,32,1.186095
29.0,29,1.190927
54.0,54,1.200439
96.0,96,1.21716
31.0,31,1.222287
63.0,63,1.233079
34.0,34,1.239873
34.0,34,1.246189
40.0,40,1.253163
34.0,34,1.259547
52.0,52,1.268411
33.0,33,1.274133
37.0,37,1.280727
40.0,40,1.288042
51.0,51,1.297524
79.0,79,1.31105
34.0,34,1.316807
47.0,47,1.32474
26.0,26,1.329457
51.0,51,1.338513
48.0,48,1.347339
85.0,85,1.362596
27.0,27,1.367268
31.0,31,1.374278
32.0,32,1.379971
32.0,32,1.385386
107.0,107,1.403918
58.0,58,1.414262
48.0,48,1.422877
63.0,63,1.434337
76.0,76,1.885016
40.0,40,1.892539
40.0,40,1.899984
46.0,46,1.908163
54.0,54,1.917841
27.0,27,1.922832
44.0,44,1.930785
28.0,28,1.935534
26.0,26,1.940455
59.0,59,1.95092
76.0,76,1.963758
37.0,37,1.970485
25.0,25,1.974856
24.0,24,1.97915
38.0,38,1.985656
52.0,52,1.994545
47.0,47,2.002807
31.0,31,2.008014
31.0,31,2.01348
65.0,65,2.025084
52.0,52,2.034205
39.0,39,2.041235
54.0,54,2.050714
50.0,50,2.059467
33.0,33,2.065354
44.0,44,2.073693
49.0,49,2.082286
42.0,42,2.089654
40.0,40,2.096364
69.0,69,2.109018
54.0,54,2.118102
33.0,33,2.124389
36.0,36,2.130834
30.0,30,2.135786
28.0,28,2.140558
39.0,39,2.147006
36.0,36,2.153537
67.0,67,2.165795
35.0,35,2.172229
26.0,26,2.177188
43.0,43,2.18532
