#{"t_start": 1734542503.9419332, "env_id": "ContinuousCartPole-v0"}
r,l,t
39.0,39,0.250898
50.0,50,0.260159
39.0,39,0.267872
62.0,62,0.27929
41.0,41,0.287108
33.0,33,0.292811
39.0,39,0.29955
25.0,25,0.303834
37.0,37,0.311068
47.0,47,0.31977
36.0,36,0.326173
38.0,38,0.3335
45.0,45,0.341778
41.0,41,0.349189
38.0,38,0.356267
41.0,41,0.363629
27.0,27,0.368919
38.0,38,0.375568
31.0,31,0.381255
38.0,38,0.388261
37.0,37,0.394514
34.0,34,0.40094
37.0,37,0.408081
40.0,40,0.415164
30.0,30,0.420729
37.0,37,0.427235
33.0,33,0.433633
53.0,53,0.443086
26.0,26,0.447648
46.0,46,0.455928
54.0,54,0.465663
39.0,39,0.472464
41.0,41,0.47929
36.0,36,0.485308
38.0,38,0.491753
36.0,36,0.498232
43.0,43,0.506222
31.0,31,0.511808
25.0,25,0.516222
45.0,45,0.524572
33.0,33,0.531032
50.0,50,0.539794
41.0,41,0.546789
26.0,26,0.551503
28.0,28,0.556646
28.0,28,0.561367
50.0,50,0.570332
33.0,33,0.576337
50.0,50,0.585265
24.0,24,0.589975
50.0,50,0.598462
53.0,53,0.607884
39.0,39,1.077425
29.0,29,1.082784
38.0,38,1.089928
64.0,64,1.101624
38.0,38,1.108887
28.0,28,1.114045
31.0,31,1.119739
40.0,40,1.127003
36.0,36,1.133435
31.0,31,1.138949
35.0,35,1.145425
53.0,53,1.154771
32.0,32,1.160484
27.0,27,1.165808
34.0,34,1.171631
32.0,32,1.177711
30.0,30,1.183738
65.0,65,1.195441
33.0,33,1.201604
31.0,31,1.207286
62.0,62,1.218518
30.0,30,1.223943
63.0,63,1.235634
32.0,32,1.241254
38.0,38,1.24835
26.0,26,1.253357
36.0,36,1.260251
46.0,46,1.268993
25.0,25,1.273456
33.0,33,1.27975
45.0,45,1.287912
29.0,29,1.292875
61.0,61,1.303506
27.0,27,1.308737
29.0,29,1.314116
50.0,50,1.323077
52.0,52,1.332288
78.0,78,1.347124
30.0,30,1.35243
91.0,91,1.369452
87.0,87,1.385634
35.0,35,1.391959
40.0,40,1.398988
35.0,35,1.404966
46.0,46,1.413414
59.0,59,1.424265
79.0,79,1.438932
59.0,59,1.449628
55.0,55,1.907414
57.0,57,1.918346
30.0,30,1.924228
61.0,61,1.935875
53.0,53,1.945784
33.0,33,1.952024
24.0,24,1.956594
31.0,31,1.962753
34.0,34,1.969716
31.0,31,1.975713
34.0,34,1.981554
69.0,69,1.993953
45.0,45,2.002559
40.0,40,2.010114
39.0,39,2.017171
48.0,48,2.025684
29.0,29,2.03094
67.0,67,2.042311
55.0,55,2.052368
32.0,32,2.058578
37.0,37,2.065333
42.0,42,2.073058
40.0,40,2.080575
39.0,39,2.088299
48.0,48,2.096883
40.0,40,2.103955
52.0,52,2.113088
35.0,35,2.119519
58.0,58,2.130087
70.0,70,2.142831
59.0,59,2.153495
35.0,35,2.159706
29.0,29,2.164908
46.0,46,2.173269
37.0,37,2.180168
30.0,30,2.186017
67.0,67,2.198134
49.0,49,2.207094
42.0,42,2.21429
38.0,38,2.220697
54.0,54,2.230576
29.0,29,2.236107
40.0,40,2.243579
34.0,34,2.250096
29.0,29,2.255487
49.0,49,2.264344
37.0,37,2.271295
44.0,44,2.722022
42.0,42,2.729311
37.0,37,2.735731
36.0,36,2.742388
45.0,45,2.751373
35.0,35,2.757702
42.0,42,2.765567
51.0,51,2.774902
33.0,33,2.781135
31.0,31,2.786476
54.0,54,2.795998
35.0,35,2.802544
56.0,56,2.812897
75.0,75,2.826685
42.0,42,2.834392
28.0,28,2.839652
37.0,37,2.846365
50.0,50,2.855702
87.0,87,2.871481
28.0,28,2.876255
51.0,51,2.885422
30.0,30,2.891158
46.0,46,2.899349
99.0,99,2.917293
62.0,62,2.927877
32.0,32,2.933452
57.0,57,2.943869
25.0,25,2.948603
40.0,40,2.956114
25.0,25,2.960571
43.0,43,2.968066
51.0,51,2.977392
37.0,37,2.984248
33.0,33,2.990259
31.0,31,2.996076
38.0,38,3.003259
38.0,38,3.00971
34.0,34,3.016107
25.0,25,3.020813
49.0,49,3.029291
94.0,94,3.046649
35.0,35,3.052874
55.0,55,3.063018
28.0,28,3.068343
34.0,34,3.074811
31.0,31,3.080391
37.0,37,3.087009
45.0,45,3.537956
38.0,38,3.544532
55.0,55,3.555197
35.0,35,3.561351
72.0,72,3.574361
51.0,51,3.583547
33.0,33,3.589359
36.0,36,3.595606
56.0,56,3.606152
31.0,31,3.611782
31.0,31,3.617688
28.0,28,3.622808
30.0,30,3.628246
43.0,43,3.636292
43.0,43,3.644479
54.0,54,3.654015
54.0,54,3.664068
60.0,60,3.675
55.0,55,3.684962
34.0,34,3.691357
30.0,30,3.696729
53.0,53,3.706731
93.0,93,3.7235
29.0,29,3.728938
30.0,30,3.73425
36.0,36,3.740973
29.0,29,3.746337
28.0,28,3.751577
42.0,42,3.759594
36.0,36,3.766166
67.0,67,3.778188
50.0,50,3.787125
53.0,53,3.796431
56.0,56,3.806167
76.0,76,3.820544
36.0,36,3.827044
43.0,43,3.834665
54.0,54,3.844261
53.0,53,3.854114
41.0,41,3.861483
30.0,30,3.867144
37.0,37,3.87361
42.0,42,3.881393
28.0,28,3.886391
34.0,34,3.892861
45.0,45,3.901373
47.0,47,4.35424
51.0,51,4.363442
32.0,32,4.369816
35.0,35,4.376339
31.0,31,4.382228
39.0,39,4.389633
37.0,37,4.396533
30.0,30,4.401817
69.0,69,4.414376
34.0,34,4.420565
50.0,50,4.429628
43.0,43,4.437265
32.0,32,4.442616
65.0,65,4.454754
36.0,36,4.460928
55.0,55,4.470248
27.0,27,4.475338
43.0,43,4.483519
34.0,34,4.489728
82.0,82,4.504477
69.0,69,4.516807
31.0,31,4.522741
60.0,60,4.533544
31.0,31,4.539284
39.0,39,4.546409
51.0,51,4.555612
77.0,77,4.568738
32.0,32,4.574715
30.0,30,4.580026
43.0,43,4.588141
34.0,34,4.594299
27.0,27,4.599381
47.0,47,4.607955
31.0,31,4.613696
42.0,42,4.621517
62.0,62,4.632951
35.0,35,4.639346
44.0,44,4.647459
39.0,39,4.65484
41.0,41,4.662204
34.0,34,4.66808
59.0,59,4.678335
29.0,29,4.683937
49.0,49,4.692669
35.0,35,4.699278
40.0,40,4.706234
42.0,42,4.714082
29.0,29,4.719244
35.0,35,4.725847
42.0,42,5.174107
38.0,38,5.181511
53.0,53,5.191002
60.0,60,5.201654
81.0,81,5.216807
72.0,72,5.230057
43.0,43,5.238353
57.0,57,5.248514
61.0,61,5.259442
50.0,50,5.269026
36.0,36,5.27544
58.0,58,5.285967
55.0,55,5.295215
33.0,33,5.301431
31.0,31,5.306813
37.0,37,5.313796
46.0,46,5.322257
55.0,55,5.332248
34.0,34,5.338424
56.0,56,5.348325
52.0,52,5.357675
63.0,63,5.369333
48.0,48,5.377935
42.0,42,5.385679
32.0,32,5.391773
58.0,58,5.402518
38.0,38,5.409695
42.0,42,5.417083
39.0,39,5.424635
36.0,36,5.431161
77.0,77,5.444275
43.0,43,5.452228
52.0,52,5.461642
49.0,49,5.470415
66.0,66,5.482322
34.0,34,5.488428
39.0,39,5.495603
31.0,31,5.501403
41.0,41,5.509165
37.0,37,5.515549
49.0,49,5.524593
62.0,62,5.535586
61.0,61,5.989889
44.0,44,5.998156
54.0,54,6.008187
47.0,47,6.016705
39.0,39,6.02403
37.0,37,6.030274
39.0,39,6.037834
44.0,44,6.046109
62.0,62,6.057326
36.0,36,6.063998
46.0,46,6.071993
65.0,65,6.083947
45.0,45,6.092046
105.0,105,6.110931
37.0,37,6.117608
46.0,46,6.126058
47.0,47,6.134864
32.0,32,6.140667
66.0,66,6.152524
74.0,74,6.165864
86.0,86,6.180991
88.0,88,6.196759
45.0,45,6.20443
59.0,59,6.215725
48.0,48,6.224193
37.0,37,6.230859
35.0,35,6.237045
38.0,38,6.244034
52.0,52,6.253172
33.0,33,6.259253
48.0,48,6.267848
34.0,34,6.274115
41.0,41,6.281725
32.0,32,6.287606
123.0,123,6.310108
96.0,96,6.3272
44.0,44,6.334947
49.0,49,6.343588
58.0,58,6.800581
48.0,48,6.809673
40.0,40,6.81731
37.0,37,6.824275
46.0,46,6.832786
94.0,94,6.849813
32.0,32,6.856266
30.0,30,6.861697
53.0,53,6.870925
41.0,41,6.877832
62.0,62,6.889176
78.0,78,6.903738
41.0,41,6.911323
73.0,73,6.924412
54.0,54,6.934119
54.0,54,6.943974
76.0,76,6.958234
39.0,39,6.965201
35.0,35,6.971248
54.0,54,6.981241
43.0,43,6.989335
72.0,72,7.002301
53.0,53,7.011864
69.0,69,7.024672
40.0,40,7.032157
54.0,54,7.042085
49.0,49,7.050816
69.0,69,7.063088
39.0,39,7.07049
41.0,41,7.077798
58.0,58,7.08863
45.0,45,7.096671
43.0,43,7.104963
56.0,56,7.115215
66.0,66,7.127011
29.0,29,7.132695
66.0,66,7.144797
71.0,71,7.15769
68.0,68,7.169902
31.0,31,7.618411
139.0,139,7.644363
61.0,61,7.655701
56.0,56,7.665264
65.0,65,7.676744
80.0,80,7.691138
58.0,58,7.70169
104.0,104,7.720647
44.0,44,7.728306
58.0,58,7.738711
54.0,54,7.748552
172.0,172,7.778883
80.0,80,7.79316
63.0,63,7.804712
44.0,44,7.81268
34.0,34,7.819043
