#{"t_start": 1734543541.0856562, "env_id": "ContinuousCartPole-v0"}
r,l,t
39.0,39,4.584428
30.0,30,4.589992
51.0,51,4.598863
66.0,66,4.610981
35.0,35,4.617139
67.0,67,4.629961
66.0,66,4.642393
44.0,44,4.649999
77.0,77,4.663811
31.0,31,4.669372
62.0,62,4.680846
49.0,49,4.689579
35.0,35,4.69623
40.0,40,4.703489
37.0,37,4.710281
47.0,47,4.71898
70.0,70,4.73136
34.0,34,4.737959
44.0,44,4.746377
30.0,30,4.751558
32.0,32,4.757468
66.0,66,5.233348
77.0,77,5.247922
32.0,32,5.253811
55.0,55,5.264197
34.0,34,5.270692
65.0,65,5.283415
34.0,34,5.289881
26.0,26,5.294859
55.0,55,5.305534
58.0,58,5.316876
38.0,38,5.323817
33.0,33,5.329703
54.0,54,5.339633
36.0,36,5.346501
44.0,44,5.354821
37.0,37,5.361398
32.0,32,5.367334
41.0,41,5.375233
46.0,46,5.383678
31.0,31,5.388952
30.0,30,5.394762
63.0,63,5.406585
42.0,42,5.414507
55.0,55,5.42454
38.0,38,5.431542
45.0,45,5.439763
32.0,32,5.445457
57.0,57,5.456298
34.0,34,5.462923
46.0,46,5.471557
65.0,65,5.483331
60.0,60,5.494087
48.0,48,5.50294
31.0,31,5.508486
62.0,62,5.51965
31.0,31,5.524956
74.0,74,5.538094
53.0,53,5.548299
43.0,43,5.556414
37.0,37,5.563163
38.0,38,5.569804
42.0,42,5.577099
52.0,52,5.586677
54.0,54,5.596582
27.0,27,5.601297
39.0,39,6.064874
61.0,61,6.078154
59.0,59,6.089251
34.0,34,6.095561
53.0,53,6.105402
63.0,63,6.117602
63.0,63,6.129567
45.0,45,6.138036
52.0,52,6.147559
56.0,56,6.158276
40.0,40,6.165301
74.0,74,6.17885
43.0,43,6.186547
28.0,28,6.191449
61.0,61,6.202705
45.0,45,6.21148
77.0,77,6.225958
83.0,83,6.240108
33.0,33,6.246469
43.0,43,6.254362
53.0,53,6.264706
34.0,34,6.271564
101.0,101,6.290837
48.0,48,6.299669
74.0,74,6.31323
39.0,39,6.320811
