#{"t_start": 1734543960.656802, "env_id": "ContinuousCartPole-v0"}
r,l,t
40.0,40,0.251644
60.0,60,0.263495
55.0,55,0.273526
25.0,25,0.278341
31.0,31,0.283951
36.0,36,0.291216
47.0,47,0.300199
40.0,40,0.30721
39.0,39,0.314277
35.0,35,0.32101
55.0,55,0.331922
48.0,48,0.341052
42.0,42,0.348727
48.0,48,0.357649
51.0,51,0.367735
42.0,42,0.375859
53.0,53,0.386127
39.0,39,0.393753
42.0,42,0.401603
30.0,30,0.407829
41.0,41,0.416439
58.0,58,0.427283
27.0,27,0.432213
79.0,79,0.447699
28.0,28,0.453299
30.0,30,0.458944
51.0,51,0.468846
45.0,45,0.477968
28.0,28,0.48333
38.0,38,0.490258
26.0,26,0.495038
32.0,32,0.500743
45.0,45,0.509236
35.0,35,0.516315
55.0,55,0.526631
27.0,27,0.531628
36.0,36,0.538781
30.0,30,0.544698
52.0,52,0.555099
55.0,55,0.565581
26.0,26,0.57019
39.0,39,0.57751
61.0,61,0.588304
72.0,72,0.6029
29.0,29,0.60839
31.0,31,0.614904
37.0,37,0.622334
57.0,57,0.633087
30.0,30,1.137121
44.0,44,1.145603
51.0,51,1.155057
29.0,29,1.160417
33.0,33,1.166358
33.0,33,1.172444
69.0,69,1.185934
30.0,30,1.191504
42.0,42,1.198992
51.0,51,1.208406
75.0,75,1.221846
44.0,44,1.229899
35.0,35,1.236405
50.0,50,1.245248
36.0,36,1.251644
31.0,31,1.257412
41.0,41,1.26492
62.0,62,1.276603
50.0,50,1.28551
39.0,39,1.293323
39.0,39,1.300298
54.0,54,1.310098
30.0,30,1.315642
29.0,29,1.320899
36.0,36,1.32721
67.0,67,1.339694
41.0,41,1.346669
27.0,27,1.351338
34.0,34,1.35707
43.0,43,1.36545
32.0,32,1.371404
52.0,52,1.380794
50.0,50,1.390323
36.0,36,1.396636
46.0,46,1.405107
75.0,75,1.418489
33.0,33,1.424575
39.0,39,1.431697
30.0,30,1.436774
39.0,39,1.44383
59.0,59,1.454718
37.0,37,1.461843
27.0,27,1.466825
31.0,31,1.472622
55.0,55,1.482767
43.0,43,1.490501
38.0,38,1.497135
34.0,34,1.503538
25.0,25,1.508117
35.0,35,1.991488
48.0,48,2.000653
29.0,29,2.005663
33.0,33,2.011295
32.0,32,2.017113
53.0,53,2.026977
