#{"t_start": 1734539534.4721909, "env_id": "ContinuousCartPole-v0"}
r,l,t
99.0,99,0.261741
26.0,26,0.266472
27.0,27,0.271696
30.0,30,0.2773
33.0,33,0.283195
47.0,47,0.291634
67.0,67,0.304326
29.0,29,0.309817
32.0,32,0.315843
52.0,52,0.32546
27.0,27,0.330411
30.0,30,0.336414
37.0,37,0.343407
40.0,40,0.350519
34.0,34,0.356773
29.0,29,0.362098
40.0,40,0.369722
48.0,48,0.378601
26.0,26,0.383593
46.0,46,0.392024
52.0,52,0.401131
34.0,34,0.407856
65.0,65,0.41939
31.0,31,0.425159
39.0,39,0.43266
38.0,38,0.439881
30.0,30,0.445531
27.0,27,0.450236
31.0,31,0.456137
30.0,30,0.461265
61.0,61,0.471546
49.0,49,0.48022
28.0,28,0.485609
42.0,42,0.493735
54.0,54,0.5033
45.0,45,0.511136
39.0,39,0.518555
45.0,45,0.526536
47.0,47,0.534922
64.0,64,0.546716
35.0,35,0.553049
35.0,35,0.559216
25.0,25,0.564063
33.0,33,0.569843
63.0,63,0.581312
44.0,44,0.589605
31.0,31,0.595205
28.0,28,0.600156
27.0,27,0.605123
32.0,32,0.610632
27.0,27,0.615611
35.0,35,1.107075
25.0,25,1.111438
46.0,46,1.119694
27.0,27,1.125429
29.0,29,1.130611
41.0,41,1.138393
38.0,38,1.145191
79.0,79,1.158912
31.0,31,1.164906
47.0,47,1.17294
32.0,32,1.179248
36.0,36,1.186074
59.0,59,1.196343
35.0,35,1.202268
31.0,31,1.208186
50.0,50,1.217344
36.0,36,1.224273
32.0,32,1.230088
33.0,33,1.23621
33.0,33,1.242198
28.0,28,1.247309
32.0,32,1.252763
49.0,49,1.261765
32.0,32,1.267467
44.0,44,1.274817
44.0,44,1.282995
50.0,50,1.291888
33.0,33,1.297928
25.0,25,1.302275
36.0,36,1.308695
41.0,41,1.316007
33.0,33,1.322105
88.0,88,1.337445
34.0,34,1.343497
31.0,31,1.349108
41.0,41,1.3564
31.0,31,1.362021
37.0,37,1.368614
26.0,26,1.373188
29.0,29,1.378092
27.0,27,1.383654
37.0,37,1.39052
43.0,43,1.398191
34.0,34,1.404305
35.0,35,1.41082
65.0,65,1.422645
24.0,24,1.426813
32.0,32,1.432491
37.0,37,1.438772
55.0,55,1.449057
62.0,62,1.460104
77.0,77,1.915124
33.0,33,1.921608
40.0,40,1.929152
37.0,37,1.936028
53.0,53,1.946053
36.0,36,1.952548
54.0,54,1.962046
31.0,31,1.968269
59.0,59,1.978612
30.0,30,1.983718
47.0,47,1.992676
37.0,37,1.999531
29.0,29,2.005135
35.0,35,2.011064
35.0,35,2.017703
28.0,28,2.022584
66.0,66,2.033946
36.0,36,2.040802
31.0,31,2.046371
62.0,62,2.057388
31.0,31,2.063153
32.0,32,2.068887
44.0,44,2.077421
40.0,40,2.084239
26.0,26,2.089305
32.0,32,2.095376
34.0,34,2.101903
35.0,35,2.108057
42.0,42,2.1155
32.0,32,2.121523
38.0,38,2.128344
29.0,29,2.133776
39.0,39,2.140853
37.0,37,2.147675
29.0,29,2.152879
63.0,63,2.163941
31.0,31,2.169431
56.0,56,2.179429
31.0,31,2.184867
32.0,32,2.190688
44.0,44,2.198474
37.0,37,2.205001
28.0,28,2.209832
33.0,33,2.215991
25.0,25,2.220498
46.0,46,2.228296
84.0,84,2.244088
27.0,27,2.248737
64.0,64,2.25971
55.0,55,2.269729
48.0,48,2.278805
30.0,30,2.284479
26.0,26,2.750597
53.0,53,2.762894
36.0,36,2.770276
47.0,47,2.779212
28.0,28,2.784887
42.0,42,2.792907
30.0,30,2.798074
54.0,54,2.807608
50.0,50,2.817233
45.0,45,2.825503
47.0,47,2.834052
37.0,37,2.840702
45.0,45,2.849372
33.0,33,2.855069
40.0,40,2.862427
61.0,61,2.873297
33.0,33,2.879821
24.0,24,2.884025
79.0,79,2.898367
28.0,28,2.903832
53.0,53,2.913661
42.0,42,2.921423
30.0,30,2.926647
37.0,37,2.933714
39.0,39,2.94067
30.0,30,2.945988
30.0,30,2.951841
47.0,47,2.960431
46.0,46,2.969011
32.0,32,2.974456
38.0,38,2.980839
44.0,44,2.988181
52.0,52,2.997911
45.0,45,3.006336
66.0,66,3.018317
31.0,31,3.023871
64.0,64,3.035043
44.0,44,3.043614
35.0,35,3.049695
25.0,25,3.054658
28.0,28,3.059522
43.0,43,3.067572
39.0,39,3.074553
32.0,32,3.080069
28.0,28,3.085236
30.0,30,3.09031
54.0,54,3.100246
49.0,49,3.108789
32.0,32,3.114676
83.0,83,3.579627
66.0,66,3.591651
35.0,35,3.598105
35.0,35,3.604211
24.0,24,3.609136
36.0,36,3.615573
30.0,30,3.620803
36.0,36,3.627475
53.0,53,3.637353
37.0,37,3.64427
32.0,32,3.650311
37.0,37,3.657147
54.0,54,3.667093
45.0,45,3.675291
67.0,67,3.687531
35.0,35,3.694255
37.0,37,3.700989
27.0,27,3.705995
38.0,38,3.712823
34.0,34,3.719232
63.0,63,3.730875
30.0,30,3.736359
46.0,46,3.74463
49.0,49,3.75287
40.0,40,3.760621
30.0,30,3.766787
33.0,33,3.772969
38.0,38,3.780001
63.0,63,3.791376
31.0,31,3.797004
30.0,30,3.802056
32.0,32,3.807358
34.0,34,3.812966
39.0,39,3.820532
66.0,66,3.832452
37.0,37,3.839199
35.0,35,3.84554
52.0,52,3.854516
41.0,41,3.861584
30.0,30,3.867478
32.0,32,3.873085
46.0,46,3.881314
68.0,68,3.893773
32.0,32,3.900176
48.0,48,3.908654
39.0,39,3.915747
48.0,48,3.923857
29.0,29,3.929387
38.0,38,3.936446
42.0,42,3.94384
28.0,28,4.398706
35.0,35,4.404738
30.0,30,4.410253
80.0,80,4.425244
52.0,52,4.434625
35.0,35,4.44089
35.0,35,4.447268
30.0,30,4.45274
43.0,43,4.460198
28.0,28,4.465425
55.0,55,4.475117
45.0,45,4.483585
43.0,43,4.491157
54.0,54,4.501109
106.0,106,4.51942
35.0,35,4.525959
58.0,58,4.53655
25.0,25,4.541071
47.0,47,4.549698
48.0,48,4.558272
28.0,28,4.563365
29.0,29,4.568157
73.0,73,4.58127
49.0,49,4.59002
34.0,34,4.595839
69.0,69,4.607917
53.0,53,4.617182
32.0,32,4.62317
31.0,31,4.628912
54.0,54,4.638787
56.0,56,4.64888
41.0,41,4.656396
42.0,42,4.66381
32.0,32,4.669308
37.0,37,4.676252
41.0,41,4.683948
42.0,42,4.691483
37.0,37,4.698467
27.0,27,4.703403
36.0,36,4.709963
30.0,30,4.715601
65.0,65,4.72768
32.0,32,4.733354
34.0,34,4.739513
46.0,46,4.748055
34.0,34,4.753892
32.0,32,4.75964
25.0,25,4.764381
52.0,52,5.218386
55.0,55,5.228212
56.0,56,5.238888
37.0,37,5.245572
33.0,33,5.251293
45.0,45,5.259438
63.0,63,5.270763
59.0,59,5.28156
66.0,66,5.294018
53.0,53,5.303731
34.0,34,5.31015
33.0,33,5.316305
33.0,33,5.32238
52.0,52,5.331793
45.0,45,5.339516
39.0,39,5.34619
37.0,37,5.353061
40.0,40,5.36061
38.0,38,5.367097
32.0,32,5.373177
35.0,35,5.379472
74.0,74,5.392867
45.0,45,5.401137
58.0,58,5.411665
34.0,34,5.418305
30.0,30,5.423633
39.0,39,5.430765
40.0,40,5.437795
50.0,50,5.447068
37.0,37,5.453889
66.0,66,5.46601
50.0,50,5.474702
36.0,36,5.480657
61.0,61,5.491872
38.0,38,5.498323
41.0,41,5.505937
29.0,29,5.511248
31.0,31,5.516722
36.0,36,5.522934
37.0,37,5.529401
67.0,67,5.541975
50.0,50,5.550495
49.0,49,5.559163
112.0,112,5.579586
42.0,42,6.030593
43.0,43,6.03858
37.0,37,6.045066
71.0,71,6.058086
50.0,50,6.067332
43.0,43,6.074874
67.0,67,6.08725
82.0,82,6.101868
33.0,33,6.10783
50.0,50,6.116528
57.0,57,6.127031
40.0,40,6.134091
61.0,61,6.144647
34.0,34,6.151043
38.0,38,6.158591
57.0,57,6.168896
45.0,45,6.176803
52.0,52,6.185966
62.0,62,6.196523
57.0,57,6.207435
44.0,44,6.215696
49.0,49,6.224303
55.0,55,6.234147
37.0,37,6.241028
44.0,44,6.248927
64.0,64,6.26031
43.0,43,6.267741
39.0,39,6.274993
48.0,48,6.283732
44.0,44,6.291701
69.0,69,6.303947
45.0,45,6.311728
40.0,40,6.318725
32.0,32,6.324499
53.0,53,6.334005
43.0,43,6.341712
64.0,64,6.352977
42.0,42,6.36034
63.0,63,6.371554
54.0,54,6.381261
45.0,45,6.389282
75.0,75,6.849608
55.0,55,6.859604
85.0,85,6.874733
96.0,96,6.891901
81.0,81,6.906446
34.0,34,6.912315
67.0,67,6.925009
72.0,72,6.938379
36.0,36,6.944732
65.0,65,6.956197
56.0,56,6.966051
50.0,50,6.975237
51.0,51,6.984425
47.0,47,6.992626
43.0,43,7.000468
39.0,39,7.00727
34.0,34,7.013609
61.0,61,7.024966
52.0,52,7.034346
50.0,50,7.043115
41.0,41,7.050737
69.0,69,7.063389
49.0,49,7.071963
49.0,49,7.080953
76.0,76,7.094516
42.0,42,7.102146
36.0,36,7.108764
59.0,59,7.119537
55.0,55,7.129108
78.0,78,7.143515
95.0,95,7.160317
89.0,89,7.176145
79.0,79,7.190301
44.0,44,7.19827
44.0,44,7.206251
78.0,78,7.674014
52.0,52,7.683354
68.0,68,7.696485
65.0,65,7.709369
55.0,55,7.719978
91.0,91,7.737989
74.0,74,7.751679
98.0,98,7.769227
44.0,44,7.77714
43.0,43,7.784782
121.0,121,7.806704
58.0,58,7.816694
