#{"t_start": 1734539744.942121, "env_id": "ContinuousCartPole-v0"}
r,l,t
61.0,61,0.293837
26.0,26,0.298406
44.0,44,0.306048
35.0,35,0.312085
28.0,28,0.317066
32.0,32,0.322676
37.0,37,0.329001
29.0,29,0.334135
34.0,34,0.340083
25.0,25,0.345238
24.0,24,0.349686
47.0,47,0.358303
29.0,29,0.363314
40.0,40,0.370303
53.0,53,0.379391
41.0,41,0.386506
30.0,30,0.391804
31.0,31,0.397066
54.0,54,0.40645
27.0,27,0.411058
29.0,29,0.416052
37.0,37,0.422524
28.0,28,0.427263
28.0,28,0.432047
53.0,53,0.441167
28.0,28,0.445929
29.0,29,0.450964
57.0,57,0.460733
71.0,71,0.472939
32.0,32,0.478322
32.0,32,0.483817
35.0,35,0.489819
40.0,40,0.496525
32.0,32,0.502032
28.0,28,0.50689
23.0,23,0.510769
28.0,28,0.515569
61.0,61,0.525991
29.0,29,0.530896
54.0,54,0.540166
58.0,58,0.54992
46.0,46,0.557837
39.0,39,0.564383
39.0,39,0.57106
45.0,45,0.578609
35.0,35,0.584637
55.0,55,0.5938
44.0,44,0.601269
41.0,41,0.60825
30.0,30,0.61331
49.0,49,0.621932
41.0,41,0.629046
50.0,50,1.111005
30.0,30,1.116317
74.0,74,1.130461
55.0,55,1.14085
33.0,33,1.146501
32.0,32,1.152594
40.0,40,1.159423
30.0,30,1.16513
39.0,39,1.172916
54.0,54,1.182493
60.0,60,1.19288
40.0,40,1.199759
30.0,30,1.204953
30.0,30,1.210418
41.0,41,1.217856
49.0,49,1.226612
38.0,38,1.233334
55.0,55,1.242989
63.0,63,1.253982
44.0,44,1.261783
43.0,43,1.269304
64.0,64,1.28038
37.0,37,1.286828
27.0,27,1.29159
36.0,36,1.297761
31.0,31,1.303184
29.0,29,1.308255
40.0,40,1.315102
39.0,39,1.321993
36.0,36,1.328207
37.0,37,1.334701
66.0,66,1.346045
50.0,50,1.354693
33.0,33,1.360431
41.0,41,1.367467
34.0,34,1.373306
40.0,40,1.380295
45.0,45,1.387992
26.0,26,1.392486
63.0,63,1.40334
22.0,22,1.407443
71.0,71,1.420248
60.0,60,1.430976
90.0,90,1.446671
53.0,53,1.455996
33.0,33,1.461663
32.0,32,1.467192
57.0,57,1.93168
68.0,68,1.943309
65.0,65,1.954299
45.0,45,1.962366
43.0,43,1.970017
29.0,29,1.97508
32.0,32,1.980863
45.0,45,1.988496
45.0,45,1.996588
39.0,39,2.003569
45.0,45,2.011352
43.0,43,2.018751
40.0,40,2.025648
26.0,26,2.03025
38.0,38,2.037093
58.0,58,2.047105
26.0,26,2.051518
37.0,37,2.057884
73.0,73,2.070439
34.0,34,2.076244
29.0,29,2.08129
51.0,51,2.089834
33.0,33,2.095533
26.0,26,2.099927
30.0,30,2.105281
43.0,43,2.112779
38.0,38,2.119258
37.0,37,2.12546
39.0,39,2.132146
41.0,41,2.139524
33.0,33,2.14529
51.0,51,2.153961
37.0,37,2.160606
57.0,57,2.170709
57.0,57,2.180615
28.0,28,2.185387
89.0,89,2.200809
42.0,42,2.208071
37.0,37,2.214393
26.0,26,2.218773
43.0,43,2.226143
59.0,59,2.236228
49.0,49,2.244656
36.0,36,2.250785
67.0,67,2.262203
31.0,31,2.267978
25.0,25,2.272372
45.0,45,2.280025
36.0,36,2.708158
48.0,48,2.717171
52.0,52,2.726132
38.0,38,2.732516
29.0,29,2.738044
30.0,30,2.743177
37.0,37,2.749854
43.0,43,2.758341
31.0,31,2.763875
54.0,54,2.772936
34.0,34,2.779162
46.0,46,2.787481
56.0,56,2.797551
36.0,36,2.803803
72.0,72,2.816392
27.0,27,2.821328
50.0,50,2.829944
32.0,32,2.835558
56.0,56,2.845083
43.0,43,2.852513
37.0,37,2.859117
70.0,70,2.871771
56.0,56,2.88172
40.0,40,2.888755
25.0,25,2.893315
51.0,51,2.902265
37.0,37,2.908602
37.0,37,2.914878
29.0,29,2.919915
48.0,48,2.927933
57.0,57,2.93817
75.0,75,2.951011
34.0,34,2.956735
58.0,58,2.967237
93.0,93,2.983359
67.0,67,2.995109
41.0,41,3.002286
51.0,51,3.01144
52.0,52,3.019988
27.0,27,3.025239
46.0,46,3.033259
35.0,35,3.039497
50.0,50,3.048318
35.0,35,3.054649
28.0,28,3.059476
60.0,60,3.504657
49.0,49,3.513255
34.0,34,3.519325
65.0,65,3.530942
29.0,29,3.536013
57.0,57,3.545718
41.0,41,3.552916
42.0,42,3.559883
60.0,60,3.570509
25.0,25,3.574945
45.0,45,3.5824
60.0,60,3.592814
47.0,47,3.601445
37.0,37,3.607946
55.0,55,3.616963
59.0,59,3.627697
47.0,47,3.635888
29.0,29,3.641037
56.0,56,3.651257
42.0,42,3.658428
33.0,33,3.664267
41.0,41,3.671313
47.0,47,3.679575
61.0,61,3.690139
56.0,56,3.699622
52.0,52,3.708445
51.0,51,3.716844
65.0,65,3.728062
38.0,38,3.734725
30.0,30,3.740264
26.0,26,3.744921
36.0,36,3.751282
37.0,37,3.75738
38.0,38,3.764249
44.0,44,3.771778
53.0,53,3.82087
23.0,23,3.835532
29.0,29,3.840541
45.0,45,3.857862
55.0,55,3.872455
34.0,34,3.881529
54.0,54,3.892025
33.0,33,3.898121
36.0,36,3.904588
48.0,48,3.912901
42.0,42,3.920194
38.0,38,4.362687
46.0,46,4.370592
31.0,31,4.375888
52.0,52,4.3855
38.0,38,4.392225
39.0,39,4.399262
67.0,67,4.410957
57.0,57,4.420761
64.0,64,4.432127
52.0,52,4.441239
58.0,58,4.450864
62.0,62,4.461885
54.0,54,4.471458
48.0,48,4.479717
40.0,40,4.486435
28.0,28,4.491219
37.0,37,4.497645
48.0,48,4.505819
38.0,38,4.512315
26.0,26,4.516694
28.0,28,4.521393
47.0,47,4.529376
27.0,27,4.533924
65.0,65,4.54551
31.0,31,4.551071
60.0,60,4.561954
46.0,46,4.569997
76.0,76,4.582626
41.0,41,4.59027
42.0,42,4.598105
43.0,43,4.605245
53.0,53,4.615318
64.0,64,4.626311
37.0,37,4.633391
49.0,49,4.642132
30.0,30,4.647238
29.0,29,4.652567
49.0,49,4.660898
27.0,27,4.665663
37.0,37,4.67182
31.0,31,4.677812
60.0,60,4.688311
32.0,32,4.69378
27.0,27,4.698638
40.0,40,4.705351
81.0,81,4.720207
29.0,29,5.160197
42.0,42,5.168097
33.0,33,5.17407
53.0,53,5.183436
31.0,31,5.18877
121.0,121,5.20994
51.0,51,5.219024
42.0,42,5.226385
41.0,41,5.233919
42.0,42,5.241507
43.0,43,5.248953
44.0,44,5.256458
92.0,92,5.272474
49.0,49,5.281065
30.0,30,5.28615
59.0,59,5.296137
39.0,39,5.302842
78.0,78,5.316537
48.0,48,5.324783
59.0,59,5.334775
75.0,75,5.348637
43.0,43,5.355997
40.0,40,5.362889
38.0,38,5.369264
96.0,96,5.385856
41.0,41,5.392773
48.0,48,5.400786
55.0,55,5.410743
39.0,39,5.417497
69.0,69,5.429195
104.0,104,5.447112
47.0,47,5.455357
31.0,31,5.460627
47.0,47,5.468747
42.0,42,5.476226
36.0,36,5.48242
36.0,36,5.488617
40.0,40,5.495326
34.0,34,5.501441
31.0,31,5.506632
29.0,29,5.511804
34.0,34,5.940309
31.0,31,5.946004
41.0,41,5.952925
38.0,38,5.959783
33.0,33,5.965459
28.0,28,5.970242
56.0,56,5.979979
71.0,71,5.992487
83.0,83,6.007016
54.0,54,6.016794
49.0,49,6.025234
69.0,69,6.037202
28.0,28,6.042272
29.0,29,6.047497
46.0,46,6.055597
40.0,40,6.062693
59.0,59,6.072828
52.0,52,6.081736
30.0,30,6.08684
37.0,37,6.09314
32.0,32,6.098737
79.0,79,6.112476
53.0,53,6.121571
71.0,71,6.133554
34.0,34,6.139252
40.0,40,6.146997
62.0,62,6.157699
66.0,66,6.169373
29.0,29,6.174617
51.0,51,6.183446
44.0,44,6.190955
51.0,51,6.199723
28.0,28,6.20441
69.0,69,6.216657
58.0,58,6.226813
31.0,31,6.232458
38.0,38,6.239425
44.0,44,6.247198
35.0,35,6.253254
