#{"t_start": 1734542922.4811578, "env_id": "ContinuousCartPole-v0"}
r,l,t
52.0,52,0.25795
30.0,30,0.263947
56.0,56,0.274256
44.0,44,0.28163
23.0,23,0.285484
40.0,40,0.292638
51.0,51,0.301638
24.0,24,0.3062
24.0,24,0.310475
49.0,49,0.319322
35.0,35,0.325888
33.0,33,0.332064
39.0,39,0.339016
34.0,34,0.345323
37.0,37,0.352095
33.0,33,0.358915
47.0,47,0.367718
52.0,52,0.376697
32.0,32,0.382501
35.0,35,0.388626
30.0,30,0.394331
37.0,37,0.401136
32.0,32,0.407038
35.0,35,0.413616
31.0,31,0.419034
36.0,36,0.425771
32.0,32,0.431422
41.0,41,0.438949
42.0,42,0.446827
31.0,31,0.452475
26.0,26,0.456965
30.0,30,0.462533
64.0,64,0.47425
29.0,29,0.47919
30.0,30,0.484673
49.0,49,0.493387
32.0,32,0.499282
39.0,39,0.506188
26.0,26,0.510543
45.0,45,0.518495
38.0,38,0.525361
41.0,41,0.532998
25.0,25,0.537475
28.0,28,0.54276
28.0,28,0.547787
30.0,30,0.553007
69.0,69,0.565426
34.0,34,0.571334
44.0,44,0.579278
28.0,28,0.584441
40.0,40,0.59136
50.0,50,0.600481
30.0,30,0.606686
50.0,50,0.615916
45.0,45,1.07318
32.0,32,1.07917
29.0,29,1.084643
36.0,36,1.091305
40.0,40,1.098403
61.0,61,1.109509
52.0,52,1.1187
42.0,42,1.126255
47.0,47,1.13482
34.0,34,1.140676
34.0,34,1.146778
38.0,38,1.15359
29.0,29,1.158377
37.0,37,1.165168
54.0,54,1.174622
44.0,44,1.182075
31.0,31,1.187853
38.0,38,1.194344
34.0,34,1.200305
43.0,43,1.208268
74.0,74,1.221834
33.0,33,1.227477
46.0,46,1.235955
39.0,39,1.242583
33.0,33,1.24872
57.0,57,1.258636
37.0,37,1.265336
69.0,69,1.277264
44.0,44,1.285148
40.0,40,1.292372
37.0,37,1.298945
33.0,33,1.304889
30.0,30,1.309788
31.0,31,1.315383
29.0,29,1.320971
56.0,56,1.331038
36.0,36,1.337342
29.0,29,1.343017
79.0,79,1.356523
28.0,28,1.361349
69.0,69,1.373714
35.0,35,1.379967
61.0,61,1.390648
34.0,34,1.396803
34.0,34,1.403025
47.0,47,1.411408
30.0,30,1.416475
31.0,31,1.421759
35.0,35,1.428219
43.0,43,1.866187
33.0,33,1.872032
40.0,40,1.879754
49.0,49,1.888397
33.0,33,1.894088
58.0,58,1.904591
30.0,30,1.910321
42.0,42,1.918041
44.0,44,1.9259
36.0,36,1.932007
36.0,36,1.938632
46.0,46,1.947017
101.0,101,1.96517
75.0,75,1.978358
30.0,30,1.983607
27.0,27,1.988631
46.0,46,1.996788
34.0,34,2.002974
25.0,25,2.00751
37.0,37,2.014147
35.0,35,2.02039
43.0,43,2.028207
33.0,33,2.033918
47.0,47,2.042099
85.0,85,2.056767
30.0,30,2.061927
35.0,35,2.068468
38.0,38,2.075337
28.0,28,2.080508
36.0,36,2.087049
45.0,45,2.095354
25.0,25,2.0996
26.0,26,2.104467
27.0,27,2.10904
61.0,61,2.11962
58.0,58,2.129842
45.0,45,2.137398
36.0,36,2.143769
30.0,30,2.148648
34.0,34,2.15445
36.0,36,2.16094
30.0,30,2.166381
38.0,38,2.17305
39.0,39,2.179863
59.0,59,2.190459
34.0,34,2.19671
42.0,42,2.203822
49.0,49,2.212533
29.0,29,2.217712
49.0,49,2.226552
53.0,53,2.665425
40.0,40,2.673095
27.0,27,2.677839
29.0,29,2.683262
77.0,77,2.696892
53.0,53,2.706555
30.0,30,2.712107
43.0,43,2.719525
47.0,47,2.728096
55.0,55,2.737548
49.0,49,2.746267
30.0,30,2.751773
36.0,36,2.758162
34.0,34,2.764259
35.0,35,2.770792
42.0,42,2.778121
40.0,40,2.785408
67.0,67,2.797375
51.0,51,2.806289
41.0,41,2.814158
40.0,40,2.821252
37.0,37,2.828147
35.0,35,2.834703
25.0,25,2.838962
34.0,34,2.845167
38.0,38,2.8516
39.0,39,2.859006
28.0,28,2.864445
28.0,28,2.869167
48.0,48,2.877626
31.0,31,2.883269
43.0,43,2.890615
59.0,59,2.901481
32.0,32,2.907277
39.0,39,2.913958
34.0,34,2.920264
61.0,61,2.930936
33.0,33,2.936399
35.0,35,2.94256
36.0,36,2.948634
28.0,28,2.953832
94.0,94,2.970828
28.0,28,2.97622
