#{"t_start": 1734539263.751018, "env_id": "ContinuousCartPole-v0"}
r,l,t
78.0,78,0.268802
42.0,42,0.276674
38.0,38,0.283379
41.0,41,0.290644
35.0,35,0.297152
38.0,38,0.303983
48.0,48,0.313148
63.0,63,0.324177
38.0,38,0.330857
29.0,29,0.336314
34.0,34,0.342384
30.0,30,0.347724
24.0,24,0.351881
34.0,34,0.358146
28.0,28,0.363138
44.0,44,0.370323
33.0,33,0.376529
36.0,36,0.382758
37.0,37,0.389121
27.0,27,0.393962
54.0,54,0.403396
34.0,34,0.409522
30.0,30,0.414999
40.0,40,0.421756
33.0,33,0.427884
34.0,34,0.43382
42.0,42,0.440707
38.0,38,0.447208
26.0,26,0.451418
28.0,28,0.456614
25.0,25,0.461097
35.0,35,0.467418
37.0,37,0.473789
50.0,50,0.482077
34.0,34,0.487912
77.0,77,0.501587
29.0,29,0.506967
37.0,37,0.513985
49.0,49,0.522242
51.0,51,0.531085
35.0,35,0.536938
36.0,36,0.543047
25.0,25,0.547197
53.0,53,0.556372
33.0,33,0.562144
75.0,75,0.575223
39.0,39,0.581632
46.0,46,0.589582
37.0,37,0.595937
34.0,34,0.601541
33.0,33,0.607212
36.0,36,0.613535
35.0,35,1.075347
33.0,33,1.081812
36.0,36,1.088041
53.0,53,1.097623
29.0,29,1.102683
68.0,68,1.114693
48.0,48,1.123168
34.0,34,1.129272
28.0,28,1.134378
32.0,32,1.139677
32.0,32,1.14507
37.0,37,1.15178
37.0,37,1.157892
39.0,39,1.164674
43.0,43,1.172115
33.0,33,1.178
43.0,43,1.18538
28.0,28,1.190103
88.0,88,1.205453
38.0,38,1.212256
54.0,54,1.222545
52.0,52,1.23321
40.0,40,1.240278
66.0,66,1.252154
38.0,38,1.259016
36.0,36,1.265375
29.0,29,1.270182
34.0,34,1.276481
34.0,34,1.282918
29.0,29,1.287905
34.0,34,1.293873
47.0,47,1.301651
34.0,34,1.307255
36.0,36,1.313923
30.0,30,1.319181
42.0,42,1.326965
71.0,71,1.339328
31.0,31,1.344886
27.0,27,1.349394
44.0,44,1.356546
33.0,33,1.362408
46.0,46,1.370292
33.0,33,1.376633
39.0,39,1.383851
42.0,42,1.390875
46.0,46,1.399119
41.0,41,1.406289
37.0,37,1.412971
44.0,44,1.420508
35.0,35,1.427181
41.0,41,1.896271
41.0,41,1.904096
37.0,37,1.910445
38.0,38,1.916968
34.0,34,1.923344
33.0,33,1.929489
36.0,36,1.936981
34.0,34,1.943271
31.0,31,1.948994
39.0,39,1.956602
49.0,49,1.966382
32.0,32,1.973293
35.0,35,1.97957
37.0,37,1.987313
30.0,30,1.992869
29.0,29,1.998201
43.0,43,2.006839
45.0,45,2.015177
52.0,52,2.024474
33.0,33,2.030534
43.0,43,2.038423
35.0,35,2.044368
29.0,29,2.049745
31.0,31,2.05497
65.0,65,2.066479
34.0,34,2.072949
47.0,47,2.081205
28.0,28,2.086284
39.0,39,2.093449
75.0,75,2.105905
41.0,41,2.113221
27.0,27,2.118269
39.0,39,2.124934
38.0,38,2.132279
25.0,25,2.137082
39.0,39,2.144756
45.0,45,2.154326
32.0,32,2.160864
52.0,52,2.170019
34.0,34,2.176489
48.0,48,2.184951
33.0,33,2.191193
33.0,33,2.196984
28.0,28,2.202049
31.0,31,2.207135
37.0,37,2.214722
47.0,47,2.222949
32.0,32,2.228773
27.0,27,2.23361
30.0,30,2.238904
38.0,38,2.245331
21.0,21,2.249133
34.0,34,2.254871
26.0,26,2.259636
29.0,29,2.264982
46.0,46,2.72524
33.0,33,2.730973
24.0,24,2.73541
52.0,52,2.744906
46.0,46,2.753338
43.0,43,2.76111
45.0,45,2.768589
37.0,37,2.775725
44.0,44,2.783201
60.0,60,2.793622
32.0,32,2.799663
39.0,39,2.806742
42.0,42,2.814001
33.0,33,2.819608
45.0,45,2.827565
40.0,40,2.834144
27.0,27,2.838956
50.0,50,2.847835
49.0,49,2.857058
55.0,55,2.866261
41.0,41,2.87369
60.0,60,2.8844
64.0,64,2.895731
65.0,65,2.90726
34.0,34,2.914286
37.0,37,2.921523
75.0,75,2.934807
60.0,60,2.945524
32.0,32,2.951219
61.0,61,2.962683
24.0,24,2.966828
68.0,68,2.97809
65.0,65,2.989104
48.0,48,2.99744
41.0,41,3.004807
38.0,38,3.011391
29.0,29,3.016828
26.0,26,3.021719
25.0,25,3.02582
48.0,48,3.034457
75.0,75,3.047924
52.0,52,3.056781
53.0,53,3.066168
25.0,25,3.070706
31.0,31,3.075877
35.0,35,3.082152
30.0,30,3.087103
30.0,30,3.545163
43.0,43,3.553044
29.0,29,3.558947
35.0,35,3.565921
77.0,77,3.579755
122.0,122,3.600834
58.0,58,3.611302
32.0,32,3.616807
90.0,90,3.632703
57.0,57,3.642222
39.0,39,3.649079
28.0,28,3.654283
32.0,32,3.659499
34.0,34,3.66583
29.0,29,3.670798
80.0,80,3.684933
53.0,53,3.694444
54.0,54,3.704134
37.0,37,3.710307
25.0,25,3.71527
38.0,38,3.721985
36.0,36,3.728222
37.0,37,3.735115
39.0,39,3.742246
32.0,32,3.748303
66.0,66,3.759584
44.0,44,3.76759
36.0,36,3.77412
35.0,35,3.780421
45.0,45,3.788784
57.0,57,3.799018
51.0,51,3.808138
34.0,34,3.814248
81.0,81,3.82809
29.0,29,3.833425
41.0,41,3.841002
27.0,27,3.845717
31.0,31,3.850987
63.0,63,3.862153
56.0,56,3.872205
32.0,32,3.877642
32.0,32,3.883826
37.0,37,3.890647
39.0,39,3.897584
31.0,31,3.903124
42.0,42,4.39516
40.0,40,4.402056
32.0,32,4.407391
33.0,33,4.413448
39.0,39,4.42014
57.0,57,4.43022
40.0,40,4.437708
52.0,52,4.446618
65.0,65,4.457818
51.0,51,4.467638
37.0,37,4.474175
40.0,40,4.481301
25.0,25,4.485774
96.0,96,4.502162
77.0,77,4.51476
56.0,56,4.52476
32.0,32,4.531018
71.0,71,4.543141
116.0,116,4.562311
42.0,42,4.569405
43.0,43,4.576902
30.0,30,4.582429
34.0,34,4.588524
55.0,55,4.598572
24.0,24,4.603151
44.0,44,4.610962
34.0,34,4.616618
34.0,34,4.622256
25.0,25,4.626375
46.0,46,4.634688
28.0,28,4.639851
36.0,36,4.645743
46.0,46,4.653738
35.0,35,4.660007
38.0,38,4.66636
39.0,39,4.673074
71.0,71,4.685818
27.0,27,4.690745
44.0,44,4.698959
48.0,48,4.707022
41.0,41,4.714431
33.0,33,4.719896
89.0,89,4.735468
44.0,44,4.743146
49.0,49,5.199654
35.0,35,5.205896
30.0,30,5.211849
42.0,42,5.21925
34.0,34,5.225252
31.0,31,5.231058
40.0,40,5.237936
41.0,41,5.245426
76.0,76,5.258782
48.0,48,5.267736
39.0,39,5.274888
54.0,54,5.284515
53.0,53,5.294146
45.0,45,5.302469
40.0,40,5.30953
43.0,43,5.317347
39.0,39,5.324511
32.0,32,5.330384
51.0,51,5.339479
49.0,49,5.347604
38.0,38,5.35458
62.0,62,5.365902
71.0,71,5.378308
60.0,60,5.38856
28.0,28,5.39379
93.0,93,5.410549
44.0,44,5.418441
43.0,43,5.426043
44.0,44,5.433798
35.0,35,5.439892
48.0,48,5.448368
39.0,39,5.455534
38.0,38,5.462273
59.0,59,5.472631
35.0,35,5.478435
33.0,33,5.48395
51.0,51,5.493153
29.0,29,5.498341
34.0,34,5.504207
50.0,50,5.513113
37.0,37,5.519516
48.0,48,5.528126
94.0,94,5.544591
32.0,32,5.550653
72.0,72,5.998755
77.0,77,6.012388
37.0,37,6.018637
56.0,56,6.02789
36.0,36,6.034627
38.0,38,6.041438
31.0,31,6.046977
30.0,30,6.052968
33.0,33,6.058767
88.0,88,6.073783
50.0,50,6.082345
47.0,47,6.090589
33.0,33,6.09661
42.0,42,6.103944
48.0,48,6.112087
46.0,46,6.119801
43.0,43,6.12697
37.0,37,6.133291
36.0,36,6.139863
47.0,47,6.14793
49.0,49,6.156304
40.0,40,6.163254
36.0,36,6.169892
27.0,27,6.174579
40.0,40,6.181659
51.0,51,6.191013
43.0,43,6.198499
51.0,51,6.207411
66.0,66,6.218566
37.0,37,6.22504
53.0,53,6.233948
42.0,42,6.241309
73.0,73,6.254163
79.0,79,6.267673
28.0,28,6.272713
37.0,37,6.279026
31.0,31,6.284492
58.0,58,6.294737
56.0,56,6.30459
57.0,57,6.31425
61.0,61,6.324835
34.0,34,6.3309
41.0,41,6.338039
35.0,35,6.344497
59.0,59,6.35457
71.0,71,6.806109
53.0,53,6.815386
34.0,34,6.821672
38.0,38,6.82855
43.0,43,6.835906
85.0,85,6.8508
37.0,37,6.857312
43.0,43,6.865014
50.0,50,6.873501
60.0,60,6.884398
45.0,45,6.892145
41.0,41,6.899015
48.0,48,6.907574
52.0,52,6.91678
37.0,37,6.923245
113.0,113,6.942672
57.0,57,6.952132
43.0,43,6.960107
68.0,68,6.972194
43.0,43,6.979894
42.0,42,6.987511
71.0,71,6.999555
59.0,59,7.010008
43.0,43,7.017752
45.0,45,7.026207
53.0,53,7.035498
38.0,38,7.041863
44.0,44,7.049968
78.0,78,7.063561
41.0,41,7.070619
63.0,63,7.081427
54.0,54,7.090786
63.0,63,7.101614
49.0,49,7.110382
34.0,34,7.116654
57.0,57,7.126894
86.0,86,7.141425
52.0,52,7.150076
36.0,36,7.590888
48.0,48,7.599517
67.0,67,7.611093
33.0,33,7.61655
54.0,54,7.626036
47.0,47,7.633831
66.0,66,7.645267
42.0,42,7.652173
47.0,47,7.66058
42.0,42,7.667656
46.0,46,7.675918
27.0,27,7.68097
34.0,34,7.686825
35.0,35,7.692797
48.0,48,7.701108
46.0,46,7.708977
54.0,54,7.71774
36.0,36,7.724191
47.0,47,7.732641
65.0,65,7.743836
64.0,64,7.754852
44.0,44,7.76208
46.0,46,7.770087
34.0,34,7.776131
36.0,36,7.782568
44.0,44,7.789777
53.0,53,7.799363
69.0,69,7.811681
53.0,53,7.82067
37.0,37,7.827178
35.0,35,7.833713
78.0,78,7.84737
63.0,63,7.858151
42.0,42,7.865061
53.0,53,7.874243
35.0,35,7.880317
