#{"t_start": 1734539956.808251, "env_id": "ContinuousCartPole-v0"}
r,l,t
34.0,34,0.247738
35.0,35,0.254198
50.0,50,0.263294
48.0,48,0.272447
32.0,32,0.277962
33.0,33,0.284247
64.0,64,0.295463
27.0,27,0.30038
40.0,40,0.307215
42.0,42,0.314911
61.0,61,0.326111
31.0,31,0.331979
32.0,32,0.337503
25.0,25,0.342221
44.0,44,0.349828
39.0,39,0.356665
52.0,52,0.36622
42.0,42,0.373414
52.0,52,0.382796
29.0,29,0.387747
52.0,52,0.397038
52.0,52,0.405776
27.0,27,0.410558
33.0,33,0.416197
41.0,41,0.424149
34.0,34,0.430463
55.0,55,0.439881
30.0,30,0.445343
25.0,25,0.449575
38.0,38,0.456697
36.0,36,0.463389
65.0,65,0.474622
51.0,51,0.483596
37.0,37,0.490137
84.0,84,0.505347
26.0,26,0.509755
36.0,36,0.516648
34.0,34,0.522577
32.0,32,0.52875
32.0,32,0.534312
30.0,30,0.540677
40.0,40,0.548164
54.0,54,0.558664
37.0,37,0.565019
31.0,31,0.57105
35.0,35,0.577395
39.0,39,0.584357
51.0,51,0.594066
27.0,27,0.598981
95.0,95,1.13268
33.0,33,1.139583
32.0,32,1.146271
24.0,24,1.150561
33.0,33,1.156578
32.0,32,1.162995
41.0,41,1.170297
30.0,30,1.176673
36.0,36,1.184331
31.0,31,1.189874
34.0,34,1.19605
42.0,42,1.203973
56.0,56,1.213685
38.0,38,1.220776
38.0,38,1.228079
57.0,57,1.238095
46.0,46,1.246559
30.0,30,1.252281
43.0,43,1.259598
57.0,57,1.270049
106.0,106,1.288576
32.0,32,1.294515
48.0,48,1.303326
31.0,31,1.308615
56.0,56,1.318582
54.0,54,1.327861
32.0,32,1.333242
44.0,44,1.341644
55.0,55,1.351965
48.0,48,1.361172
44.0,44,1.369365
37.0,37,1.375534
61.0,61,1.387414
42.0,42,1.395715
35.0,35,1.402317
51.0,51,1.412061
61.0,61,1.422897
44.0,44,1.43123
37.0,37,1.438047
29.0,29,1.443974
37.0,37,1.450679
35.0,35,1.457123
28.0,28,1.462428
39.0,39,1.469961
27.0,27,1.475294
