#{"t_start": 1734544823.276164, "env_id": "ContinuousCartPole-v0"}
r,l,t
30.0,30,0.254375
36.0,36,0.260736
37.0,37,0.268109
44.0,44,0.276407
48.0,48,0.28441
28.0,28,0.289005
30.0,30,0.294622
29.0,29,0.299849
31.0,31,0.305578
45.0,45,0.314084
27.0,27,0.318712
94.0,94,0.33508
25.0,25,0.339198
33.0,33,0.344854
33.0,33,0.350292
66.0,66,0.362097
123.0,123,0.382379
38.0,38,0.389163
27.0,27,0.39415
61.0,61,0.404811
34.0,34,0.411178
60.0,60,0.421191
31.0,31,0.4267
41.0,41,0.434326
41.0,41,0.441202
29.0,29,0.446348
47.0,47,0.454471
34.0,34,0.460283
23.0,23,0.464325
27.0,27,0.469284
46.0,46,0.477289
54.0,54,0.486894
31.0,31,0.492113
31.0,31,0.497714
45.0,45,0.505538
45.0,45,0.513349
36.0,36,0.519667
28.0,28,0.524439
73.0,73,0.537022
54.0,54,0.546644
26.0,26,0.551421
37.0,37,0.558035
53.0,53,0.56711
42.0,42,0.573898
61.0,61,0.584678
43.0,43,0.59234
27.0,27,0.597577
43.0,43,0.60466
28.0,28,1.061065
45.0,45,1.06895
27.0,27,1.073526
36.0,36,1.079667
39.0,39,1.086486
24.0,24,1.090614
33.0,33,1.096007
27.0,27,1.101501
38.0,38,1.108247
47.0,47,1.11753
40.0,40,1.124633
27.0,27,1.129104
43.0,43,1.136569
34.0,34,1.14216
37.0,37,1.14909
43.0,43,1.156971
72.0,72,1.169769
39.0,39,1.176562
36.0,36,1.182419
50.0,50,1.19131
52.0,52,1.200165
37.0,37,1.206837
27.0,27,1.211179
43.0,43,1.218215
43.0,43,1.225622
32.0,32,1.231344
38.0,38,1.238603
34.0,34,1.244382
36.0,36,1.25072
30.0,30,1.255684
57.0,57,1.265881
49.0,49,1.273831
44.0,44,1.280944
43.0,43,1.288564
71.0,71,1.301303
36.0,36,1.308138
31.0,31,1.313255
38.0,38,1.319981
27.0,27,1.324856
29.0,29,1.330054
84.0,84,1.345116
59.0,59,1.355355
32.0,32,1.361101
33.0,33,1.36706
28.0,28,1.371738
28.0,28,1.376538
65.0,65,1.388249
50.0,50,1.396913
51.0,51,1.40595
32.0,32,1.411363
33.0,33,1.41705
37.0,37,1.860533
28.0,28,1.86553
62.0,62,1.876859
33.0,33,1.882739
24.0,24,1.887174
35.0,35,1.893401
33.0,33,1.898784
70.0,70,1.910781
46.0,46,1.918844
38.0,38,1.925351
48.0,48,1.934235
47.0,47,1.942632
35.0,35,1.948645
38.0,38,1.954854
30.0,30,1.960617
38.0,38,1.967041
40.0,40,1.974401
44.0,44,1.982314
28.0,28,1.987116
42.0,42,1.994318
26.0,26,1.998788
45.0,45,2.006626
33.0,33,2.012776
38.0,38,2.019466
38.0,38,2.026054
52.0,52,2.034702
37.0,37,2.041266
32.0,32,2.04653
56.0,56,2.056661
46.0,46,2.065243
43.0,43,2.072927
39.0,39,2.079291
88.0,88,2.094505
30.0,30,2.099357
36.0,36,2.105659
35.0,35,2.111913
40.0,40,2.119531
44.0,44,2.127236
73.0,73,2.139425
39.0,39,2.146358
35.0,35,2.152423
25.0,25,2.157036
31.0,31,2.162347
46.0,46,2.170465
64.0,64,2.182021
40.0,40,2.188947
69.0,69,2.201276
37.0,37,2.207849
32.0,32,2.213208
54.0,54,2.659408
38.0,38,2.666443
50.0,50,2.675171
49.0,49,2.683775
45.0,45,2.6919
40.0,40,2.699011
39.0,39,2.705484
24.0,24,2.709875
47.0,47,2.718148
40.0,40,2.725408
29.0,29,2.730521
32.0,32,2.736099
29.0,29,2.741275
32.0,32,2.746551
35.0,35,2.753205
28.0,28,2.7581
29.0,29,2.763135
36.0,36,2.769197
38.0,38,2.775808
41.0,41,2.78273
51.0,51,2.791655
31.0,31,2.796987
32.0,32,2.803436
36.0,36,2.809713
67.0,67,2.821402
53.0,53,2.830721
29.0,29,2.835806
40.0,40,2.842692
60.0,60,2.853377
45.0,45,2.861006
46.0,46,2.869265
28.0,28,2.87412
64.0,64,2.885534
35.0,35,2.891408
26.0,26,2.896098
43.0,43,2.903654
35.0,35,2.909745
35.0,35,2.915789
48.0,48,2.923998
30.0,30,2.929825
28.0,28,2.934663
26.0,26,2.939234
54.0,54,2.948143
38.0,38,2.954298
50.0,50,2.963355
55.0,55,2.972956
43.0,43,2.980999
41.0,41,2.988131
30.0,30,2.993391
41.0,41,3.000729
29.0,29,3.006098
43.0,43,3.445896
70.0,70,3.458166
54.0,54,3.467915
56.0,56,3.477911
44.0,44,3.485862
48.0,48,3.493781
39.0,39,3.500832
31.0,31,3.506698
43.0,43,3.514201
35.0,35,3.520845
37.0,37,3.527413
40.0,40,3.53388
41.0,41,3.541103
51.0,51,3.549828
40.0,40,3.556765
36.0,36,3.563354
49.0,49,3.572368
43.0,43,3.57991
