#{"t_start": 1734543334.7086122, "env_id": "ContinuousCartPole-v0"}
r,l,t
31.0,31,0.247747
38.0,38,0.254364
79.0,79,0.268885
42.0,42,0.276479
42.0,42,0.284435
34.0,34,0.290883
43.0,43,0.298541
26.0,26,0.302961
34.0,34,0.308686
63.0,63,0.320293
30.0,30,0.325758
64.0,64,0.337637
36.0,36,0.343739
32.0,32,0.349763
50.0,50,0.358705
55.0,55,0.368454
27.0,27,0.373092
54.0,54,0.382748
34.0,34,0.388928
34.0,34,0.395184
48.0,48,0.403643
29.0,29,0.408441
30.0,30,0.413898
54.0,54,0.423207
28.0,28,0.427916
28.0,28,0.433162
41.0,41,0.439897
35.0,35,0.445667
37.0,37,0.452284
63.0,63,0.463935
47.0,47,0.472233
38.0,38,0.47853
33.0,33,0.484521
33.0,33,0.490742
35.0,35,0.497054
60.0,60,0.507637
56.0,56,0.51743
30.0,30,0.522859
31.0,31,0.528476
58.0,58,0.538559
39.0,39,0.54498
36.0,36,0.551446
49.0,49,0.560267
44.0,44,0.568006
34.0,34,0.573962
37.0,37,0.58011
25.0,25,0.584254
49.0,49,0.593014
32.0,32,0.5988
39.0,39,0.605989
41.0,41,1.101876
52.0,52,1.112004
47.0,47,1.12041
45.0,45,1.129018
54.0,54,1.138665
46.0,46,1.147199
33.0,33,1.15343
33.0,33,1.159423
28.0,28,1.164156
25.0,25,1.16887
37.0,37,1.175248
36.0,36,1.181245
37.0,37,1.188286
38.0,38,1.195577
51.0,51,1.204708
29.0,29,1.209854
54.0,54,1.21963
37.0,37,1.226369
30.0,30,1.231957
23.0,23,1.236213
32.0,32,1.241641
32.0,32,1.247505
31.0,31,1.252828
32.0,32,1.2591
33.0,33,1.264837
100.0,100,1.282378
49.0,49,1.29151
92.0,92,1.307926
40.0,40,1.314711
36.0,36,1.321228
49.0,49,1.329819
42.0,42,1.337352
27.0,27,1.341945
59.0,59,1.35262
45.0,45,1.360921
36.0,36,1.367321
36.0,36,1.373839
75.0,75,1.387037
32.0,32,1.392801
37.0,37,1.399546
56.0,56,1.409401
32.0,32,1.414815
31.0,31,1.420586
37.0,37,1.42717
31.0,31,1.432617
36.0,36,1.438632
43.0,43,1.446479
37.0,37,1.453013
33.0,33,1.45918
43.0,43,1.93172
45.0,45,1.93992
33.0,33,1.946029
30.0,30,1.951899
42.0,42,1.959562
62.0,62,1.970711
50.0,50,1.979917
43.0,43,1.987866
58.0,58,1.997707
38.0,38,2.004715
34.0,34,2.010957
31.0,31,2.016434
31.0,31,2.021949
80.0,80,2.036538
35.0,35,2.042829
30.0,30,2.048493
35.0,35,2.05468
35.0,35,2.061299
41.0,41,2.068551
27.0,27,2.073575
44.0,44,2.081159
48.0,48,2.089873
32.0,32,2.095943
31.0,31,2.101203
58.0,58,2.111746
36.0,36,2.118359
28.0,28,2.123339
40.0,40,2.130158
21.0,21,2.133965
49.0,49,2.142859
41.0,41,2.150295
75.0,75,2.16368
74.0,74,2.17705
35.0,35,2.183381
35.0,35,2.189869
35.0,35,2.196183
81.0,81,2.210153
70.0,70,2.22258
35.0,35,2.228643
55.0,55,2.238222
41.0,41,2.245852
34.0,34,2.251657
34.0,34,2.257714
38.0,38,2.264081
47.0,47,2.271981
47.0,47,2.280517
33.0,33,2.286454
35.0,35,2.292943
37.0,37,2.746412
38.0,38,2.753571
28.0,28,2.759196
73.0,73,2.772629
29.0,29,2.778042
73.0,73,2.790965
27.0,27,2.796058
34.0,34,2.802099
44.0,44,2.81023
36.0,36,2.817367
32.0,32,2.823129
53.0,53,2.832571
31.0,31,2.838311
40.0,40,2.84599
33.0,33,2.852071
31.0,31,2.85824
39.0,39,2.86534
43.0,43,2.872682
27.0,27,2.87732
80.0,80,2.892262
36.0,36,2.898894
31.0,31,2.904538
46.0,46,2.912281
43.0,43,2.92003
29.0,29,2.925373
54.0,54,2.935331
42.0,42,2.942596
34.0,34,2.949332
35.0,35,2.955815
44.0,44,2.963687
33.0,33,2.970067
35.0,35,2.976654
38.0,38,2.984169
41.0,41,2.991266
44.0,44,2.999649
30.0,30,3.004875
27.0,27,3.009757
48.0,48,3.01806
30.0,30,3.023368
31.0,31,3.029339
38.0,38,3.036211
28.0,28,3.041596
55.0,55,3.051506
56.0,56,3.061376
46.0,46,3.069904
33.0,33,3.075855
46.0,46,3.083807
29.0,29,3.089616
51.0,51,3.10349
40.0,40,3.114894
36.0,36,3.123072
30.0,30,3.572519
24.0,24,3.577121
27.0,27,3.581959
32.0,32,3.587425
38.0,38,3.594398
45.0,45,3.602467
29.0,29,3.607716
79.0,79,3.621189
61.0,61,3.632213
42.0,42,3.639958
30.0,30,3.645144
43.0,43,3.653147
42.0,42,3.660637
29.0,29,3.666063
33.0,33,3.671988
31.0,31,3.677728
46.0,46,3.685909
47.0,47,3.693998
44.0,44,3.701997
79.0,79,3.715902
34.0,34,3.72245
34.0,34,3.728696
70.0,70,3.740944
54.0,54,3.750605
55.0,55,3.760593
32.0,32,3.766163
34.0,34,3.772134
77.0,77,3.786504
28.0,28,3.791553
79.0,79,3.805962
52.0,52,3.815004
29.0,29,3.820096
33.0,33,3.826514
35.0,35,3.833128
100.0,100,3.851548
41.0,41,3.858691
65.0,65,3.869787
43.0,43,3.878008
56.0,56,3.888193
29.0,29,3.893706
29.0,29,3.898683
27.0,27,3.903666
37.0,37,3.909963
63.0,63,3.921667
40.0,40,3.928455
50.0,50,3.937572
77.0,77,4.386396
29.0,29,4.391319
61.0,61,4.401934
35.0,35,4.408364
44.0,44,4.416524
53.0,53,4.425876
32.0,32,4.431615
43.0,43,4.439397
44.0,44,4.447196
56.0,56,4.456876
63.0,63,4.468624
35.0,35,4.474582
49.0,49,4.483159
47.0,47,4.491551
33.0,33,4.497536
51.0,51,4.506688
43.0,43,4.514574
32.0,32,4.520477
30.0,30,4.525572
40.0,40,4.532508
39.0,39,4.539693
69.0,69,4.552461
36.0,36,4.558759
25.0,25,4.563172
34.0,34,4.569768
43.0,43,4.577321
38.0,38,4.616098
27.0,27,4.626372
36.0,36,4.640529
35.0,35,4.647386
62.0,62,4.658882
40.0,40,4.66606
64.0,64,4.677856
61.0,61,4.688383
52.0,52,4.697357
38.0,38,4.704656
30.0,30,4.70995
52.0,52,4.719212
46.0,46,4.726961
27.0,27,4.731495
33.0,33,4.737545
26.0,26,4.742122
28.0,28,4.74735
43.0,43,4.75527
43.0,43,4.763344
30.0,30,4.768939
29.0,29,4.774088
46.0,46,4.782291
36.0,36,4.78922
27.0,27,5.231402
34.0,34,5.237679
51.0,51,5.246997
35.0,35,5.253209
71.0,71,5.265387
48.0,48,5.274147
46.0,46,5.282497
25.0,25,5.28705
35.0,35,5.29295
59.0,59,5.303438
57.0,57,5.313962
40.0,40,5.321341
46.0,46,5.329418
30.0,30,5.334471
38.0,38,5.341703
32.0,32,5.34772
34.0,34,5.353963
55.0,55,5.364082
53.0,53,5.373348
29.0,29,5.378462
52.0,52,5.387874
87.0,87,5.40388
37.0,37,5.410852
37.0,37,5.417267
48.0,48,5.426085
41.0,41,5.433601
31.0,31,5.439124
45.0,45,5.447127
103.0,103,5.465278
43.0,43,5.473005
57.0,57,5.483395
26.0,26,5.487974
92.0,92,5.504385
30.0,30,5.509892
25.0,25,5.514297
26.0,26,5.519391
41.0,41,5.526652
56.0,56,5.536803
42.0,42,5.543906
49.0,49,5.553212
39.0,39,5.559794
79.0,79,5.574159
28.0,28,5.578946
69.0,69,5.591254
38.0,38,6.034434
33.0,33,6.040614
48.0,48,6.049539
31.0,31,6.055344
44.0,44,6.063363
34.0,34,6.069409
27.0,27,6.073976
57.0,57,6.083863
45.0,45,6.091897
53.0,53,6.101231
43.0,43,6.109115
37.0,37,6.115781
41.0,41,6.122812
41.0,41,6.12962
44.0,44,6.136914
33.0,33,6.142946
37.0,37,6.150115
29.0,29,6.155241
48.0,48,6.16359
35.0,35,6.169832
48.0,48,6.178133
33.0,33,6.18438
48.0,48,6.193227
31.0,31,6.198502
45.0,45,6.207126
72.0,72,6.219898
32.0,32,6.225656
29.0,29,6.231407
41.0,41,6.23863
35.0,35,6.245294
37.0,37,6.25187
38.0,38,6.258702
50.0,50,6.26785
49.0,49,6.276555
27.0,27,6.28139
58.0,58,6.292031
55.0,55,6.301796
30.0,30,6.307175
34.0,34,6.313259
36.0,36,6.31971
51.0,51,6.328545
177.0,177,6.359822
26.0,26,6.364655
49.0,49,6.373612
36.0,36,6.380417
81.0,81,6.394476
32.0,32,6.83618
23.0,23,6.840237
38.0,38,6.847205
36.0,36,6.853477
43.0,43,6.861647
23.0,23,6.865882
44.0,44,6.873866
24.0,24,6.878263
44.0,44,6.886231
42.0,42,6.893308
22.0,22,6.897357
70.0,70,6.909842
40.0,40,6.916933
46.0,46,6.92542
39.0,39,6.932172
28.0,28,6.937443
39.0,39,6.944229
40.0,40,6.951369
50.0,50,6.960315
36.0,36,6.966512
39.0,39,6.973736
56.0,56,6.983557
103.0,103,7.002154
63.0,63,7.013574
57.0,57,7.023717
62.0,62,7.03456
27.0,27,7.039777
33.0,33,7.045292
35.0,35,7.051897
42.0,42,7.059611
35.0,35,7.065783
32.0,32,7.071945
34.0,34,7.07812
67.0,67,7.090144
30.0,30,7.095558
39.0,39,7.102868
50.0,50,7.1114
31.0,31,7.116623
46.0,46,7.12482
38.0,38,7.131601
42.0,42,7.139012
71.0,71,7.151554
44.0,44,7.159592
62.0,62,7.170695
33.0,33,7.176471
33.0,33,7.183112
53.0,53,7.19217
67.0,67,7.64065
50.0,50,7.649415
91.0,91,7.665338
58.0,58,7.675964
43.0,43,7.683601
40.0,40,7.69106
34.0,34,7.696846
35.0,35,7.702921
39.0,39,7.709971
51.0,51,7.719054
54.0,54,7.728517
42.0,42,7.735789
33.0,33,7.741769
48.0,48,7.75031
38.0,38,7.756893
39.0,39,7.763803
33.0,33,7.76977
44.0,44,7.777351
34.0,34,7.783776
35.0,35,7.790549
46.0,46,7.798484
44.0,44,7.806137
37.0,37,7.813094
60.0,60,7.823569
38.0,38,7.830385
30.0,30,7.835881
30.0,30,7.841646
28.0,28,7.84677
39.0,39,7.853555
68.0,68,7.86595
53.0,53,7.875243
37.0,37,7.882101
31.0,31,7.88776
37.0,37,7.894297
32.0,32,7.900553
32.0,32,7.906343
35.0,35,7.912328
30.0,30,7.917532
76.0,76,7.931535
70.0,70,7.944057
29.0,29,7.94958
25.0,25,7.953826
57.0,57,7.963637
43.0,43,7.971287
40.0,40,7.977958
44.0,44,7.985807
78.0,78,8.00028
70.0,70,8.447116
59.0,59,8.457873
36.0,36,8.464129
34.0,34,8.46999
28.0,28,8.474718
29.0,29,8.480057
32.0,32,8.485672
28.0,28,8.490983
47.0,47,8.499456
33.0,33,8.505627
39.0,39,8.512843
26.0,26,8.517238
44.0,44,8.52522
44.0,44,8.533286
63.0,63,8.544411
35.0,35,8.550622
31.0,31,8.55606
35.0,35,8.562502
35.0,35,8.56891
47.0,47,8.577453
43.0,43,8.5854
48.0,48,8.593802
26.0,26,8.598225
27.0,27,8.603305
47.0,47,8.611469
37.0,37,8.618243
39.0,39,8.625477
56.0,56,8.635656
44.0,44,8.643313
46.0,46,8.651901
28.0,28,8.657514
36.0,36,8.663733
53.0,53,8.673274
38.0,38,8.680222
40.0,40,8.687872
26.0,26,8.69246
30.0,30,8.698015
34.0,34,8.703952
34.0,34,8.710391
49.0,49,8.719283
85.0,85,8.7338
62.0,62,8.745256
85.0,85,8.760367
83.0,83,8.774577
42.0,42,8.782562
26.0,26,8.787369
27.0,27,8.791934
33.0,33,8.798037
67.0,67,9.246865
33.0,33,9.252943
52.0,52,9.262738
70.0,70,9.274928
46.0,46,9.283341
55.0,55,9.293165
137.0,137,9.317288
74.0,74,9.330423
34.0,34,9.336618
44.0,44,9.343949
37.0,37,9.350831
85.0,85,9.365441
46.0,46,9.373323
27.0,27,9.378315
37.0,37,9.385046
37.0,37,9.391914
38.0,38,9.398772
38.0,38,9.405461
37.0,37,9.411844
74.0,74,9.425077
25.0,25,9.42944
43.0,43,9.43711
25.0,25,9.441734
57.0,57,9.452071
41.0,41,9.459395
91.0,91,9.475646
49.0,49,9.484567
37.0,37,9.491238
28.0,28,9.495989
45.0,45,9.504026
35.0,35,9.510103
45.0,45,9.518572
29.0,29,9.523675
39.0,39,9.530146
39.0,39,9.53703
44.0,44,9.544651
25.0,25,9.549302
37.0,37,9.556238
52.0,52,9.565937
37.0,37,9.572142
28.0,28,9.577278
42.0,42,9.585001
40.0,40,9.592544
29.0,29,9.597497
25.0,25,9.602083
72.0,72,10.049944
36.0,36,10.056794
64.0,64,10.068073
66.0,66,10.080065
35.0,35,10.086699
42.0,42,10.094114
69.0,69,10.106719
60.0,60,10.117558
43.0,43,10.125505
64.0,64,10.136778
31.0,31,10.142381
52.0,52,10.151676
50.0,50,10.160658
43.0,43,10.16864
27.0,27,10.173581
39.0,39,10.180408
46.0,46,10.189152
64.0,64,10.2001
46.0,46,10.208191
33.0,33,10.214014
39.0,39,10.220784
54.0,54,10.23058
46.0,46,10.239096
49.0,49,10.247868
37.0,37,10.254849
40.0,40,10.26217
39.0,39,10.269233
50.0,50,10.278234
32.0,32,10.28383
43.0,43,10.29106
54.0,54,10.30044
33.0,33,10.306845
51.0,51,10.316217
41.0,41,10.323617
112.0,112,10.343147
67.0,67,10.355374
38.0,38,10.362391
57.0,57,10.372168
43.0,43,10.379835
42.0,42,10.387588
34.0,34,10.393363
77.0,77,10.406961
31.0,31,10.412281
29.0,29,10.85111
36.0,36,10.857627
28.0,28,10.862922
43.0,43,10.870731
38.0,38,10.877582
28.0,28,10.882541
45.0,45,10.890815
60.0,60,10.901751
126.0,126,10.923776
39.0,39,10.930771
43.0,43,10.938325
106.0,106,10.957321
55.0,55,10.966805
32.0,32,10.972592
30.0,30,10.978263
