#{"t_start": 1734543750.947444, "env_id": "ContinuousCartPole-v0"}
r,l,t
35.0,35,0.279428
30.0,30,0.284694
45.0,45,0.292323
25.0,25,0.296522
28.0,28,0.301304
76.0,76,0.313925
84.0,84,0.32803
30.0,30,0.333201
43.0,43,0.340449
41.0,41,0.347252
40.0,40,0.354087
31.0,31,0.359268
30.0,30,0.364294
30.0,30,0.369394
40.0,40,0.37612
55.0,55,0.385383
26.0,26,0.389744
42.0,42,0.396722
31.0,31,0.401991
28.0,28,0.406717
30.0,30,0.411675
59.0,59,0.421463
50.0,50,0.429739
29.0,29,0.434648
37.0,37,0.440885
32.0,32,0.446238
42.0,42,0.453221
42.0,42,0.460159
37.0,37,0.466335
42.0,42,0.473331
35.0,35,0.479083
28.0,28,0.483827
47.0,47,0.491577
40.0,40,0.498146
23.0,23,0.501962
30.0,30,0.507008
41.0,41,0.513727
28.0,28,0.518419
31.0,31,0.523551
41.0,41,0.530266
39.0,39,0.536819
59.0,59,0.546479
44.0,44,0.553792
28.0,28,0.558446
34.0,34,0.564029
34.0,34,0.569689
53.0,53,0.57837
50.0,50,0.586609
56.0,56,0.595677
32.0,32,0.601078
36.0,36,0.607102
33.0,33,0.612546
35.0,35,1.042418
41.0,41,1.049457
31.0,31,1.054924
39.0,39,1.062089
30.0,30,1.067512
35.0,35,1.073294
35.0,35,1.079024
43.0,43,1.085981
28.0,28,1.090892
45.0,45,1.098676
47.0,47,1.10722
33.0,33,1.11289
32.0,32,1.118435
28.0,28,1.123152
26.0,26,1.127525
36.0,36,1.133731
22.0,22,1.137447
35.0,35,1.143706
56.0,56,1.153131
58.0,58,1.163115
40.0,40,1.16994
56.0,56,1.179834
35.0,35,1.185841
31.0,31,1.191115
32.0,32,1.196655
37.0,37,1.202908
54.0,54,1.212401
45.0,45,1.220015
38.0,38,1.226416
34.0,34,1.232265
62.0,62,1.243046
25.0,25,1.247205
25.0,25,1.251309
42.0,42,1.258093
33.0,33,1.263701
50.0,50,1.272139
40.0,40,1.279079
40.0,40,1.285603
48.0,48,1.293903
52.0,52,1.303274
35.0,35,1.30937
54.0,54,1.31857
56.0,56,1.328557
36.0,36,1.334887
33.0,33,1.3406
38.0,38,1.34706
28.0,28,1.351754
32.0,32,1.357342
29.0,29,1.36223
27.0,27,1.367178
47.0,47,1.375096
45.0,45,1.382601
27.0,27,1.387597
27.0,27,1.82729
31.0,31,1.833395
48.0,48,1.841927
37.0,37,1.848485
33.0,33,1.854545
38.0,38,1.861542
33.0,33,1.867509
35.0,35,1.874352
38.0,38,1.880995
30.0,30,1.886994
40.0,40,1.894315
34.0,34,1.901684
48.0,48,1.910007
25.0,25,1.914252
36.0,36,1.921296
42.0,42,1.929849
40.0,40,1.937743
37.0,37,1.944609
32.0,32,1.951006
27.0,27,1.955812
23.0,23,1.960173
46.0,46,1.968231
38.0,38,1.975786
53.0,53,1.985365
48.0,48,1.995122
62.0,62,2.008776
34.0,34,2.014692
32.0,32,2.020127
28.0,28,2.025418
29.0,29,2.030328
29.0,29,2.035657
25.0,25,2.04041
57.0,57,2.051507
60.0,60,2.063188
44.0,44,2.070995
48.0,48,2.079747
40.0,40,2.08698
35.0,35,2.093482
31.0,31,2.098934
50.0,50,2.107984
37.0,37,2.114517
61.0,61,2.125432
41.0,41,2.132374
51.0,51,2.140979
37.0,37,2.147136
83.0,83,2.161247
37.0,37,2.167749
30.0,30,2.172939
43.0,43,2.18093
34.0,34,2.187121
48.0,48,2.195368
51.0,51,2.734016
43.0,43,2.741392
70.0,70,2.753853
31.0,31,2.759239
32.0,32,2.764858
48.0,48,2.772868
31.0,31,2.778467
42.0,42,2.785627
33.0,33,2.791338
32.0,32,2.796692
27.0,27,2.801419
55.0,55,2.810918
43.0,43,2.818204
37.0,37,2.82446
29.0,29,2.829368
28.0,28,2.834054
31.0,31,2.8394
31.0,31,2.844587
40.0,40,2.851749
33.0,33,2.857231
28.0,28,2.862097
50.0,50,2.870926
54.0,54,2.880683
30.0,30,2.885686
48.0,48,2.894254
51.0,51,2.902959
45.0,45,2.910792
32.0,32,2.91616
52.0,52,2.925288
39.0,39,2.931994
63.0,63,2.942932
98.0,98,2.960088
41.0,41,2.969029
68.0,68,2.980723
49.0,49,2.990022
42.0,42,2.997085
24.0,24,3.001594
35.0,35,3.007636
47.0,47,3.016222
42.0,42,3.024218
43.0,43,3.031876
34.0,34,3.038469
48.0,48,3.046842
48.0,48,3.055274
60.0,60,3.066066
29.0,29,3.071339
35.0,35,3.077248
27.0,27,3.082488
39.0,39,3.089447
32.0,32,3.531573
43.0,43,3.539804
33.0,33,3.545609
82.0,82,3.560141
41.0,41,3.567438
35.0,35,3.574103
34.0,34,3.579841
36.0,36,3.586241
40.0,40,3.593231
37.0,37,3.599564
42.0,42,3.607133
30.0,30,3.612569
66.0,66,3.623508
36.0,36,3.629372
36.0,36,3.635657
27.0,27,3.640219
36.0,36,3.647314
53.0,53,3.656882
33.0,33,3.662501
81.0,81,3.677153
48.0,48,3.685371
38.0,38,3.69209
87.0,87,3.708469
48.0,48,3.717071
44.0,44,3.724598
29.0,29,3.72966
93.0,93,3.746831
79.0,79,3.760402
31.0,31,3.765556
44.0,44,3.773458
28.0,28,3.778585
36.0,36,3.784931
49.0,49,3.793299
42.0,42,3.800753
39.0,39,3.807302
33.0,33,3.813732
23.0,23,3.817628
39.0,39,3.824856
49.0,49,3.833604
38.0,38,3.841102
61.0,61,3.851541
44.0,44,3.85882
51.0,51,3.868215
31.0,31,3.874112
61.0,61,3.885288
53.0,53,3.894558
35.0,35,4.355267
41.0,41,4.362663
52.0,52,4.371719
49.0,49,4.380454
45.0,45,4.388629
25.0,25,4.393727
40.0,40,4.401194
45.0,45,4.408809
42.0,42,4.417758
57.0,57,4.428033
42.0,42,4.436452
53.0,53,4.445963
39.0,39,4.452327
62.0,62,4.463125
44.0,44,4.472082
30.0,30,4.477436
42.0,42,4.48954
37.0,37,4.49711
40.0,40,4.504059
30.0,30,4.510097
29.0,29,4.515297
39.0,39,4.522239
34.0,34,4.528547
64.0,64,4.540083
38.0,38,4.546752
44.0,44,4.554097
36.0,36,4.560616
71.0,71,4.573261
41.0,41,4.580474
44.0,44,4.587894
35.0,35,4.593587
34.0,34,4.599953
42.0,42,4.607632
57.0,57,4.617562
29.0,29,4.622789
68.0,68,4.634625
56.0,56,4.644512
64.0,64,4.656097
35.0,35,4.662323
49.0,49,4.671079
39.0,39,4.678185
50.0,50,4.686537
48.0,48,4.69467
38.0,38,4.701644
36.0,36,4.708005
38.0,38,4.714186
44.0,44,5.161895
81.0,81,5.176761
41.0,41,5.183779
50.0,50,5.192506
76.0,76,5.205437
40.0,40,5.21226
53.0,53,5.221144
30.0,30,5.226477
107.0,107,5.246219
70.0,70,5.259786
52.0,52,5.2688
29.0,29,5.273967
66.0,66,5.285113
155.0,155,5.311341
59.0,59,5.321602
50.0,50,5.330324
61.0,61,5.341313
59.0,59,5.351931
66.0,66,5.363823
60.0,60,5.374293
50.0,50,5.382975
37.0,37,5.389202
37.0,37,5.39561
33.0,33,5.402343
34.0,34,5.411549
39.0,39,5.422793
42.0,42,5.430413
32.0,32,5.436975
36.0,36,5.444187
36.0,36,5.452705
34.0,34,5.459064
39.0,39,5.46746
29.0,29,5.473545
32.0,32,5.48047
25.0,25,5.484878
50.0,50,5.493593
29.0,29,5.49891
60.0,60,5.510584
38.0,38,5.51935
33.0,33,5.526967
52.0,52,5.536489
52.0,52,5.988285
71.0,71,6.00037
46.0,46,6.008325
43.0,43,6.015877
48.0,48,6.024476
74.0,74,6.036814
32.0,32,6.042156
63.0,63,6.053553
42.0,42,6.060685
31.0,31,6.065818
46.0,46,6.073395
39.0,39,6.080178
30.0,30,6.085347
51.0,51,6.093742
37.0,37,6.099794
67.0,67,6.111129
40.0,40,6.118413
37.0,37,6.124795
79.0,79,6.138056
57.0,57,6.147596
55.0,55,6.156562
44.0,44,6.164015
174.0,174,6.192923
50.0,50,6.201212
49.0,49,6.209279
40.0,40,6.215835
31.0,31,6.221205
35.0,35,6.227104
