#{"t_start": 1734541266.791685, "env_id": "ContinuousCartPole-v0"}
r,l,t
31.0,31,0.247418
76.0,76,0.262243
79.0,79,0.276339
44.0,44,0.284427
30.0,30,0.289692
41.0,41,0.296654
25.0,25,0.301251
60.0,60,0.312402
32.0,32,0.317936
46.0,46,0.326332
29.0,29,0.331738
37.0,37,0.338124
49.0,49,0.346535
38.0,38,0.353769
74.0,74,0.367508
25.0,25,0.372062
35.0,35,0.378105
28.0,28,0.383357
42.0,42,0.390656
34.0,34,0.396682
29.0,29,0.402018
67.0,67,0.414124
37.0,37,0.421367
24.0,24,0.425661
36.0,36,0.432192
49.0,49,0.440441
31.0,31,0.446214
32.0,32,0.452137
31.0,31,0.458204
25.0,25,0.462748
63.0,63,0.473379
49.0,49,0.482014
52.0,52,0.490936
38.0,38,0.497904
51.0,51,0.506513
35.0,35,0.512565
35.0,35,0.519202
29.0,29,0.524512
22.0,22,0.528589
24.0,24,0.532709
43.0,43,0.540283
48.0,48,0.548437
34.0,34,0.554313
36.0,36,0.5607
27.0,27,0.565993
43.0,43,0.573266
44.0,44,0.581336
34.0,34,0.587389
49.0,49,0.595549
47.0,47,0.603336
26.0,26,0.60845
37.0,37,1.063958
30.0,30,1.069842
34.0,34,1.07581
44.0,44,1.083642
27.0,27,1.088567
111.0,111,1.107348
69.0,69,1.119928
66.0,66,1.131171
33.0,33,1.138001
27.0,27,1.142979
28.0,28,1.148159
51.0,51,1.157043
32.0,32,1.162639
34.0,34,1.169116
25.0,25,1.173933
28.0,28,1.178653
38.0,38,1.185465
41.0,41,1.192711
30.0,30,1.197861
39.0,39,1.204806
29.0,29,1.210104
33.0,33,1.216433
30.0,30,1.221409
27.0,27,1.226294
37.0,37,1.232808
34.0,34,1.2387
64.0,64,1.249658
59.0,59,1.259946
37.0,37,1.266586
28.0,28,1.271282
38.0,38,1.2782
39.0,39,1.285034
32.0,32,1.290772
24.0,24,1.295291
31.0,31,1.300587
36.0,36,1.307228
63.0,63,1.318061
41.0,41,1.325049
25.0,25,1.329346
46.0,46,1.337572
61.0,61,1.34845
38.0,38,1.355012
40.0,40,1.361709
29.0,29,1.366577
41.0,41,1.374219
40.0,40,1.381784
27.0,27,1.386591
29.0,29,1.391732
74.0,74,1.404621
27.0,27,1.409402
53.0,53,1.418326
34.0,34,1.860672
41.0,41,1.868305
32.0,32,1.874288
38.0,38,1.881666
32.0,32,1.887394
41.0,41,1.894481
31.0,31,1.90029
39.0,39,1.90715
37.0,37,1.913596
36.0,36,1.920081
31.0,31,1.925502
29.0,29,1.930615
42.0,42,1.938503
34.0,34,1.944228
34.0,34,1.950372
40.0,40,1.957381
35.0,35,1.963557
31.0,31,1.96908
58.0,58,1.979343
60.0,60,1.990246
28.0,28,1.994917
36.0,36,2.001584
27.0,27,2.006172
76.0,76,2.019658
