#{"t_start": 1734540811.032297, "env_id": "ContinuousCartPole-v0"}
r,l,t
39.0,39,0.252935
30.0,30,0.2589
59.0,59,0.270727
48.0,48,0.27977
34.0,34,0.285674
32.0,32,0.291767
34.0,34,0.29829
39.0,39,0.305933
37.0,37,0.312689
26.0,26,0.317041
33.0,33,0.322847
50.0,50,0.331438
26.0,26,0.336604
64.0,64,0.347918
35.0,35,0.354167
41.0,41,0.361065
38.0,38,0.368072
44.0,44,0.375936
42.0,42,0.383519
34.0,34,0.389513
28.0,28,0.394432
48.0,48,0.402983
43.0,43,0.411398
27.0,27,0.416417
45.0,45,0.424233
37.0,37,0.431124
28.0,28,0.436213
27.0,27,0.44074
34.0,34,0.447132
30.0,30,0.45229
41.0,41,0.459307
40.0,40,0.466448
30.0,30,0.47209
37.0,37,0.478704
32.0,32,0.48405
35.0,35,0.49046
35.0,35,0.496864
36.0,36,0.502848
36.0,36,0.508831
42.0,42,0.516336
33.0,33,0.521839
55.0,55,0.531492
90.0,90,0.547854
27.0,27,0.552569
28.0,28,0.557433
29.0,29,0.562252
24.0,24,0.566651
38.0,38,0.57343
35.0,35,0.579817
33.0,33,0.5857
38.0,38,0.592677
53.0,53,0.601949
27.0,27,0.60708
99.0,99,1.085875
29.0,29,1.09142
42.0,42,1.098892
40.0,40,1.105779
36.0,36,1.112071
34.0,34,1.118527
38.0,38,1.125548
36.0,36,1.131968
35.0,35,1.138309
33.0,33,1.144072
37.0,37,1.150776
53.0,53,1.160255
75.0,75,1.173483
54.0,54,1.182702
29.0,29,1.188038
56.0,56,1.198031
30.0,30,1.203285
49.0,49,1.212013
31.0,31,1.217657
28.0,28,1.222608
41.0,41,1.230109
48.0,48,1.238908
28.0,28,1.243752
29.0,29,1.249031
47.0,47,1.257447
29.0,29,1.262717
28.0,28,1.267627
25.0,25,1.271982
33.0,33,1.278161
35.0,35,1.284216
52.0,52,1.293481
33.0,33,1.299473
29.0,29,1.304674
40.0,40,1.311704
55.0,55,1.321452
103.0,103,1.339516
26.0,26,1.343866
32.0,32,1.349799
27.0,27,1.354505
32.0,32,1.360571
31.0,31,1.366234
47.0,47,1.37438
27.0,27,1.37934
61.0,61,1.390078
55.0,55,1.399876
70.0,70,1.412364
30.0,30,1.41797
26.0,26,1.422574
34.0,34,1.428786
30.0,30,1.433922
41.0,41,1.441964
34.0,34,1.892389
31.0,31,1.898003
46.0,46,1.906442
45.0,45,1.914609
26.0,26,1.919419
33.0,33,1.925069
30.0,30,1.930424
30.0,30,1.935401
46.0,46,1.943512
33.0,33,1.949439
65.0,65,1.96076
79.0,79,1.974601
52.0,52,1.98406
27.0,27,1.988965
26.0,26,1.993378
66.0,66,2.005101
55.0,55,2.014756
38.0,38,2.021602
30.0,30,2.027015
48.0,48,2.035267
35.0,35,2.04146
34.0,34,2.047372
30.0,30,2.052553
31.0,31,2.057659
42.0,42,2.064846
54.0,54,2.074182
70.0,70,2.086356
31.0,31,2.091988
63.0,63,2.103189
28.0,28,2.107934
43.0,43,2.115841
28.0,28,2.12054
31.0,31,2.125724
39.0,39,2.132236
66.0,66,2.143833
33.0,33,2.149263
67.0,67,2.16085
33.0,33,2.166543
47.0,47,2.175135
45.0,45,2.182895
60.0,60,2.194326
36.0,36,2.200275
48.0,48,2.208661
42.0,42,2.215553
51.0,51,2.224414
52.0,52,2.23385
40.0,40,2.240933
37.0,37,2.694247
52.0,52,2.703888
31.0,31,2.709208
39.0,39,2.715967
75.0,75,2.729037
31.0,31,2.734702
44.0,44,2.742332
32.0,32,2.748249
27.0,27,2.753071
29.0,29,2.758291
42.0,42,2.765774
33.0,33,2.771598
32.0,32,2.777228
103.0,103,2.795105
56.0,56,2.804877
47.0,47,2.812648
28.0,28,2.817845
49.0,49,2.826568
61.0,61,2.837129
52.0,52,2.846173
37.0,37,2.852318
68.0,68,2.865468
36.0,36,2.871738
73.0,73,2.884407
40.0,40,2.891226
39.0,39,2.897963
45.0,45,2.905873
30.0,30,2.910813
