#{"t_start": 1734540597.6287239, "env_id": "ContinuousCartPole-v0"}
r,l,t
36.0,36,0.254511
36.0,36,0.261363
31.0,31,0.266971
29.0,29,0.272513
69.0,69,0.284432
27.0,27,0.289232
37.0,37,0.295883
45.0,45,0.304076
37.0,37,0.310831
29.0,29,0.315859
56.0,56,0.326279
28.0,28,0.331239
29.0,29,0.336131
35.0,35,0.342533
29.0,29,0.347637
29.0,29,0.353065
31.0,31,0.358381
35.0,35,0.364923
30.0,30,0.370506
47.0,47,0.378435
30.0,30,0.384484
32.0,32,0.39023
41.0,41,0.397378
71.0,71,0.409736
58.0,58,0.419856
24.0,24,0.42439
38.0,38,0.431335
47.0,47,0.439675
27.0,27,0.444329
38.0,38,0.451606
44.0,44,0.458863
44.0,44,0.466702
68.0,68,0.478139
26.0,26,0.482988
33.0,33,0.488769
25.0,25,0.493294
39.0,39,0.499877
27.0,27,0.504627
48.0,48,0.513088
32.0,32,0.518489
57.0,57,0.528089
44.0,44,0.536046
41.0,41,0.543358
40.0,40,0.550037
32.0,32,0.555327
30.0,30,0.560246
40.0,40,0.567235
38.0,38,0.573945
38.0,38,0.580125
45.0,45,0.588896
45.0,45,0.597183
38.0,38,0.603686
26.0,26,0.608037
38.0,38,1.066666
46.0,46,1.074917
27.0,27,1.079729
37.0,37,1.086119
31.0,31,1.091382
42.0,42,1.098496
30.0,30,1.104298
67.0,67,1.116503
45.0,45,1.124445
26.0,26,1.129366
50.0,50,1.13811
32.0,32,1.143779
26.0,26,1.14868
63.0,63,1.160376
39.0,39,1.16697
53.0,53,1.175933
25.0,25,1.180447
31.0,31,1.185628
46.0,46,1.194095
30.0,30,1.199696
48.0,48,1.208138
31.0,31,1.213313
34.0,34,1.219233
67.0,67,1.230987
39.0,39,1.237791
34.0,34,1.243342
30.0,30,1.24875
26.0,26,1.253405
57.0,57,1.263251
39.0,39,1.269608
29.0,29,1.274369
22.0,22,1.278126
45.0,45,1.28625
26.0,26,1.291008
39.0,39,1.298091
31.0,31,1.303499
32.0,32,1.309362
36.0,36,1.315585
45.0,45,1.323288
34.0,34,1.329514
41.0,41,1.337128
76.0,76,1.350552
49.0,49,1.35883
33.0,33,1.364519
40.0,40,1.371938
35.0,35,1.377908
34.0,34,1.383782
43.0,43,1.391332
35.0,35,1.397247
26.0,26,1.402076
32.0,32,1.40741
33.0,33,1.413271
40.0,40,1.420181
36.0,36,1.865763
38.0,38,1.872618
33.0,33,1.878514
38.0,38,1.885319
34.0,34,1.890978
27.0,27,1.896013
28.0,28,1.900925
44.0,44,1.908918
28.0,28,1.913981
24.0,24,1.917903
33.0,33,1.92364
41.0,41,1.930433
32.0,32,1.935768
24.0,24,1.939668
33.0,33,1.945563
28.0,28,1.950396
63.0,63,1.960921
37.0,37,1.967673
38.0,38,1.974285
40.0,40,1.981048
39.0,39,1.987685
34.0,34,1.993256
78.0,78,2.007114
68.0,68,2.018774
26.0,26,2.022979
33.0,33,2.028907
31.0,31,2.034303
25.0,25,2.038742
31.0,31,2.044189
61.0,61,2.054285
50.0,50,2.062885
33.0,33,2.068745
36.0,36,2.074982
50.0,50,2.083396
32.0,32,2.088827
37.0,37,2.094788
42.0,42,2.102078
48.0,48,2.110319
32.0,32,2.115839
74.0,74,2.129658
31.0,31,2.135005
33.0,33,2.140963
31.0,31,2.146096
28.0,28,2.150657
31.0,31,2.156113
52.0,52,2.164827
32.0,32,2.17027
33.0,33,2.176356
62.0,62,2.186881
35.0,35,2.19262
28.0,28,2.197136
34.0,34,2.203213
37.0,37,2.209631
28.0,28,2.214812
55.0,55,2.662762
31.0,31,2.668436
70.0,70,2.680316
67.0,67,2.692087
58.0,58,2.702471
62.0,62,2.713285
42.0,42,2.720437
29.0,29,2.72514
42.0,42,2.732626
39.0,39,2.739423
47.0,47,2.747582
40.0,40,2.754443
42.0,42,2.762283
48.0,48,2.770518
28.0,28,2.775036
41.0,41,2.782464
49.0,49,2.790908
35.0,35,2.797055
30.0,30,2.80235
28.0,28,2.807333
34.0,34,2.813042
49.0,49,2.821436
46.0,46,2.829108
32.0,32,2.834286
111.0,111,2.853696
30.0,30,2.858934
82.0,82,2.873428
59.0,59,2.884202
31.0,31,2.889596
57.0,57,2.899011
34.0,34,2.90448
56.0,56,2.914044
39.0,39,2.920337
27.0,27,2.924689
43.0,43,2.932178
104.0,104,2.950503
57.0,57,2.960647
32.0,32,2.965823
35.0,35,2.971731
32.0,32,2.977296
28.0,28,2.9822
37.0,37,2.989259
33.0,33,2.995484
34.0,34,3.001461
30.0,30,3.00652
66.0,66,3.468005
59.0,59,3.479483
37.0,37,3.486436
49.0,49,3.49627
38.0,38,3.503363
35.0,35,3.50978
61.0,61,3.520574
44.0,44,3.527856
45.0,45,3.536373
60.0,60,3.547828
35.0,35,3.55463
25.0,25,3.558925
33.0,33,3.565178
27.0,27,3.569762
95.0,95,3.587743
34.0,34,3.593678
32.0,32,3.600393
33.0,33,3.606883
47.0,47,3.615847
43.0,43,3.62462
50.0,50,3.635724
36.0,36,3.642934
43.0,43,3.650772
37.0,37,3.657917
26.0,26,3.662212
37.0,37,3.6682
73.0,73,3.681259
35.0,35,3.687371
36.0,36,3.693501
30.0,30,3.698391
29.0,29,3.703875
31.0,31,3.709262
27.0,27,3.714118
37.0,37,3.72037
34.0,34,3.726202
44.0,44,3.734138
49.0,49,3.742701
36.0,36,3.748983
34.0,34,3.755139
30.0,30,3.760044
32.0,32,3.765474
45.0,45,3.773328
75.0,75,3.785927
51.0,51,3.794176
47.0,47,3.801725
40.0,40,3.808833
45.0,45,3.816229
40.0,40,3.823433
119.0,119,4.301967
40.0,40,4.308821
38.0,38,4.315497
46.0,46,4.323861
31.0,31,4.329683
55.0,55,4.339132
34.0,34,4.344882
46.0,46,4.353142
35.0,35,4.359376
39.0,39,4.366253
35.0,35,4.37243
39.0,39,4.379406
65.0,65,4.390773
45.0,45,4.398901
34.0,34,4.404986
54.0,54,4.415041
38.0,38,4.42155
37.0,37,4.428311
37.0,37,4.434621
35.0,35,4.440876
83.0,83,4.455304
44.0,44,4.463037
37.0,37,4.470272
37.0,37,4.476951
46.0,46,4.484368
45.0,45,4.49171
32.0,32,4.497892
45.0,45,4.506823
39.0,39,4.513856
52.0,52,4.522835
53.0,53,4.532762
54.0,54,4.542068
40.0,40,4.548934
42.0,42,4.556791
41.0,41,4.564109
47.0,47,4.572557
54.0,54,4.581895
35.0,35,4.587968
46.0,46,4.596
64.0,64,4.607279
69.0,69,4.619068
58.0,58,4.62912
28.0,28,4.634252
44.0,44,4.64216
35.0,35,4.648311
42.0,42,5.104377
38.0,38,5.111554
52.0,52,5.120764
48.0,48,5.12978
65.0,65,5.141541
32.0,32,5.147053
79.0,79,5.162116
49.0,49,5.171383
38.0,38,5.177756
61.0,61,5.188513
46.0,46,5.235136
40.0,40,5.249825
39.0,39,5.256885
44.0,44,5.264781
31.0,31,5.270655
50.0,50,5.27972
97.0,97,5.2963
36.0,36,5.302877
92.0,92,5.319735
50.0,50,5.328483
27.0,27,5.333164
31.0,31,5.338258
78.0,78,5.351248
52.0,52,5.360453
60.0,60,5.371452
70.0,70,5.383059
33.0,33,5.388639
33.0,33,5.394103
38.0,38,5.400638
73.0,73,5.413523
35.0,35,5.419769
56.0,56,5.429786
46.0,46,5.438147
29.0,29,5.443021
70.0,70,5.455455
36.0,36,5.46193
37.0,37,5.468406
41.0,41,5.475362
53.0,53,5.484789
63.0,63,5.49649
58.0,58,5.506645
49.0,49,5.952606
39.0,39,5.959722
32.0,32,5.965606
43.0,43,5.972997
70.0,70,5.984679
37.0,37,5.991275
87.0,87,6.006766
72.0,72,6.02011
41.0,41,6.02689
71.0,71,6.039716
36.0,36,6.046069
41.0,41,6.05309
120.0,120,6.074036
36.0,36,6.080276
90.0,90,6.095645
68.0,68,6.107443
60.0,60,6.117635
72.0,72,6.129721
32.0,32,6.134901
68.0,68,6.14681
38.0,38,6.154007
36.0,36,6.160179
66.0,66,6.172231
87.0,87,6.186883
46.0,46,6.195077
43.0,43,6.203191
39.0,39,6.209723
61.0,61,6.220006
40.0,40,6.22656
49.0,49,6.23469
73.0,73,6.247894
43.0,43,6.25499
55.0,55,6.265268
34.0,34,6.271306
49.0,49,6.279787
82.0,82,6.293522
35.0,35,6.299142
37.0,37,6.740497
49.0,49,6.748661
81.0,81,6.763423
74.0,74,6.77605
94.0,94,6.792036
40.0,40,6.799336
47.0,47,6.808095
49.0,49,6.81657
52.0,52,6.825691
70.0,70,6.838252
44.0,44,6.845668
98.0,98,6.863223
62.0,62,6.874122
80.0,80,6.887918
38.0,38,6.894168
49.0,49,6.903329
75.0,75,6.916949
43.0,43,6.924731
104.0,104,6.942542
47.0,47,6.950992
41.0,41,6.958677
94.0,94,6.975205
86.0,86,6.989899
49.0,49,6.998247
78.0,78,7.012489
47.0,47,7.020819
42.0,42,7.028084
46.0,46,7.035818
39.0,39,7.042676
52.0,52,7.051874
38.0,38,7.058652
46.0,46,7.066555
35.0,35,7.072714
97.0,97,7.08933
58.0,58,7.531474
110.0,110,7.551364
64.0,64,7.562756
66.0,66,7.574345
46.0,46,7.582317
42.0,42,7.5897
73.0,73,7.601989
69.0,69,7.613526
116.0,116,7.633864
107.0,107,7.652657
88.0,88,7.668112
227.0,227,7.707454
