#{"t_start": 1734542294.6097522, "env_id": "ContinuousCartPole-v0"}
r,l,t
27.0,27,0.252631
39.0,39,0.260014
38.0,38,0.267222
66.0,66,0.278708
33.0,33,0.284401
38.0,38,0.291138
48.0,48,0.299748
63.0,63,0.310622
41.0,41,0.317828
32.0,32,0.323781
64.0,64,0.335519
29.0,29,0.34084
34.0,34,0.346727
39.0,39,0.353573
44.0,44,0.361642
40.0,40,0.368588
25.0,25,0.373057
36.0,36,0.379679
39.0,39,0.386691
51.0,51,0.395603
66.0,66,0.407106
43.0,43,0.414705
32.0,32,0.42044
43.0,43,0.427951
46.0,46,0.43575
25.0,25,0.440387
37.0,37,0.447099
34.0,34,0.452763
63.0,63,0.4636
42.0,42,0.470902
33.0,33,0.476479
26.0,26,0.48106
46.0,46,0.489188
36.0,36,0.495255
30.0,30,0.50052
42.0,42,0.507833
49.0,49,0.516231
60.0,60,0.526368
36.0,36,0.532866
90.0,90,0.548465
53.0,53,0.557658
40.0,40,0.564466
60.0,60,0.574456
26.0,26,0.578978
48.0,48,0.587335
31.0,31,0.592777
46.0,46,0.600197
29.0,29,0.605863
25.0,25,1.052808
27.0,27,1.057548
45.0,45,1.065614
32.0,32,1.071489
31.0,31,1.076737
35.0,35,1.083139
32.0,32,1.089028
48.0,48,1.097064
30.0,30,1.102457
32.0,32,1.108285
28.0,28,1.113187
32.0,32,1.118985
57.0,57,1.129278
58.0,58,1.139191
60.0,60,1.149645
27.0,27,1.154631
31.0,31,1.160259
33.0,33,1.165842
38.0,38,1.172672
31.0,31,1.178561
27.0,27,1.183181
42.0,42,1.19076
50.0,50,1.199643
36.0,36,1.205942
53.0,53,1.215177
40.0,40,1.222259
30.0,30,1.227342
40.0,40,1.234041
54.0,54,1.243327
40.0,40,1.250415
47.0,47,1.25848
31.0,31,1.264208
46.0,46,1.272512
34.0,34,1.278579
39.0,39,1.285512
41.0,41,1.292634
26.0,26,1.29725
44.0,44,1.304968
49.0,49,1.313246
105.0,105,1.331908
35.0,35,1.337801
102.0,102,1.355148
57.0,57,1.365072
34.0,34,1.370834
33.0,33,1.376587
33.0,33,1.382681
23.0,23,1.386999
39.0,39,1.39349
37.0,37,1.400317
26.0,26,1.40528
32.0,32,1.410646
42.0,42,1.843356
42.0,42,1.851181
24.0,24,1.855279
37.0,37,1.862184
98.0,98,1.878674
41.0,41,1.885507
28.0,28,1.89056
48.0,48,1.899068
31.0,31,1.904446
34.0,34,1.910508
28.0,28,1.915789
52.0,52,1.925089
28.0,28,1.930248
86.0,86,1.945042
57.0,57,1.955189
24.0,24,1.959415
40.0,40,1.966391
44.0,44,1.974027
33.0,33,1.980459
33.0,33,1.986289
33.0,33,1.992217
32.0,32,1.997971
31.0,31,2.003648
35.0,35,2.009741
29.0,29,2.014814
34.0,34,2.020775
26.0,26,2.024988
42.0,42,2.032218
51.0,51,2.041847
35.0,35,2.047733
33.0,33,2.053539
32.0,32,2.058817
28.0,28,2.064012
29.0,29,2.068727
51.0,51,2.077964
