#{"t_start": 1734545028.0028958, "env_id": "ContinuousCartPole-v0"}
r,l,t
32.0,32,0.249483
67.0,67,0.262821
45.0,45,0.271435
46.0,46,0.279851
66.0,66,0.291682
35.0,35,0.297805
31.0,31,0.303213
27.0,27,0.307941
42.0,42,0.315709
28.0,28,0.321225
36.0,36,0.327772
30.0,30,0.33294
27.0,27,0.338418
42.0,42,0.345902
28.0,28,0.351096
47.0,47,0.359951
41.0,41,0.367732
62.0,62,0.378451
43.0,43,0.386025
43.0,43,0.394085
34.0,34,0.40001
37.0,37,0.406802
45.0,45,0.415371
30.0,30,0.42136
36.0,36,0.427797
28.0,28,0.433161
26.0,26,0.437828
37.0,37,0.444294
60.0,60,0.454801
35.0,35,0.461029
37.0,37,0.467907
37.0,37,0.474767
59.0,59,0.485436
50.0,50,0.494506
34.0,34,0.500424
54.0,54,0.510238
29.0,29,0.515741
31.0,31,0.521058
28.0,28,0.526579
42.0,42,0.534135
38.0,38,0.540608
27.0,27,0.546155
48.0,48,0.554759
45.0,45,0.562747
43.0,43,0.570807
48.0,48,0.579408
51.0,51,0.588659
27.0,27,0.593319
34.0,34,0.59977
55.0,55,0.609868
106.0,106,1.099499
45.0,45,1.1078
34.0,34,1.114351
25.0,25,1.119116
33.0,33,1.124906
37.0,37,1.131362
44.0,44,1.139468
29.0,29,1.145134
46.0,46,1.153409
24.0,24,1.157527
32.0,32,1.163448
53.0,53,1.172836
31.0,31,1.178278
38.0,38,1.185662
30.0,30,1.191258
40.0,40,1.198225
84.0,84,1.212857
42.0,42,1.220715
50.0,50,1.229504
35.0,35,1.236211
25.0,25,1.240887
30.0,30,1.246308
43.0,43,1.253843
37.0,37,1.260236
42.0,42,1.26852
33.0,33,1.274615
27.0,27,1.279594
46.0,46,1.288543
20.0,20,1.292296
42.0,42,1.299452
36.0,36,1.306001
29.0,29,1.311525
61.0,61,1.322682
41.0,41,1.330064
124.0,124,1.352453
47.0,47,1.3613
37.0,37,1.368167
29.0,29,1.373326
35.0,35,1.379495
46.0,46,1.388459
61.0,61,1.399186
39.0,39,1.406353
28.0,28,1.411596
42.0,42,1.419475
35.0,35,1.426203
29.0,29,1.431319
34.0,34,1.437518
37.0,37,1.444358
34.0,34,1.450676
33.0,33,1.457132
50.0,50,1.920421
65.0,65,1.932257
36.0,36,1.939515
34.0,34,1.946081
69.0,69,1.95908
26.0,26,1.963634
32.0,32,1.96984
73.0,73,1.982416
32.0,32,1.988433
31.0,31,1.994001
33.0,33,2.000291
35.0,35,2.006206
42.0,42,2.014283
38.0,38,2.021485
51.0,51,2.030836
54.0,54,2.040889
108.0,108,2.060711
28.0,28,2.06562
37.0,37,2.072204
41.0,41,2.079673
32.0,32,2.085683
44.0,44,2.093685
47.0,47,2.102373
34.0,34,2.108598
51.0,51,2.117562
40.0,40,2.124959
47.0,47,2.133512
33.0,33,2.13981
48.0,48,2.148548
36.0,36,2.154765
36.0,36,2.161792
35.0,35,2.168167
27.0,27,2.173014
30.0,30,2.178527
29.0,29,2.183796
24.0,24,2.188092
33.0,33,2.194132
34.0,34,2.200959
29.0,29,2.206165
33.0,33,2.212383
36.0,36,2.218948
41.0,41,2.226772
55.0,55,2.236768
34.0,34,2.243335
35.0,35,2.249736
38.0,38,2.256263
41.0,41,2.263903
36.0,36,2.270803
53.0,53,2.280867
55.0,55,2.290702
27.0,27,2.746692
49.0,49,2.756068
36.0,36,2.762723
73.0,73,2.77622
34.0,34,2.782087
40.0,40,2.789866
30.0,30,2.79562
39.0,39,2.802732
28.0,28,2.807604
46.0,46,2.8161
35.0,35,2.822749
32.0,32,2.828584
72.0,72,2.842256
34.0,34,2.848125
59.0,59,2.858601
27.0,27,2.863743
38.0,38,2.870872
58.0,58,2.881677
31.0,31,2.887347
90.0,90,2.903123
56.0,56,2.913263
41.0,41,2.920645
51.0,51,2.929863
30.0,30,2.936019
32.0,32,2.941861
48.0,48,2.950194
47.0,47,2.95863
57.0,57,2.969172
32.0,32,2.975503
57.0,57,2.985722
51.0,51,2.994968
43.0,43,3.002859
29.0,29,3.008193
59.0,59,3.01895
27.0,27,3.023991
35.0,35,3.030271
38.0,38,3.037124
35.0,35,3.043592
36.0,36,3.049856
26.0,26,3.054772
29.0,29,3.060164
54.0,54,3.069912
45.0,45,3.078564
44.0,44,3.086477
48.0,48,3.095095
28.0,28,3.100023
63.0,63,3.111779
33.0,33,3.117969
45.0,45,3.577058
28.0,28,3.582338
35.0,35,3.588672
63.0,63,3.599741
25.0,25,3.60494
45.0,45,3.61353
37.0,37,3.620469
37.0,37,3.627342
28.0,28,3.632616
48.0,48,3.640851
47.0,47,3.649321
52.0,52,3.659002
33.0,33,3.665077
44.0,44,3.673156
32.0,32,3.678962
65.0,65,3.690754
25.0,25,3.695247
48.0,48,3.704051
42.0,42,3.711665
41.0,41,3.719287
54.0,54,3.729634
40.0,40,3.737208
57.0,57,3.74721
44.0,44,3.755346
62.0,62,3.766799
35.0,35,3.773257
45.0,45,3.781414
38.0,38,3.788439
55.0,55,3.798517
36.0,36,3.805169
35.0,35,3.811328
30.0,30,3.817212
27.0,27,3.822184
35.0,35,3.82836
30.0,30,3.83394
29.0,29,3.839021
42.0,42,3.846485
32.0,32,3.852435
26.0,26,3.857204
46.0,46,3.865503
46.0,46,3.873951
45.0,45,3.881808
40.0,40,3.889421
49.0,49,3.898726
26.0,26,3.903592
38.0,38,3.910428
59.0,59,3.920882
37.0,37,3.927634
37.0,37,3.934616
47.0,47,3.943116
24.0,24,4.396744
62.0,62,4.408888
29.0,29,4.413958
54.0,54,4.423692
68.0,68,4.436483
54.0,54,4.446106
43.0,43,4.453685
62.0,62,4.465339
36.0,36,4.472169
40.0,40,4.479345
33.0,33,4.485012
88.0,88,4.501546
36.0,36,4.50824
36.0,36,4.514495
32.0,32,4.520342
30.0,30,4.525449
31.0,31,4.531415
44.0,44,4.539831
46.0,46,4.548162
35.0,35,4.554594
31.0,31,4.5603
42.0,42,4.567857
28.0,28,4.572785
66.0,66,4.584701
32.0,32,4.590604
41.0,41,4.598208
36.0,36,4.604644
64.0,64,4.616632
42.0,42,4.624257
46.0,46,4.632747
30.0,30,4.638478
45.0,45,4.646521
41.0,41,4.65436
34.0,34,4.660751
31.0,31,4.666091
30.0,30,4.67184
46.0,46,4.680417
35.0,35,4.686815
49.0,49,4.695447
32.0,32,4.701526
37.0,37,4.708262
32.0,32,4.714027
32.0,32,4.719685
30.0,30,4.724865
52.0,52,4.734458
65.0,65,4.74616
