#{"t_start": 1734539054.789398, "env_id": "ContinuousCartPole-v0"}
r,l,t
41.0,41,0.2513
32.0,32,0.257655
35.0,35,0.264012
29.0,29,0.269385
105.0,105,0.288049
45.0,45,0.296173
28.0,28,0.300961
30.0,30,0.306539
43.0,43,0.314482
35.0,35,0.320695
36.0,36,0.32718
47.0,47,0.335588
43.0,43,0.343202
40.0,40,0.350083
47.0,47,0.358946
35.0,35,0.365746
40.0,40,0.372906
29.0,29,0.377895
61.0,61,0.388634
37.0,37,0.39559
61.0,61,0.406502
28.0,28,0.41138
48.0,48,0.419913
36.0,36,0.426066
54.0,54,0.435012
61.0,61,0.445858
29.0,29,0.450915
45.0,45,0.45863
27.0,27,0.46355
44.0,44,0.471312
33.0,33,0.476799
31.0,31,0.481942
38.0,38,0.488843
45.0,45,0.496916
38.0,38,0.503775
35.0,35,0.510183
36.0,36,0.516192
30.0,30,0.521397
28.0,28,0.525955
35.0,35,0.53232
32.0,32,0.538077
67.0,67,0.549835
74.0,74,0.562567
32.0,32,0.568103
33.0,33,0.573744
27.0,27,0.578548
33.0,33,0.584435
31.0,31,0.589842
42.0,42,0.596941
45.0,45,0.604328
34.0,34,1.119861
48.0,48,1.128571
28.0,28,1.133374
43.0,43,1.14086
34.0,34,1.147275
40.0,40,1.154306
63.0,63,1.165715
50.0,50,1.174142
45.0,45,1.181992
33.0,33,1.18813
30.0,30,1.193684
31.0,31,1.199276
67.0,67,1.210913
47.0,47,1.218976
42.0,42,1.226149
52.0,52,1.23474
37.0,37,1.241107
30.0,30,1.246295
35.0,35,1.252104
59.0,59,1.262292
64.0,64,1.273238
32.0,32,1.278779
35.0,35,1.284561
39.0,39,1.291337
31.0,31,1.297146
86.0,86,1.311921
40.0,40,1.318906
27.0,27,1.323334
33.0,33,1.32878
32.0,32,1.334073
50.0,50,1.34225
24.0,24,1.346609
44.0,44,1.354491
62.0,62,1.365113
39.0,39,1.372073
31.0,31,1.377506
44.0,44,1.384711
31.0,31,1.39041
31.0,31,1.395565
24.0,24,1.40019
37.0,37,1.406852
41.0,41,1.413836
35.0,35,1.420175
29.0,29,1.425006
47.0,47,1.432855
51.0,51,1.442428
27.0,27,1.447082
45.0,45,1.454465
38.0,38,1.461417
33.0,33,1.46731
33.0,33,1.916935
43.0,43,1.924973
71.0,71,1.937224
52.0,52,1.946602
33.0,33,1.952331
28.0,28,1.957329
53.0,53,1.966825
30.0,30,1.97196
38.0,38,1.978799
54.0,54,1.988061
27.0,27,1.992736
31.0,31,1.998153
40.0,40,2.004626
49.0,49,2.013569
37.0,37,2.020157
30.0,30,2.025241
29.0,29,2.031617
28.0,28,2.037202
43.0,43,2.046684
31.0,31,2.052725
33.0,33,2.058895
42.0,42,2.066855
33.0,33,2.072729
36.0,36,2.079188
48.0,48,2.087133
38.0,38,2.093973
57.0,57,2.104666
41.0,41,2.112286
30.0,30,2.117351
35.0,35,2.123531
68.0,68,2.135322
38.0,38,2.142799
46.0,46,2.152786
71.0,71,2.16569
35.0,35,2.172389
32.0,32,2.178477
53.0,53,2.187941
52.0,52,2.197939
37.0,37,2.204902
26.0,26,2.209567
45.0,45,2.217984
40.0,40,2.226388
59.0,59,2.237527
33.0,33,2.244167
26.0,26,2.248467
51.0,51,2.25739
37.0,37,2.264594
32.0,32,2.271076
42.0,42,2.278798
59.0,59,2.290281
60.0,60,2.760009
35.0,35,2.765947
91.0,91,2.781636
39.0,39,2.788949
40.0,40,2.795993
44.0,44,2.803615
33.0,33,2.809283
35.0,35,2.815236
26.0,26,2.81969
30.0,30,2.825116
30.0,30,2.830074
30.0,30,2.835002
63.0,63,2.845818
32.0,32,2.851649
59.0,59,2.861843
32.0,32,2.867047
37.0,37,2.873869
29.0,29,2.878983
40.0,40,2.886422
48.0,48,2.894826
37.0,37,2.901382
38.0,38,2.907673
35.0,35,2.913495
51.0,51,2.922376
27.0,27,2.927176
41.0,41,2.934404
32.0,32,2.939917
27.0,27,2.944774
33.0,33,2.950654
29.0,29,2.955374
35.0,35,2.961157
42.0,42,2.967979
45.0,45,2.97635
33.0,33,2.982264
39.0,39,2.988829
26.0,26,2.993577
32.0,32,2.99895
39.0,39,3.005654
39.0,39,3.012047
65.0,65,3.023274
51.0,51,3.032271
28.0,28,3.03797
30.0,30,3.043044
29.0,29,3.047759
59.0,59,3.057846
37.0,37,3.064296
37.0,37,3.070739
43.0,43,3.077769
40.0,40,3.085059
46.0,46,3.093311
77.0,77,3.107076
33.0,33,3.591151
41.0,41,3.599171
47.0,47,3.607145
38.0,38,3.613904
35.0,35,3.620272
36.0,36,3.626488
55.0,55,3.636662
55.0,55,3.646995
29.0,29,3.652443
56.0,56,3.662193
45.0,45,3.670275
34.0,34,3.6759
68.0,68,3.687333
44.0,44,3.694763
33.0,33,3.701259
27.0,27,3.705814
60.0,60,3.716456
70.0,70,3.72866
35.0,35,3.734432
41.0,41,3.74175
76.0,76,3.754962
40.0,40,3.76223
33.0,33,3.767833
59.0,59,3.77922
42.0,42,3.786958
37.0,37,3.793702
37.0,37,3.800103
33.0,33,3.805834
39.0,39,3.812978
29.0,29,3.817727
30.0,30,3.82325
32.0,32,3.828661
104.0,104,3.846249
29.0,29,3.851724
60.0,60,3.862123
29.0,29,3.867312
42.0,42,3.874624
54.0,54,3.883893
24.0,24,3.887913
33.0,33,3.893953
64.0,64,3.904802
56.0,56,3.914579
45.0,45,3.922525
66.0,66,3.935104
36.0,36,3.941789
60.0,60,4.40797
34.0,34,4.414181
55.0,55,4.424177
52.0,52,4.433626
39.0,39,4.440975
32.0,32,4.446523
35.0,35,4.452433
39.0,39,4.459526
47.0,47,4.467814
30.0,30,4.473101
38.0,38,4.480119
79.0,79,4.493753
36.0,36,4.499893
40.0,40,4.506613
40.0,40,4.513341
40.0,40,4.520448
47.0,47,4.528762
34.0,34,4.534976
34.0,34,4.54109
27.0,27,4.545569
47.0,47,4.553982
31.0,31,4.559231
122.0,122,4.580208
41.0,41,4.587095
56.0,56,4.59697
37.0,37,4.603614
30.0,30,4.608497
68.0,68,4.620826
52.0,52,4.629978
76.0,76,4.643211
38.0,38,4.650156
42.0,42,4.657219
42.0,42,4.664733
42.0,42,4.672297
74.0,74,4.68516
62.0,62,4.69544
97.0,97,4.712615
40.0,40,4.719753
62.0,62,4.730628
54.0,54,4.740096
34.0,34,4.74596
50.0,50,4.754602
32.0,32,4.760344
69.0,69,5.218946
37.0,37,5.225097
52.0,52,5.234541
32.0,32,5.240083
37.0,37,5.246816
41.0,41,5.254191
37.0,37,5.260482
105.0,105,5.278555
41.0,41,5.286024
42.0,42,5.293542
44.0,44,5.300735
47.0,47,5.309284
