#{"t_start": 1734544171.806083, "env_id": "ContinuousCartPole-v0"}
r,l,t
33.0,33,0.252826
37.0,37,0.259525
31.0,31,0.265584
43.0,43,0.273053
41.0,41,0.280373
35.0,35,0.286794
37.0,37,0.293109
44.0,44,0.301749
26.0,26,0.30623
54.0,54,0.315646
26.0,26,0.320525
26.0,26,0.325076
31.0,31,0.330906
65.0,65,0.342454
32.0,32,0.348095
39.0,39,0.354917
38.0,38,0.361567
46.0,46,0.369826
34.0,34,0.375907
33.0,33,0.382205
55.0,55,0.392028
29.0,29,0.3973
47.0,47,0.405667
27.0,27,0.410308
46.0,46,0.418564
45.0,45,0.426757
54.0,54,0.436496
51.0,51,0.445849
34.0,34,0.452102
37.0,37,0.458585
52.0,52,0.467608
42.0,42,0.475088
40.0,40,0.482605
34.0,34,0.488552
42.0,42,0.496018
29.0,29,0.501432
37.0,37,0.508064
25.0,25,0.512514
38.0,38,0.519603
52.0,52,0.529052
44.0,44,0.536859
55.0,55,0.546686
62.0,62,0.557578
32.0,32,0.562975
29.0,29,0.568186
43.0,43,0.575882
64.0,64,0.586961
37.0,37,0.593255
36.0,36,0.600838
78.0,78,0.614691
46.0,46,1.093947
39.0,39,1.101267
45.0,45,1.108891
49.0,49,1.117646
28.0,28,1.122635
32.0,32,1.128325
41.0,41,1.135234
32.0,32,1.141242
37.0,37,1.148044
38.0,38,1.155142
54.0,54,1.164629
32.0,32,1.17016
51.0,51,1.17933
48.0,48,1.187502
35.0,35,1.193468
29.0,29,1.198862
28.0,28,1.204246
80.0,80,1.218562
42.0,42,1.225801
60.0,60,1.236562
47.0,47,1.244522
51.0,51,1.253873
37.0,37,1.260455
28.0,28,1.265431
27.0,27,1.270439
32.0,32,1.275738
34.0,34,1.28199
28.0,28,1.286812
46.0,46,1.294673
40.0,40,1.302315
52.0,52,1.311641
39.0,39,1.318822
55.0,55,1.328944
29.0,29,1.333966
37.0,37,1.34099
38.0,38,1.348251
29.0,29,1.353391
37.0,37,1.35979
40.0,40,1.366723
44.0,44,1.375128
44.0,44,1.383735
46.0,46,1.392094
32.0,32,1.397831
57.0,57,1.408091
30.0,30,1.413796
33.0,33,1.420217
36.0,36,1.427255
45.0,45,1.435648
32.0,32,1.441205
36.0,36,1.447309
63.0,63,1.921532
46.0,46,1.930253
41.0,41,1.938059
38.0,38,1.944674
33.0,33,1.950442
27.0,27,1.955973
25.0,25,1.96057
