#{"t_start": 1734544611.722647, "env_id": "ContinuousCartPole-v0"}
r,l,t
31.0,31,0.279137
43.0,43,0.286882
31.0,31,0.292418
27.0,27,0.297124
29.0,29,0.302173
43.0,43,0.309684
25.0,25,0.314701
49.0,49,0.32366
65.0,65,0.334908
48.0,48,0.343233
44.0,44,0.350926
30.0,30,0.3562
30.0,30,0.361388
34.0,34,0.367394
58.0,58,0.377454
34.0,34,0.383354
27.0,27,0.388122
52.0,52,0.397069
29.0,29,0.402163
66.0,66,0.41342
44.0,44,0.421153
36.0,36,0.427376
47.0,47,0.435519
39.0,39,0.442305
31.0,31,0.44766
40.0,40,0.454675
48.0,48,0.462912
28.0,28,0.467793
42.0,42,0.475093
32.0,32,0.480542
31.0,31,0.48595
31.0,31,0.491338
37.0,37,0.497638
39.0,39,0.504388
39.0,39,0.511147
29.0,29,0.516147
35.0,35,0.522247
31.0,31,0.52761
28.0,28,0.532425
34.0,34,0.538315
57.0,57,0.54806
34.0,34,0.553967
43.0,43,0.561338
31.0,31,0.566649
80.0,80,0.58032
42.0,42,0.587633
46.0,46,0.595541
41.0,41,0.602601
42.0,42,0.609871
30.0,30,0.615022
38.0,38,0.62164
84.0,84,1.076213
28.0,28,1.081074
51.0,51,1.089683
54.0,54,1.099342
63.0,63,1.110459
34.0,34,1.116489
35.0,35,1.1224
50.0,50,1.130814
80.0,80,1.144738
51.0,51,1.153474
28.0,28,1.15833
27.0,27,1.1628
25.0,25,1.167209
75.0,75,1.179889
26.0,26,1.184379
60.0,60,1.194526
58.0,58,1.204814
46.0,46,1.212856
28.0,28,1.2176
36.0,36,1.223668
36.0,36,1.229666
38.0,38,1.236129
30.0,30,1.241065
41.0,41,1.248529
32.0,32,1.25408
72.0,72,1.266224
53.0,53,1.275583
31.0,31,1.280652
35.0,35,1.287029
31.0,31,1.292338
41.0,41,1.299211
31.0,31,1.304525
63.0,63,1.315183
37.0,37,1.321726
33.0,33,1.327406
32.0,32,1.332884
36.0,36,1.338998
29.0,29,1.344061
31.0,31,1.349269
34.0,34,1.355893
40.0,40,1.363368
42.0,42,1.371053
45.0,45,1.378969
50.0,50,1.387375
30.0,30,1.393202
50.0,50,1.401949
39.0,39,1.40836
34.0,34,1.414806
54.0,54,1.424991
65.0,65,1.920643
31.0,31,1.926325
61.0,61,1.93722
35.0,35,1.943641
30.0,30,1.948842
35.0,35,1.955057
58.0,58,1.96502
33.0,33,1.970619
28.0,28,1.975503
50.0,50,1.983822
53.0,53,1.993081
29.0,29,1.998076
27.0,27,2.002684
30.0,30,2.007768
45.0,45,2.015524
36.0,36,2.021832
35.0,35,2.028182
31.0,31,2.033593
41.0,41,2.040642
46.0,46,2.0485
74.0,74,2.060804
44.0,44,2.068248
46.0,46,2.075869
30.0,30,2.081544
43.0,43,2.089412
28.0,28,2.094187
48.0,48,2.10256
53.0,53,2.111371
34.0,34,2.117144
35.0,35,2.12316
46.0,46,2.131777
78.0,78,2.145253
38.0,38,2.151874
37.0,37,2.158176
