#{"t_start": 1734542714.308629, "env_id": "ContinuousCartPole-v0"}
r,l,t
41.0,41,0.252655
28.0,28,0.257829
23.0,23,0.262409
39.0,39,0.269252
48.0,48,0.278022
40.0,40,0.285239
31.0,31,0.290828
53.0,53,0.29988
32.0,32,0.306051
39.0,39,0.312801
70.0,70,0.325184
45.0,45,0.333891
46.0,46,0.341806
25.0,25,0.346783
39.0,39,0.353869
55.0,55,0.36338
53.0,53,0.373389
24.0,24,0.378032
27.0,27,0.3828
33.0,33,0.389507
50.0,50,0.398657
35.0,35,0.404646
42.0,42,0.412258
55.0,55,0.422291
30.0,30,0.427675
68.0,68,0.439928
34.0,34,0.445774
39.0,39,0.452316
34.0,34,0.458681
66.0,66,0.470577
38.0,38,0.477551
29.0,29,0.482834
39.0,39,0.490299
44.0,44,0.497966
31.0,31,0.503383
38.0,38,0.51031
35.0,35,0.516882
63.0,63,0.528801
33.0,33,0.534397
45.0,45,0.542274
60.0,60,0.552527
38.0,38,0.560063
61.0,61,0.571128
33.0,33,0.576836
29.0,29,0.582468
33.0,33,0.58847
59.0,59,0.598939
30.0,30,0.60424
41.0,41,0.611841
44.0,44,1.077335
35.0,35,1.083357
39.0,39,1.090585
33.0,33,1.096436
32.0,32,1.10181
48.0,48,1.110531
31.0,31,1.11636
27.0,27,1.121246
42.0,42,1.129178
37.0,37,1.136251
50.0,50,1.145527
31.0,31,1.150947
81.0,81,1.165588
61.0,61,1.176239
45.0,45,1.184534
27.0,27,1.189615
38.0,38,1.196719
34.0,34,1.202565
39.0,39,1.209662
44.0,44,1.217426
39.0,39,1.224784
27.0,27,1.229806
33.0,33,1.235645
39.0,39,1.242277
53.0,53,1.251545
64.0,64,1.263142
31.0,31,1.268914
40.0,40,1.276337
123.0,123,1.299084
29.0,29,1.304357
29.0,29,1.309637
35.0,35,1.315966
49.0,49,1.324432
61.0,61,1.334838
30.0,30,1.340014
30.0,30,1.34569
28.0,28,1.350729
27.0,27,1.355837
44.0,44,1.363881
33.0,33,1.369976
39.0,39,1.377055
38.0,38,1.383875
31.0,31,1.389701
62.0,62,1.400665
57.0,57,1.411071
40.0,40,1.418447
36.0,36,1.425035
27.0,27,1.430026
31.0,31,1.436137
41.0,41,1.443583
40.0,40,1.886007
29.0,29,1.891829
47.0,47,1.900708
31.0,31,1.906243
30.0,30,1.911906
30.0,30,1.917166
39.0,39,1.92415
32.0,32,1.930174
31.0,31,1.935578
31.0,31,1.94138
